place1,relation,place2,question,answer,transition
Beeston and Holbeck,distant,Redvales,Is Beeston and Holbeck distant to Redvales?,Yes,no_change
Beeston and Holbeck,distant,Redvales,Is Beeston and Holbeck close to Redvales?,No,replace_dis_token
Leigh South,distant,Tuebrook and Stoneycroft,Is Leigh South distant to Tuebrook and Stoneycroft?,Yes,no_change
Leigh South,distant,Tuebrook and Stoneycroft,Is Tuebrook and Stoneycroft distant of Leigh South?,No,flip_place
Craven,distant,East,Is Craven distant to East?,Yes,no_change
Craven,distant,East,Is East distant of Craven?,No,flip_place
Bingley Rural,distant,Langworthy,Is Bingley Rural distant to Langworthy?,Yes,no_change
Bingley Rural,distant,Langworthy,Is Bingley Rural close to Langworthy?,No,replace_dis_token
Kew,distant,North Heywood,Is Kew distant to North Heywood?,Yes,no_change
Kew,distant,North Heywood,Is Kew close to North Heywood?,No,replace_dis_token
Litherland,distant,Whalley Range,Is Litherland distant to Whalley Range?,Yes,no_change
Litherland,distant,Whalley Range,Is Litherland close to Whalley Range?,No,replace_dis_token
Crookes & Crosspool,distant,Guiseley and Rawdon,Is Crookes & Crosspool distant to Guiseley and Rawdon?,Yes,no_change
Crookes & Crosspool,distant,Guiseley and Rawdon,Is Crookes & Crosspool close to Guiseley and Rawdon?,No,replace_dis_token
Manningham,distant,Silverwood,Is Manningham distant to Silverwood?,Yes,no_change
Manningham,distant,Silverwood,Is Manningham close to Silverwood?,No,replace_dis_token
Illingworth and Mixenden,distant,Redvales,Is Illingworth and Mixenden distant to Redvales?,Yes,no_change
Illingworth and Mixenden,distant,Redvales,Is Illingworth and Mixenden close to Redvales?,No,replace_dis_token
Bradford Moor,distant,Broomhill & Sharrow Vale,Is Bradford Moor distant to Broomhill & Sharrow Vale?,Yes,no_change
Bradford Moor,distant,Broomhill & Sharrow Vale,Is Broomhill & Sharrow Vale distant of Bradford Moor?,No,flip_place
Eccles,distant,Wallasey,Is Eccles distant to Wallasey?,Yes,no_change
Eccles,distant,Wallasey,Is Eccles close to Wallasey?,No,replace_dis_token
Harington,distant,Little Lever and Darcy Lever,Is Harington distant to Little Lever and Darcy Lever?,Yes,no_change
Harington,distant,Little Lever and Darcy Lever,Is Little Lever and Darcy Lever distant of Harington?,No,flip_place
Wardle and West Littleborough,distant,Windhill and Wrose,Is Wardle and West Littleborough distant to Windhill and Wrose?,Yes,no_change
Wardle and West Littleborough,distant,Windhill and Wrose,Is Windhill and Wrose distant of Wardle and West Littleborough?,No,flip_place
Cheadle Hulme North,distant,Hindley Green,Is Cheadle Hulme North distant to Hindley Green?,Yes,no_change
Cheadle Hulme North,distant,Hindley Green,Is Hindley Green distant of Cheadle Hulme North?,No,flip_place
Crompton,distant,Crosland Moor and Netherton,Is Crompton distant to Crosland Moor and Netherton?,Yes,no_change
Crompton,distant,Crosland Moor and Netherton,Is Crosland Moor and Netherton distant of Crompton?,No,flip_place
Ramsbottom,distant,Yew Tree,Is Ramsbottom distant to Yew Tree?,Yes,no_change
Ramsbottom,distant,Yew Tree,Is Yew Tree distant of Ramsbottom?,No,flip_place
Hillsborough,distant,Ovenden,Is Hillsborough distant to Ovenden?,Yes,no_change
Hillsborough,distant,Ovenden,Is Hillsborough close to Ovenden?,No,replace_dis_token
Hale Central,distant,Whitefield,Is Hale Central distant to Whitefield?,Yes,no_change
Hale Central,distant,Whitefield,Is Hale Central close to Whitefield?,No,replace_dis_token
Billesley,distant,Brockmoor and Pensnett,Is Billesley distant to Brockmoor and Pensnett?,Yes,no_change
Billesley,distant,Brockmoor and Pensnett,Is Billesley close to Brockmoor and Pensnett?,No,replace_dis_token
Ancoats and Clayton,distant,Smithills,Is Ancoats and Clayton distant to Smithills?,Yes,no_change
Ancoats and Clayton,distant,Smithills,Is Ancoats and Clayton close to Smithills?,No,replace_dis_token
Manningham,distant,Moorside,Is Manningham distant to Moorside?,Yes,no_change
Manningham,distant,Moorside,Is Moorside distant of Manningham?,No,flip_place
Dewsbury West,distant,Redvales,Is Dewsbury West distant to Redvales?,Yes,no_change
Dewsbury West,distant,Redvales,Is Dewsbury West close to Redvales?,No,replace_dis_token
Shevington with Lower Ground,distant,St. Mary's,Is Shevington with Lower Ground distant to St. Mary's?,Yes,no_change
Shevington with Lower Ground,distant,St. Mary's,Is Shevington with Lower Ground close to St. Mary's?,No,replace_dis_token
Dearne North,distant,Killingbeck and Seacroft,Is Dearne North distant to Killingbeck and Seacroft?,Yes,no_change
Dearne North,distant,Killingbeck and Seacroft,Is Dearne North close to Killingbeck and Seacroft?,No,replace_dis_token
Barton,distant,Saddleworth,Is Barton distant to Saddleworth?,Yes,no_change
Barton,distant,Saddleworth,Is Barton close to Saddleworth?,No,replace_dis_token
Hindley,distant,Kingsway,Is Hindley distant to Kingsway?,Yes,no_change
Hindley,distant,Kingsway,Is Kingsway distant of Hindley?,No,flip_place
Bramley and Stanningley,distant,Graves Park,Is Bramley and Stanningley distant to Graves Park?,Yes,no_change
Bramley and Stanningley,distant,Graves Park,Is Bramley and Stanningley close to Graves Park?,No,replace_dis_token
Shipley,distant,Werneth,Is Shipley distant to Werneth?,Yes,no_change
Shipley,distant,Werneth,Is Werneth distant of Shipley?,No,flip_place
Darfield,distant,Worth Valley,Is Darfield distant to Worth Valley?,Yes,no_change
Darfield,distant,Worth Valley,Is Worth Valley distant of Darfield?,No,flip_place
Great Lever,distant,St. James',Is Great Lever distant to St. James'?,Yes,no_change
Great Lever,distant,St. James',Is Great Lever close to St. James'?,No,replace_dis_token
Ashton Waterloo,distant,Royds,Is Ashton Waterloo distant to Royds?,Yes,no_change
Ashton Waterloo,distant,Royds,Is Royds distant of Ashton Waterloo?,No,flip_place
Ashton Hurst,distant,Farnley and Wortley,Is Ashton Hurst distant to Farnley and Wortley?,Yes,no_change
Ashton Hurst,distant,Farnley and Wortley,Is Ashton Hurst close to Farnley and Wortley?,No,replace_dis_token
Idle and Thackley,distant,Offerton Park,Is Idle and Thackley distant to Offerton Park?,Yes,no_change
Idle and Thackley,distant,Offerton Park,Is Idle and Thackley close to Offerton Park?,No,replace_dis_token
Failsworth East,distant,Moss Bank,Is Failsworth East distant to Moss Bank?,Yes,no_change
Failsworth East,distant,Moss Bank,Is Failsworth East close to Moss Bank?,No,replace_dis_token
Stannington,distant,Winton,Is Stannington distant to Winton?,Yes,no_change
Stannington,distant,Winton,Is Winton distant of Stannington?,No,flip_place
Brinnington and Central,distant,Rotherham West,Is Brinnington and Central distant to Rotherham West?,Yes,no_change
Brinnington and Central,distant,Rotherham West,Is Brinnington and Central close to Rotherham West?,No,replace_dis_token
Brinsworth and Catcliffe,distant,Clayton and Fairweather Green,Is Brinsworth and Catcliffe distant to Clayton and Fairweather Green?,Yes,no_change
Brinsworth and Catcliffe,distant,Clayton and Fairweather Green,Is Brinsworth and Catcliffe close to Clayton and Fairweather Green?,No,replace_dis_token
City,distant,Heatons South,Is City distant to Heatons South?,Yes,no_change
City,distant,Heatons South,Is Heatons South distant of City?,No,flip_place
Gleadless Valley,distant,Wakefield West,Is Gleadless Valley distant to Wakefield West?,Yes,no_change
Gleadless Valley,distant,Wakefield West,Is Gleadless Valley close to Wakefield West?,No,replace_dis_token
Marple South,distant,Valley,Is Marple South distant to Valley?,Yes,no_change
Marple South,distant,Valley,Is Marple South close to Valley?,No,replace_dis_token
Ardsley and Robin Hood,distant,Denton North East,Is Ardsley and Robin Hood distant to Denton North East?,Yes,no_change
Ardsley and Robin Hood,distant,Denton North East,Is Ardsley and Robin Hood close to Denton North East?,No,replace_dis_token
Beauchief & Greenhill,distant,St. Mary's,Is Beauchief & Greenhill distant to St. Mary's?,Yes,no_change
Beauchief & Greenhill,distant,St. Mary's,Is St. Mary's distant of Beauchief & Greenhill?,No,flip_place
Brooklands,distant,Standish with Langtree,Is Brooklands distant to Standish with Langtree?,Yes,no_change
Brooklands,distant,Standish with Langtree,Is Brooklands close to Standish with Langtree?,No,replace_dis_token
Milnrow and Newhey,distant,Pontefract South,Is Milnrow and Newhey distant to Pontefract South?,Yes,no_change
Milnrow and Newhey,distant,Pontefract South,Is Milnrow and Newhey close to Pontefract South?,No,replace_dis_token
Hulton,distant,Seacombe,Is Hulton distant to Seacombe?,Yes,no_change
Hulton,distant,Seacombe,Is Seacombe distant of Hulton?,No,flip_place
Bowdon,distant,Linacre,Is Bowdon distant to Linacre?,Yes,no_change
Bowdon,distant,Linacre,Is Bowdon close to Linacre?,No,replace_dis_token
Coldhurst,distant,Ecclesall,Is Coldhurst distant to Ecclesall?,Yes,no_change
Coldhurst,distant,Ecclesall,Is Ecclesall distant of Coldhurst?,No,flip_place
Dewsbury South,distant,Saddleworth North,Is Dewsbury South distant to Saddleworth North?,Yes,no_change
Dewsbury South,distant,Saddleworth North,Is Dewsbury South close to Saddleworth North?,No,replace_dis_token
City,distant,Liversedge and Gomersal,Is City distant to Liversedge and Gomersal?,Yes,no_change
City,distant,Liversedge and Gomersal,Is Liversedge and Gomersal distant of City?,No,flip_place
Urmston,distant,Whiston & Cronton,Is Urmston distant to Whiston & Cronton?,Yes,no_change
Urmston,distant,Whiston & Cronton,Is Urmston close to Whiston & Cronton?,No,replace_dis_token
Heaton,distant,Manor Castle,Is Heaton distant to Manor Castle?,Yes,no_change
Heaton,distant,Manor Castle,Is Manor Castle distant of Heaton?,No,flip_place
Illingworth and Mixenden,distant,Withington,Is Illingworth and Mixenden distant to Withington?,Yes,no_change
Illingworth and Mixenden,distant,Withington,Is Illingworth and Mixenden close to Withington?,No,replace_dis_token
Crompton,distant,Liversedge and Gomersal,Is Crompton distant to Liversedge and Gomersal?,Yes,no_change
Crompton,distant,Liversedge and Gomersal,Is Crompton close to Liversedge and Gomersal?,No,replace_dis_token
Southey,distant,Woodhouse Park,Is Southey distant to Woodhouse Park?,Yes,no_change
Southey,distant,Woodhouse Park,Is Southey close to Woodhouse Park?,No,replace_dis_token
Belle Vale,distant,North Middleton,Is Belle Vale distant to North Middleton?,Yes,no_change
Belle Vale,distant,North Middleton,Is North Middleton distant of Belle Vale?,No,flip_place
Shipley,distant,Temple Newsam,Is Shipley distant to Temple Newsam?,Yes,no_change
Shipley,distant,Temple Newsam,Is Temple Newsam distant of Shipley?,No,flip_place
Sheldon,distant,Wyken,Is Sheldon distant to Wyken?,Yes,no_change
Sheldon,distant,Wyken,Is Wyken distant of Sheldon?,No,flip_place
Darlaston South,distant,St. Alphege,Is Darlaston South distant to St. Alphege?,Yes,no_change
Darlaston South,distant,St. Alphege,Is St. Alphege distant of Darlaston South?,No,flip_place
Fulwood,distant,Langworthy,Is Fulwood distant to Langworthy?,Yes,no_change
Fulwood,distant,Langworthy,Is Langworthy distant of Fulwood?,No,flip_place
Sowerby Bridge,distant,Orgreave South Yorkshire,Is Sowerby Bridge distant to Orgreave South Yorkshire?,Yes,no_change
Sowerby Bridge,distant,Orgreave South Yorkshire,Is Orgreave South Yorkshire distant of Sowerby Bridge?,No,flip_place
Chadderton North,distant,Ince,Is Chadderton North distant to Ince?,Yes,no_change
Chadderton North,distant,Ince,Is Ince distant of Chadderton North?,No,flip_place
Balderstone and Kirkholt,distant,Boothstown and Ellenbrook,Is Balderstone and Kirkholt distant to Boothstown and Ellenbrook?,Yes,no_change
Balderstone and Kirkholt,distant,Boothstown and Ellenbrook,Is Boothstown and Ellenbrook distant of Balderstone and Kirkholt?,No,flip_place
Dore & Totley,distant,St. Peter's,Is Dore & Totley distant to St. Peter's?,Yes,no_change
Dore & Totley,distant,St. Peter's,Is Dore & Totley close to St. Peter's?,No,replace_dis_token
Bebington,distant,St. Mary's,Is Bebington distant to St. Mary's?,Yes,no_change
Bebington,distant,St. Mary's,Is Bebington close to St. Mary's?,No,replace_dis_token
Hillsborough,distant,Wardle and West Littleborough,Is Hillsborough distant to Wardle and West Littleborough?,Yes,no_change
Hillsborough,distant,Wardle and West Littleborough,Is Hillsborough close to Wardle and West Littleborough?,No,replace_dis_token
Radcliffe East,distant,Shevington with Lower Ground,Is Radcliffe East distant to Shevington with Lower Ground?,Yes,no_change
Radcliffe East,distant,Shevington with Lower Ground,Is Shevington with Lower Ground distant of Radcliffe East?,No,flip_place
Hipperholme and Lightcliffe,distant,Temple Newsam,Is Hipperholme and Lightcliffe distant to Temple Newsam?,Yes,no_change
Hipperholme and Lightcliffe,distant,Temple Newsam,Is Temple Newsam distant of Hipperholme and Lightcliffe?,No,flip_place
Central,distant,Great Lever,Is Central distant to Great Lever?,Yes,no_change
Central,distant,Great Lever,Is Central close to Great Lever?,No,replace_dis_token
Gorton North,distant,Bold St Helens,Is Gorton North distant to Bold St Helens?,Yes,no_change
Gorton North,distant,Bold St Helens,Is Bold St Helens distant of Gorton North?,No,flip_place
Sharston,distant,Woolton,Is Sharston distant to Woolton?,Yes,no_change
Sharston,distant,Woolton,Is Woolton distant of Sharston?,No,flip_place
Ainsdale,far,Edlington & Warmsworth,Is Ainsdale far to Edlington & Warmsworth?,Yes,no_change
Ainsdale,far,Edlington & Warmsworth,Is Ainsdale near to Edlington & Warmsworth?,No,replace_dis_token
Old Swan,far,Penistone,Is Old Swan far to Penistone?,Yes,no_change
Old Swan,far,Penistone,Is Old Swan near to Penistone?,No,replace_dis_token
Norwood,far,Stainforth & Barnby Dun,Is Norwood far to Stainforth & Barnby Dun?,Yes,no_change
Norwood,far,Stainforth & Barnby Dun,Is Norwood near to Stainforth & Barnby Dun?,No,replace_dis_token
Dewsbury West,far,Earlsdon,Is Dewsbury West far to Earlsdon?,Yes,no_change
Dewsbury West,far,Earlsdon,Is Earlsdon far of Dewsbury West?,No,flip_place
Heaton,far,Warbreck,Is Heaton far to Warbreck?,Yes,no_change
Heaton,far,Warbreck,Is Warbreck far of Heaton?,No,flip_place
Whitefield,far,Smith's Wood,Is Whitefield far to Smith's Wood?,Yes,no_change
Whitefield,far,Smith's Wood,Is Whitefield near to Smith's Wood?,No,replace_dis_token
Rawmarsh,far,South Yardley,Is Rawmarsh far to South Yardley?,Yes,no_change
Rawmarsh,far,South Yardley,Is South Yardley far of Rawmarsh?,No,flip_place
Dodworth,far,Farnworth,Is Dodworth far to Farnworth?,Yes,no_change
Dodworth,far,Farnworth,Is Farnworth far of Dodworth?,No,flip_place
Moseley and Kings Heath,far,Bryn,Is Moseley and Kings Heath far to Bryn?,Yes,no_change
Moseley and Kings Heath,far,Bryn,Is Moseley and Kings Heath near to Bryn?,No,replace_dis_token
Lye and Stourbridge North,far,South Heaton,Is Lye and Stourbridge North far to South Heaton?,Yes,no_change
Lye and Stourbridge North,far,South Heaton,Is South Heaton far of Lye and Stourbridge North?,No,flip_place
Cambridge,far,Gipton and Harehills,Is Cambridge far to Gipton and Harehills?,Yes,no_change
Cambridge,far,Gipton and Harehills,Is Gipton and Harehills far of Cambridge?,No,flip_place
Rushall-Shelfield,far,Wetherby,Is Rushall-Shelfield far to Wetherby?,Yes,no_change
Rushall-Shelfield,far,Wetherby,Is Wetherby far of Rushall-Shelfield?,No,flip_place
Medlock Vale,far,Mosborough,Is Medlock Vale far to Mosborough?,Yes,no_change
Medlock Vale,far,Mosborough,Is Medlock Vale near to Mosborough?,No,replace_dis_token
Edlington & Warmsworth,far,Whitburn and Marsden,Is Edlington & Warmsworth far to Whitburn and Marsden?,Yes,no_change
Edlington & Warmsworth,far,Whitburn and Marsden,Is Edlington & Warmsworth near to Whitburn and Marsden?,No,replace_dis_token
East,far,Halesowen South,Is East far to Halesowen South?,Yes,no_change
East,far,Halesowen South,Is East near to Halesowen South?,No,replace_dis_token
Sutton Trinity,far,Denby Dale,Is Sutton Trinity far to Denby Dale?,Yes,no_change
Sutton Trinity,far,Denby Dale,Is Denby Dale far of Sutton Trinity?,No,flip_place
Beighton,far,Belle Vale,Is Beighton far to Belle Vale?,Yes,no_change
Beighton,far,Belle Vale,Is Beighton near to Belle Vale?,No,replace_dis_token
Edgbaston,far,Walkden South,Is Edgbaston far to Walkden South?,Yes,no_change
Edgbaston,far,Walkden South,Is Edgbaston near to Walkden South?,No,replace_dis_token
Clatterbridge,far,Wrenthorpe and Outwood West,Is Clatterbridge far to Wrenthorpe and Outwood West?,Yes,no_change
Clatterbridge,far,Wrenthorpe and Outwood West,Is Wrenthorpe and Outwood West far of Clatterbridge?,No,flip_place
Windy Nook and Whitehills,far,Bickenhill,Is Windy Nook and Whitehills far to Bickenhill?,Yes,no_change
Windy Nook and Whitehills,far,Bickenhill,Is Bickenhill far of Windy Nook and Whitehills?,No,flip_place
Dene,far,Wombwell,Is Dene far to Wombwell?,Yes,no_change
Dene,far,Wombwell,Is Dene near to Wombwell?,No,replace_dis_token
Blythe,far,Moston,Is Blythe far to Moston?,Yes,no_change
Blythe,far,Moston,Is Moston far of Blythe?,No,flip_place
Sutton Four Oaks,far,Swinton South,Is Sutton Four Oaks far to Swinton South?,Yes,no_change
Sutton Four Oaks,far,Swinton South,Is Sutton Four Oaks near to Swinton South?,No,replace_dis_token
Hyde Newton,far,South Heaton,Is Hyde Newton far to South Heaton?,Yes,no_change
Hyde Newton,far,South Heaton,Is South Heaton far of Hyde Newton?,No,flip_place
Earlestown,far,Woolsington,Is Earlestown far to Woolsington?,Yes,no_change
Earlestown,far,Woolsington,Is Woolsington far of Earlestown?,No,flip_place
Graiseley,far,Roby,Is Graiseley far to Roby?,Yes,no_change
Graiseley,far,Roby,Is Roby far of Graiseley?,No,flip_place
Rockingham,far,St. Anne's,Is Rockingham far to St. Anne's?,Yes,no_change
Rockingham,far,St. Anne's,Is St. Anne's far of Rockingham?,No,flip_place
West Park,far,Wyke,Is West Park far to Wyke?,Yes,no_change
West Park,far,Wyke,Is West Park near to Wyke?,No,replace_dis_token
Cudworth,far,Edgeley and Cheadle Heath,Is Cudworth far to Edgeley and Cheadle Heath?,Yes,no_change
Cudworth,far,Edgeley and Cheadle Heath,Is Cudworth near to Edgeley and Cheadle Heath?,No,replace_dis_token
Cleckheaton,far,Killingworth,Is Cleckheaton far to Killingworth?,Yes,no_change
Cleckheaton,far,Killingworth,Is Cleckheaton near to Killingworth?,No,replace_dis_token
Altrincham,far,Dunston and Teams,Is Altrincham far to Dunston and Teams?,Yes,no_change
Altrincham,far,Dunston and Teams,Is Dunston and Teams far of Altrincham?,No,flip_place
Bridges,far,Palfrey,Is Bridges far to Palfrey?,Yes,no_change
Bridges,far,Palfrey,Is Palfrey far of Bridges?,No,flip_place
Besses,far,Biddick and All Saints,Is Besses far to Biddick and All Saints?,Yes,no_change
Besses,far,Biddick and All Saints,Is Biddick and All Saints far of Besses?,No,flip_place
Bablake,far,Kersal,Is Bablake far to Kersal?,Yes,no_change
Bablake,far,Kersal,Is Kersal far of Bablake?,No,flip_place
Elland,far,Streetly,Is Elland far to Streetly?,Yes,no_change
Elland,far,Streetly,Is Elland near to Streetly?,No,replace_dis_token
Norris Green,far,Wingrove,Is Norris Green far to Wingrove?,Yes,no_change
Norris Green,far,Wingrove,Is Norris Green near to Wingrove?,No,replace_dis_token
Sedgley,far,Horwich,Is Sedgley far to Horwich?,Yes,no_change
Sedgley,far,Horwich,Is Horwich far of Sedgley?,No,flip_place
Rumworth,far,Horsforth,Is Rumworth far to Horsforth?,Yes,no_change
Rumworth,far,Horsforth,Is Horsforth far of Rumworth?,No,flip_place
Biddick and All Saints,far,Woolton,Is Biddick and All Saints far to Woolton?,Yes,no_change
Biddick and All Saints,far,Woolton,Is Woolton far of Biddick and All Saints?,No,flip_place
Paddock,far,Saddleworth,Is Paddock far to Saddleworth?,Yes,no_change
Paddock,far,Saddleworth,Is Saddleworth far of Paddock?,No,flip_place
Little Horton,far,St. Michael's,Is Little Horton far to St. Michael's?,Yes,no_change
Little Horton,far,St. Michael's,Is Little Horton near to St. Michael's?,No,replace_dis_token
Billinge and Seneley Green,far,St. James's,Is Billinge and Seneley Green far to St. James's?,Yes,no_change
Billinge and Seneley Green,far,St. James's,Is Billinge and Seneley Green near to St. James's?,No,replace_dis_token
Claughton,far,Saltwell,Is Claughton far to Saltwell?,Yes,no_change
Claughton,far,Saltwell,Is Saltwell far of Claughton?,No,flip_place
Lyndon,far,Rastrick,Is Lyndon far to Rastrick?,Yes,no_change
Lyndon,far,Rastrick,Is Rastrick far of Lyndon?,No,flip_place
Washington West,far,Weoley,Is Washington West far to Weoley?,Yes,no_change
Washington West,far,Weoley,Is Weoley far of Washington West?,No,flip_place
Kingswinford South,far,Simonside and Rekendyke,Is Kingswinford South far to Simonside and Rekendyke?,Yes,no_change
Kingswinford South,far,Simonside and Rekendyke,Is Simonside and Rekendyke far of Kingswinford South?,No,flip_place
Oxton,far,Wakefield South,Is Oxton far to Wakefield South?,Yes,no_change
Oxton,far,Wakefield South,Is Wakefield South far of Oxton?,No,flip_place
Bridges,far,Kingsway,Is Bridges far to Kingsway?,Yes,no_change
Bridges,far,Kingsway,Is Bridges near to Kingsway?,No,replace_dis_token
Fawdon,far,St. Gabriels,Is Fawdon far to St. Gabriels?,Yes,no_change
Fawdon,far,St. Gabriels,Is St. Gabriels far of Fawdon?,No,flip_place
Palfrey,far,Denby Dale,Is Palfrey far to Denby Dale?,Yes,no_change
Palfrey,far,Denby Dale,Is Denby Dale far of Palfrey?,No,flip_place
Dodworth,far,Lobley Hill and Bensham,Is Dodworth far to Lobley Hill and Bensham?,Yes,no_change
Dodworth,far,Lobley Hill and Bensham,Is Lobley Hill and Bensham far of Dodworth?,No,flip_place
Bowling and Barkerend,far,Rainford,Is Bowling and Barkerend far to Rainford?,Yes,no_change
Bowling and Barkerend,far,Rainford,Is Bowling and Barkerend near to Rainford?,No,replace_dis_token
Gorton South,far,Ryhope,Is Gorton South far to Ryhope?,Yes,no_change
Gorton South,far,Ryhope,Is Ryhope far of Gorton South?,No,flip_place
Blythe,far,Earlestown,Is Blythe far to Earlestown?,Yes,no_change
Blythe,far,Earlestown,Is Blythe near to Earlestown?,No,replace_dis_token
Southwick,far,Castle Bromwich,Is Southwick far to Castle Bromwich?,Yes,no_change
Southwick,far,Castle Bromwich,Is Castle Bromwich far of Southwick?,No,flip_place
Parr,far,Princes End,Is Parr far to Princes End?,Yes,no_change
Parr,far,Princes End,Is Parr near to Princes End?,No,replace_dis_token
Alexandra,far,Dinnington St. John's,Is Alexandra far to Dinnington St. John's?,Yes,no_change
Alexandra,far,Dinnington St. John's,Is Dinnington St. John's far of Alexandra?,No,flip_place
Beeston and Holbeck,far,Rainford,Is Beeston and Holbeck far to Rainford?,Yes,no_change
Beeston and Holbeck,far,Rainford,Is Rainford far of Beeston and Holbeck?,No,flip_place
Walkergate,far,Washwood Heath,Is Walkergate far to Washwood Heath?,Yes,no_change
Walkergate,far,Washwood Heath,Is Washwood Heath far of Walkergate?,No,flip_place
Mossley Hill,far,St. Peter's,Is Mossley Hill far to St. Peter's?,Yes,no_change
Mossley Hill,far,St. Peter's,Is St. Peter's far of Mossley Hill?,No,flip_place
Birstall and Birkenshaw,far,Darlaston South,Is Birstall and Birkenshaw far to Darlaston South?,Yes,no_change
Birstall and Birkenshaw,far,Darlaston South,Is Darlaston South far of Birstall and Birkenshaw?,No,flip_place
Harpurhey,far,Old Warley,Is Harpurhey far to Old Warley?,Yes,no_change
Harpurhey,far,Old Warley,Is Old Warley far of Harpurhey?,No,flip_place
Headingley,far,Tyburn,Is Headingley far to Tyburn?,Yes,no_change
Headingley,far,Tyburn,Is Tyburn far of Headingley?,No,flip_place
Hendon,far,Rossington,Is Hendon far to Rossington?,Yes,no_change
Hendon,far,Rossington,Is Hendon near to Rossington?,No,replace_dis_token
Blythe,far,Hopwood Hall,Is Blythe far to Hopwood Hall?,Yes,no_change
Blythe,far,Hopwood Hall,Is Blythe near to Hopwood Hall?,No,replace_dis_token
Altofts and Whitwood,far,Westoe,Is Altofts and Whitwood far to Westoe?,Yes,no_change
Altofts and Whitwood,far,Westoe,Is Westoe far of Altofts and Whitwood?,No,flip_place
Acocks Green,far,Farnley and Wortley,Is Acocks Green far to Farnley and Wortley?,Yes,no_change
Acocks Green,far,Farnley and Wortley,Is Farnley and Wortley far of Acocks Green?,No,flip_place
Barnes,far,Finstall,Is Barnes far to Finstall?,Yes,no_change
Barnes,far,Finstall,Is Barnes near to Finstall?,No,replace_dis_token
Harpurhey,far,Oldbury,Is Harpurhey far to Oldbury?,Yes,no_change
Harpurhey,far,Oldbury,Is Harpurhey near to Oldbury?,No,replace_dis_token
Beauchief & Greenhill,far,Dene,Is Beauchief & Greenhill far to Dene?,Yes,no_change
Beauchief & Greenhill,far,Dene,Is Beauchief & Greenhill near to Dene?,No,replace_dis_token
Bridges,far,Haydock,Is Bridges far to Haydock?,Yes,no_change
Bridges,far,Haydock,Is Bridges near to Haydock?,No,replace_dis_token
Croxteth,far,Longdendale,Is Croxteth far to Longdendale?,Yes,no_change
Croxteth,far,Longdendale,Is Croxteth near to Longdendale?,No,replace_dis_token
Chorlton,far,Pedmore and Stourbridge East,Is Chorlton far to Pedmore and Stourbridge East?,Yes,no_change
Chorlton,far,Pedmore and Stourbridge East,Is Chorlton near to Pedmore and Stourbridge East?,No,replace_dis_token
Preston,far,Finningley,Is Preston far to Finningley?,Yes,no_change
Preston,far,Finningley,Is Finningley far of Preston?,No,flip_place
Newsome,far,Wigan West,Is Newsome far to Wigan West?,Yes,no_change
Newsome,far,Wigan West,Is Newsome near to Wigan West?,No,replace_dis_token
Golcar,far,Whitley Bay,Is Golcar far to Whitley Bay?,Yes,no_change
Golcar,far,Whitley Bay,Is Golcar near to Whitley Bay?,No,replace_dis_token
Kingstone,far,Northenden,Is Kingstone far to Northenden?,Yes,no_change
Kingstone,far,Northenden,Is Northenden far of Kingstone?,No,flip_place
Nether Edge & Sharrow,far,Swinton South,Is Nether Edge & Sharrow far to Swinton South?,Yes,no_change
Nether Edge & Sharrow,far,Swinton South,Is Nether Edge & Sharrow near to Swinton South?,No,replace_dis_token
Manningham,far,Windy Nook and Whitehills,Is Manningham far to Windy Nook and Whitehills?,Yes,no_change
Manningham,far,Windy Nook and Whitehills,Is Windy Nook and Whitehills far of Manningham?,No,flip_place
Atherton,far,Tipton Green,Is Atherton far to Tipton Green?,Yes,no_change
Atherton,far,Tipton Green,Is Tipton Green far of Atherton?,No,flip_place
Darnall,far,Smethwick,Is Darnall far to Smethwick?,Yes,no_change
Darnall,far,Smethwick,Is Darnall near to Smethwick?,No,replace_dis_token
Farnworth,far,Rockingham,Is Farnworth far to Rockingham?,Yes,no_change
Farnworth,far,Rockingham,Is Farnworth near to Rockingham?,No,replace_dis_token
St. Michael's,far,Rossington,Is St. Michael's far to Rossington?,Yes,no_change
St. Michael's,far,Rossington,Is St. Michael's near to Rossington?,No,replace_dis_token
Millfield,far,Sutton Four Oaks,Is Millfield far to Sutton Four Oaks?,Yes,no_change
Millfield,far,Sutton Four Oaks,Is Millfield near to Sutton Four Oaks?,No,replace_dis_token
Duke's,far,Monkseaton South,Is Duke's far to Monkseaton South?,Yes,no_change
Duke's,far,Monkseaton South,Is Duke's near to Monkseaton South?,No,replace_dis_token
Radcliffe North,far,Wetherby,Is Radcliffe North far to Wetherby?,Yes,no_change
Radcliffe North,far,Wetherby,Is Radcliffe North near to Wetherby?,No,replace_dis_token
Douglas,far,Great Bridge,Is Douglas far to Great Bridge?,Yes,no_change
Douglas,far,Great Bridge,Is Douglas near to Great Bridge?,No,replace_dis_token
Hyde Werneth,far,Langley,Is Hyde Werneth far to Langley?,Yes,no_change
Hyde Werneth,far,Langley,Is Langley far of Hyde Werneth?,No,flip_place
Beauchief & Greenhill,far,Sandhill,Is Beauchief & Greenhill far to Sandhill?,Yes,no_change
Beauchief & Greenhill,far,Sandhill,Is Beauchief & Greenhill near to Sandhill?,No,replace_dis_token
Longbenton,far,Worth Valley,Is Longbenton far to Worth Valley?,Yes,no_change
