place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,answer,transition
Wigan West,east,Litherland,borders,Wigan Central,close,Astley Village,"Wigan West is borders Wigan Central, close to Astley Village, and east of Litherland",Does Wigan West border Wigan Central and close to Astley Village and east of Litherland?,Yes,no_change
Wigan West,east,Litherland,borders,Wigan Central,close,Astley Village,"Wigan West is borders Wigan Central, close to Astley Village, and east of Litherland",Is Wigan West within Wigan Central and close to Astley Village and east of Litherland?,No,replace_top_token
Denby Dale,east,Astley Mosley Common,borders,Wakefield Rural,close,Morley West Yorkshire,"Denby Dale is borders Wakefield Rural, close to Morley West Yorkshire, and east of Astley Mosley Common",Does Denby Dale border Wakefield Rural and close to Morley West Yorkshire and east of Astley Mosley Common?,Yes,no_change
Denby Dale,east,Astley Mosley Common,borders,Wakefield Rural,close,Morley West Yorkshire,"Denby Dale is borders Wakefield Rural, close to Morley West Yorkshire, and east of Astley Mosley Common",Does Denby Dale border Wakefield Rural and close to Morley West Yorkshire and west of Astley Mosley Common?,No,replace_dir_token
Wingrove,east,Winlaton and High Spen,borders,West Gosforth,close,Hetton-le-Hole,"Wingrove is borders West Gosforth, close to Hetton-le-Hole, and east of Winlaton and High Spen",Does Wingrove border West Gosforth and close to Hetton-le-Hole and east of Winlaton and High Spen?,Yes,no_change
Wingrove,east,Winlaton and High Spen,borders,West Gosforth,close,Hetton-le-Hole,"Wingrove is borders West Gosforth, close to Hetton-le-Hole, and east of Winlaton and High Spen",Does Wingrove border West Gosforth and distant to Hetton-le-Hole and east of Winlaton and High Spen?,No,replace_dis_token
Leasowe and Moreton East,east,Moreton West and Saughall Massie,borders,Upton,close,Warbreck,"Leasowe and Moreton East is borders Upton, close to Warbreck, and east of Moreton West and Saughall Massie",Does Leasowe and Moreton East border Upton and close to Warbreck and east of Moreton West and Saughall Massie?,Yes,no_change
Leasowe and Moreton East,east,Moreton West and Saughall Massie,borders,Upton,close,Warbreck,"Leasowe and Moreton East is borders Upton, close to Warbreck, and east of Moreton West and Saughall Massie",Does Leasowe and Moreton East border Upton and close to Warbreck and west of Moreton West and Saughall Massie?,No,replace_dir_token
Ford,east,Hoylake and Meols,borders,Litherland,close,Picton Cheshire,"Ford is borders Litherland, close to Picton Cheshire, and east of Hoylake and Meols",Does Ford border Litherland and close to Picton Cheshire and east of Hoylake and Meols?,Yes,no_change
Ford,east,Hoylake and Meols,borders,Litherland,close,Picton Cheshire,"Ford is borders Litherland, close to Picton Cheshire, and east of Hoylake and Meols",Is Ford within Litherland and close to Picton Cheshire and east of Hoylake and Meols?,No,replace_top_token
Heatons North,east,Blundellsands,borders,Heatons South,close,Radcliffe East,"Heatons North is borders Heatons South, close to Radcliffe East, and east of Blundellsands",Does Heatons North border Heatons South and close to Radcliffe East and east of Blundellsands?,Yes,no_change
Heatons North,east,Blundellsands,borders,Heatons South,close,Radcliffe East,"Heatons North is borders Heatons South, close to Radcliffe East, and east of Blundellsands",Does Heatons North border Heatons South and close to Radcliffe East and west of Blundellsands?,No,replace_dir_token
Wingfield,east,Tyldesley,borders,Hoober,close,Featherstone,"Wingfield is borders Hoober, close to Featherstone, and east of Tyldesley",Does Wingfield border Hoober and close to Featherstone and east of Tyldesley?,Yes,no_change
Wingfield,east,Tyldesley,borders,Hoober,close,Featherstone,"Wingfield is borders Hoober, close to Featherstone, and east of Tyldesley",Is Wingfield within Hoober and close to Featherstone and east of Tyldesley?,No,replace_top_token
Westwood,east,Selly Oak,borders,Wainbody,close,Wyken,"Westwood is borders Wainbody, close to Wyken, and east of Selly Oak",Does Westwood border Wainbody and close to Wyken and east of Selly Oak?,Yes,no_change
Westwood,east,Selly Oak,borders,Wainbody,close,Wyken,"Westwood is borders Wainbody, close to Wyken, and east of Selly Oak",Does Westwood border Wainbody and distant to Wyken and east of Selly Oak?,No,replace_dis_token
Nechells,east,Lozells and East Handsworth,borders,Ladywood,close,Rushall-Shelfield,"Nechells is borders Ladywood, close to Rushall-Shelfield, and east of Lozells and East Handsworth",Does Nechells border Ladywood and close to Rushall-Shelfield and east of Lozells and East Handsworth?,Yes,no_change
Nechells,east,Lozells and East Handsworth,borders,Ladywood,close,Rushall-Shelfield,"Nechells is borders Ladywood, close to Rushall-Shelfield, and east of Lozells and East Handsworth",Does Nechells border Ladywood and close to Rushall-Shelfield and west of Lozells and East Handsworth?,No,replace_dir_token
Whiston & Cronton,east,Mossley Hill,borders,Prescot South,close,Whitefield,"Whiston & Cronton is borders Prescot South, close to Whitefield, and east of Mossley Hill",Does Whiston & Cronton border Prescot South and close to Whitefield and east of Mossley Hill?,Yes,no_change
Whiston & Cronton,east,Mossley Hill,borders,Prescot South,close,Whitefield,"Whiston & Cronton is borders Prescot South, close to Whitefield, and east of Mossley Hill",Does Prescot South border Whiston & Cronton and close to Whitefield and east of Mossley Hill?,No,flip_place
Newsome,east,Molyneux,borders,Dalton,close,Mirfield,"Newsome is borders Dalton, close to Mirfield, and east of Molyneux",Does Newsome border Dalton and close to Mirfield and east of Molyneux?,Yes,no_change
Newsome,east,Molyneux,borders,Dalton,close,Mirfield,"Newsome is borders Dalton, close to Mirfield, and east of Molyneux",Does Newsome border Dalton and distant to Mirfield and east of Molyneux?,No,replace_dis_token
Bolton and Undercliffe,east,Leasowe and Moreton East,borders,Manningham,close,Rastrick,"Bolton and Undercliffe is borders Manningham, close to Rastrick, and east of Leasowe and Moreton East",Does Bolton and Undercliffe border Manningham and close to Rastrick and east of Leasowe and Moreton East?,Yes,no_change
Bolton and Undercliffe,east,Leasowe and Moreton East,borders,Manningham,close,Rastrick,"Bolton and Undercliffe is borders Manningham, close to Rastrick, and east of Leasowe and Moreton East",Does Bolton and Undercliffe border Manningham and close to Rastrick and west of Leasowe and Moreton East?,No,replace_dir_token
Allerton and Hunts Cross,east,Upton,borders,Halewood North,close,Wallasey,"Allerton and Hunts Cross is borders Halewood North, close to Wallasey, and east of Upton",Does Allerton and Hunts Cross border Halewood North and close to Wallasey and east of Upton?,Yes,no_change
Allerton and Hunts Cross,east,Upton,borders,Halewood North,close,Wallasey,"Allerton and Hunts Cross is borders Halewood North, close to Wallasey, and east of Upton",Does Halewood North border Allerton and Hunts Cross and close to Wallasey and east of Upton?,No,flip_place
Fawdon,east,Woolsington,borders,West Gosforth,close,Killingworth,"Fawdon is borders West Gosforth, close to Killingworth, and east of Woolsington",Does Fawdon border West Gosforth and close to Killingworth and east of Woolsington?,Yes,no_change
Fawdon,east,Woolsington,borders,West Gosforth,close,Killingworth,"Fawdon is borders West Gosforth, close to Killingworth, and east of Woolsington",Is Fawdon within West Gosforth and close to Killingworth and east of Woolsington?,No,replace_top_token
Upper Stoke,east,Bartley Green,borders,Wyken,close,Westwood,"Upper Stoke is borders Wyken, close to Westwood, and east of Bartley Green",Does Upper Stoke border Wyken and close to Westwood and east of Bartley Green?,Yes,no_change
Upper Stoke,east,Bartley Green,borders,Wyken,close,Westwood,"Upper Stoke is borders Wyken, close to Westwood, and east of Bartley Green",Does Upper Stoke border Wyken and distant to Westwood and east of Bartley Green?,No,replace_dis_token
East Middleton,east,Horwich and Blackrod,borders,Chadderton North,close,Rusholme,"East Middleton is borders Chadderton North, close to Rusholme, and east of Horwich and Blackrod",Does East Middleton border Chadderton North and close to Rusholme and east of Horwich and Blackrod?,Yes,no_change
East Middleton,east,Horwich and Blackrod,borders,Chadderton North,close,Rusholme,"East Middleton is borders Chadderton North, close to Rusholme, and east of Horwich and Blackrod",Does East Middleton border Chadderton North and distant to Rusholme and east of Horwich and Blackrod?,No,replace_dis_token
Northfield,east,Brierley Hill,borders,Kings Norton,close,St. James's,"Northfield is borders Kings Norton, close to St. James's, and east of Brierley Hill",Does Northfield border Kings Norton and close to St. James's and east of Brierley Hill?,Yes,no_change
Northfield,east,Brierley Hill,borders,Kings Norton,close,St. James's,"Northfield is borders Kings Norton, close to St. James's, and east of Brierley Hill",Is Northfield within Kings Norton and close to St. James's and east of Brierley Hill?,No,replace_top_token
Park & Arbourthorne,east,Cadishead,borders,Manor Castle,close,Stocksbridge & Upper Don,"Park & Arbourthorne is borders Manor Castle, close to Stocksbridge & Upper Don, and east of Cadishead",Does Park & Arbourthorne border Manor Castle and close to Stocksbridge & Upper Don and east of Cadishead?,Yes,no_change
Park & Arbourthorne,east,Cadishead,borders,Manor Castle,close,Stocksbridge & Upper Don,"Park & Arbourthorne is borders Manor Castle, close to Stocksbridge & Upper Don, and east of Cadishead",Is Park & Arbourthorne within Manor Castle and close to Stocksbridge & Upper Don and east of Cadishead?,No,replace_top_token
Wednesbury South,east,Bilston East,borders,Princes End,close,Castle Bromwich,"Wednesbury South is borders Princes End, close to Castle Bromwich, and east of Bilston East",Does Wednesbury South border Princes End and close to Castle Bromwich and east of Bilston East?,Yes,no_change
Wednesbury South,east,Bilston East,borders,Princes End,close,Castle Bromwich,"Wednesbury South is borders Princes End, close to Castle Bromwich, and east of Bilston East",Is Wednesbury South within Princes End and close to Castle Bromwich and east of Bilston East?,No,replace_top_token
Short Heath,east,Bushbury North,borders,Bloxwich West,close,Tettenhall Wightwick,"Short Heath is borders Bloxwich West, close to Tettenhall Wightwick, and east of Bushbury North",Does Short Heath border Bloxwich West and close to Tettenhall Wightwick and east of Bushbury North?,Yes,no_change
Short Heath,east,Bushbury North,borders,Bloxwich West,close,Tettenhall Wightwick,"Short Heath is borders Bloxwich West, close to Tettenhall Wightwick, and east of Bushbury North",Does Short Heath border Bloxwich West and distant to Tettenhall Wightwick and east of Bushbury North?,No,replace_dis_token
Hetton-le-Hole,east,Crawcrook and Greenside,borders,Houghton,close,Lamesley,"Hetton-le-Hole is borders Houghton, close to Lamesley, and east of Crawcrook and Greenside",Does Hetton-le-Hole border Houghton and close to Lamesley and east of Crawcrook and Greenside?,Yes,no_change
Hetton-le-Hole,east,Crawcrook and Greenside,borders,Houghton,close,Lamesley,"Hetton-le-Hole is borders Houghton, close to Lamesley, and east of Crawcrook and Greenside",Does Houghton border Hetton-le-Hole and close to Lamesley and east of Crawcrook and Greenside?,No,flip_place
Skircoat,east,Fazakerley,borders,Park,distant,Stanley and Outwood East,"Skircoat is borders Park, distant to Stanley and Outwood East, and east of Fazakerley",Does Skircoat border Park and distant to Stanley and Outwood East and east of Fazakerley?,Yes,no_change
Skircoat,east,Fazakerley,borders,Park,distant,Stanley and Outwood East,"Skircoat is borders Park, distant to Stanley and Outwood East, and east of Fazakerley",Does Skircoat border Park and close to Stanley and Outwood East and east of Fazakerley?,No,replace_dis_token
Dewsbury West,east,Tonge with the Haulgh,borders,Batley West,distant,Swinton South,"Dewsbury West is borders Batley West, distant to Swinton South, and east of Tonge with the Haulgh",Does Dewsbury West border Batley West and distant to Swinton South and east of Tonge with the Haulgh?,Yes,no_change
Dewsbury West,east,Tonge with the Haulgh,borders,Batley West,distant,Swinton South,"Dewsbury West is borders Batley West, distant to Swinton South, and east of Tonge with the Haulgh",Does Batley West border Dewsbury West and distant to Swinton South and east of Tonge with the Haulgh?,No,flip_place
Denton North East,east,Crumpsall,borders,Audenshaw,distant,Middleton Park,"Denton North East is borders Audenshaw, distant to Middleton Park, and east of Crumpsall",Does Denton North East border Audenshaw and distant to Middleton Park and east of Crumpsall?,Yes,no_change
Denton North East,east,Crumpsall,borders,Audenshaw,distant,Middleton Park,"Denton North East is borders Audenshaw, distant to Middleton Park, and east of Crumpsall",Is Denton North East within Audenshaw and distant to Middleton Park and east of Crumpsall?,No,replace_top_token
Stockbridge,east,Bidston and St. James,borders,Page Moss,distant,Withington,"Stockbridge is borders Page Moss, distant to Withington, and east of Bidston and St. James",Does Stockbridge border Page Moss and distant to Withington and east of Bidston and St. James?,Yes,no_change
Stockbridge,east,Bidston and St. James,borders,Page Moss,distant,Withington,"Stockbridge is borders Page Moss, distant to Withington, and east of Bidston and St. James",Does Page Moss border Stockbridge and distant to Withington and east of Bidston and St. James?,No,flip_place
Hoyland Milton,east,Smallbridge and Firgrove,borders,Worsbrough,distant,Holme Valley,"Hoyland Milton is borders Worsbrough, distant to Holme Valley, and east of Smallbridge and Firgrove",Does Hoyland Milton border Worsbrough and distant to Holme Valley and east of Smallbridge and Firgrove?,Yes,no_change
Hoyland Milton,east,Smallbridge and Firgrove,borders,Worsbrough,distant,Holme Valley,"Hoyland Milton is borders Worsbrough, distant to Holme Valley, and east of Smallbridge and Firgrove",Is Hoyland Milton within Worsbrough and distant to Holme Valley and east of Smallbridge and Firgrove?,No,replace_top_token
Timperley,east,Abram,borders,Broadheath,distant,Prescot,"Timperley is borders Broadheath, distant to Prescot, and east of Abram",Does Timperley border Broadheath and distant to Prescot and east of Abram?,Yes,no_change
Timperley,east,Abram,borders,Broadheath,distant,Prescot,"Timperley is borders Broadheath, distant to Prescot, and east of Abram",Does Broadheath border Timperley and distant to Prescot and east of Abram?,No,flip_place
Birstall and Birkenshaw,east,Medlock Vale,borders,Tong,distant,Boothstown and Ellenbrook,"Birstall and Birkenshaw is borders Tong, distant to Boothstown and Ellenbrook, and east of Medlock Vale",Does Birstall and Birkenshaw border Tong and distant to Boothstown and Ellenbrook and east of Medlock Vale?,Yes,no_change
Birstall and Birkenshaw,east,Medlock Vale,borders,Tong,distant,Boothstown and Ellenbrook,"Birstall and Birkenshaw is borders Tong, distant to Boothstown and Ellenbrook, and east of Medlock Vale",Does Birstall and Birkenshaw border Tong and close to Boothstown and Ellenbrook and east of Medlock Vale?,No,replace_dis_token
Dukinfield Stalybridge,east,Old Swan,borders,Stalybridge South,distant,Golborne and Lowton West,"Dukinfield Stalybridge is borders Stalybridge South, distant to Golborne and Lowton West, and east of Old Swan",Does Dukinfield Stalybridge border Stalybridge South and distant to Golborne and Lowton West and east of Old Swan?,Yes,no_change
Dukinfield Stalybridge,east,Old Swan,borders,Stalybridge South,distant,Golborne and Lowton West,"Dukinfield Stalybridge is borders Stalybridge South, distant to Golborne and Lowton West, and east of Old Swan",Does Dukinfield Stalybridge border Stalybridge South and close to Golborne and Lowton West and east of Old Swan?,No,replace_dis_token
Littleborough Lakeside,east,Hindley Green,borders,Smallbridge and Firgrove,distant,South Elmsall and South Kirkby,"Littleborough Lakeside is borders Smallbridge and Firgrove, distant to South Elmsall and South Kirkby, and east of Hindley Green",Does Littleborough Lakeside border Smallbridge and Firgrove and distant to South Elmsall and South Kirkby and east of Hindley Green?,Yes,no_change
Littleborough Lakeside,east,Hindley Green,borders,Smallbridge and Firgrove,distant,South Elmsall and South Kirkby,"Littleborough Lakeside is borders Smallbridge and Firgrove, distant to South Elmsall and South Kirkby, and east of Hindley Green",Does Littleborough Lakeside border Smallbridge and Firgrove and distant to South Elmsall and South Kirkby and west of Hindley Green?,No,replace_dir_token
Clubmoor,east,Pensby and Thingwall,borders,West Derby,distant,North Heywood,"Clubmoor is borders West Derby, distant to North Heywood, and east of Pensby and Thingwall",Does Clubmoor border West Derby and distant to North Heywood and east of Pensby and Thingwall?,Yes,no_change
Clubmoor,east,Pensby and Thingwall,borders,West Derby,distant,North Heywood,"Clubmoor is borders West Derby, distant to North Heywood, and east of Pensby and Thingwall",Does Clubmoor border West Derby and close to North Heywood and east of Pensby and Thingwall?,No,replace_dis_token
Fallings Park,east,Bushbury South and Low Hill,borders,Wednesfield North,distant,Longford,"Fallings Park is borders Wednesfield North, distant to Longford, and east of Bushbury South and Low Hill",Does Fallings Park border Wednesfield North and distant to Longford and east of Bushbury South and Low Hill?,Yes,no_change
Fallings Park,east,Bushbury South and Low Hill,borders,Wednesfield North,distant,Longford,"Fallings Park is borders Wednesfield North, distant to Longford, and east of Bushbury South and Low Hill",Is Fallings Park within Wednesfield North and distant to Longford and east of Bushbury South and Low Hill?,No,replace_top_token
Bowling and Barkerend,east,Charlestown,borders,Tong,distant,West Middleton,"Bowling and Barkerend is borders Tong, distant to West Middleton, and east of Charlestown",Does Bowling and Barkerend border Tong and distant to West Middleton and east of Charlestown?,Yes,no_change
Bowling and Barkerend,east,Charlestown,borders,Tong,distant,West Middleton,"Bowling and Barkerend is borders Tong, distant to West Middleton, and east of Charlestown",Does Tong border Bowling and Barkerend and distant to West Middleton and east of Charlestown?,No,flip_place
Sedgley,east,Ford,borders,Higher Blackley,distant,Windhill and Wrose,"Sedgley is borders Higher Blackley, distant to Windhill and Wrose, and east of Ford",Does Sedgley border Higher Blackley and distant to Windhill and Wrose and east of Ford?,Yes,no_change
Sedgley,east,Ford,borders,Higher Blackley,distant,Windhill and Wrose,"Sedgley is borders Higher Blackley, distant to Windhill and Wrose, and east of Ford",Is Sedgley within Higher Blackley and distant to Windhill and Wrose and east of Ford?,No,replace_top_token
Royton South,east,Prescot South,borders,St. Mary's,distant,Normanton West Yorkshire,"Royton South is borders St. Mary's, distant to Normanton West Yorkshire, and east of Prescot South",Does Royton South border St. Mary's and distant to Normanton West Yorkshire and east of Prescot South?,Yes,no_change
Royton South,east,Prescot South,borders,St. Mary's,distant,Normanton West Yorkshire,"Royton South is borders St. Mary's, distant to Normanton West Yorkshire, and east of Prescot South",Does St. Mary's border Royton South and distant to Normanton West Yorkshire and east of Prescot South?,No,flip_place
North Jesmond,east,Woolsington,borders,Dene,distant,Ryhope,"North Jesmond is borders Dene, distant to Ryhope, and east of Woolsington",Does North Jesmond border Dene and distant to Ryhope and east of Woolsington?,Yes,no_change
North Jesmond,east,Woolsington,borders,Dene,distant,Ryhope,"North Jesmond is borders Dene, distant to Ryhope, and east of Woolsington",Does North Jesmond border Dene and close to Ryhope and east of Woolsington?,No,replace_dis_token
Featherstone,east,Mossley,borders,Ackworth North Elmsall and Upton,distant,Orgreave South Yorkshire,"Featherstone is borders Ackworth North Elmsall and Upton, distant to Orgreave South Yorkshire, and east of Mossley",Does Featherstone border Ackworth North Elmsall and Upton and distant to Orgreave South Yorkshire and east of Mossley?,Yes,no_change
Featherstone,east,Mossley,borders,Ackworth North Elmsall and Upton,distant,Orgreave South Yorkshire,"Featherstone is borders Ackworth North Elmsall and Upton, distant to Orgreave South Yorkshire, and east of Mossley",Is Featherstone within Ackworth North Elmsall and Upton and distant to Orgreave South Yorkshire and east of Mossley?,No,replace_top_token
Wakefield North,east,Skircoat,borders,Wakefield West,distant,Windhill and Wrose,"Wakefield North is borders Wakefield West, distant to Windhill and Wrose, and east of Skircoat",Does Wakefield North border Wakefield West and distant to Windhill and Wrose and east of Skircoat?,Yes,no_change
Wakefield North,east,Skircoat,borders,Wakefield West,distant,Windhill and Wrose,"Wakefield North is borders Wakefield West, distant to Windhill and Wrose, and east of Skircoat",Is Wakefield North within Wakefield West and distant to Windhill and Wrose and east of Skircoat?,No,replace_top_token
Birkdale,east,Ainsdale,borders,Duke's,distant,Breightmet,"Birkdale is borders Duke's, distant to Breightmet, and east of Ainsdale",Does Birkdale border Duke's and distant to Breightmet and east of Ainsdale?,Yes,no_change
Birkdale,east,Ainsdale,borders,Duke's,distant,Breightmet,"Birkdale is borders Duke's, distant to Breightmet, and east of Ainsdale",Does Birkdale border Duke's and close to Breightmet and east of Ainsdale?,No,replace_dis_token
Wallasey,east,Moreton West and Saughall Massie,borders,Leasowe and Moreton East,distant,Rainhill,"Wallasey is borders Leasowe and Moreton East, distant to Rainhill, and east of Moreton West and Saughall Massie",Does Wallasey border Leasowe and Moreton East and distant to Rainhill and east of Moreton West and Saughall Massie?,Yes,no_change
Wallasey,east,Moreton West and Saughall Massie,borders,Leasowe and Moreton East,distant,Rainhill,"Wallasey is borders Leasowe and Moreton East, distant to Rainhill, and east of Moreton West and Saughall Massie",Does Wallasey border Leasowe and Moreton East and close to Rainhill and east of Moreton West and Saughall Massie?,No,replace_dis_token
Earlsdon,east,Hodge Hill,borders,St. Michael's,distant,Springfield,"Earlsdon is borders St. Michael's, distant to Springfield, and east of Hodge Hill",Does Earlsdon border St. Michael's and distant to Springfield and east of Hodge Hill?,Yes,no_change
Earlsdon,east,Hodge Hill,borders,St. Michael's,distant,Springfield,"Earlsdon is borders St. Michael's, distant to Springfield, and east of Hodge Hill",Does St. Michael's border Earlsdon and distant to Springfield and east of Hodge Hill?,No,flip_place
Batley East,east,Waterhead,borders,Dewsbury West,distant,Reddish North,"Batley East is borders Dewsbury West, distant to Reddish North, and east of Waterhead",Does Batley East border Dewsbury West and distant to Reddish North and east of Waterhead?,Yes,no_change
Batley East,east,Waterhead,borders,Dewsbury West,distant,Reddish North,"Batley East is borders Dewsbury West, distant to Reddish North, and east of Waterhead",Does Dewsbury West border Batley East and distant to Reddish North and east of Waterhead?,No,flip_place
Bryn,east,Norwood,borders,Haydock,distant,Picton Cheshire,"Bryn is borders Haydock, distant to Picton Cheshire, and east of Norwood",Does Bryn border Haydock and distant to Picton Cheshire and east of Norwood?,Yes,no_change
Bryn,east,Norwood,borders,Haydock,distant,Picton Cheshire,"Bryn is borders Haydock, distant to Picton Cheshire, and east of Norwood",Does Bryn border Haydock and close to Picton Cheshire and east of Norwood?,No,replace_dis_token
Pensby and Thingwall,east,Hoylake and Meols,borders,Heswall,far,Simonside and Rekendyke,"Pensby and Thingwall is borders Heswall, far to Simonside and Rekendyke, and east of Hoylake and Meols",Does Pensby and Thingwall border Heswall and far to Simonside and Rekendyke and east of Hoylake and Meols?,Yes,no_change
Pensby and Thingwall,east,Hoylake and Meols,borders,Heswall,far,Simonside and Rekendyke,"Pensby and Thingwall is borders Heswall, far to Simonside and Rekendyke, and east of Hoylake and Meols",Does Pensby and Thingwall border Heswall and near to Simonside and Rekendyke and east of Hoylake and Meols?,No,replace_dis_token
Prescot South,east,Bebington,borders,Whiston & Cronton,far,Weetslade,"Prescot South is borders Whiston & Cronton, far to Weetslade, and east of Bebington",Does Prescot South border Whiston & Cronton and far to Weetslade and east of Bebington?,Yes,no_change
Prescot South,east,Bebington,borders,Whiston & Cronton,far,Weetslade,"Prescot South is borders Whiston & Cronton, far to Weetslade, and east of Bebington",Does Prescot South border Whiston & Cronton and near to Weetslade and east of Bebington?,No,replace_dis_token
Rainford,east,Old Swan,borders,Orrell,far,Dinnington St. John's,"Rainford is borders Orrell, far to Dinnington St. John's, and east of Old Swan",Does Rainford border Orrell and far to Dinnington St. John's and east of Old Swan?,Yes,no_change
Rainford,east,Old Swan,borders,Orrell,far,Dinnington St. John's,"Rainford is borders Orrell, far to Dinnington St. John's, and east of Old Swan",Does Orrell border Rainford and far to Dinnington St. John's and east of Old Swan?,No,flip_place
Low Fell,east,Benwell and Scotswood,borders,Chowdene,far,Chelmsley Wood,"Low Fell is borders Chowdene, far to Chelmsley Wood, and east of Benwell and Scotswood",Does Low Fell border Chowdene and far to Chelmsley Wood and east of Benwell and Scotswood?,Yes,no_change
Low Fell,east,Benwell and Scotswood,borders,Chowdene,far,Chelmsley Wood,"Low Fell is borders Chowdene, far to Chelmsley Wood, and east of Benwell and Scotswood",Does Low Fell border Chowdene and far to Chelmsley Wood and west of Benwell and Scotswood?,No,replace_dir_token
Cressington,east,Seacombe,borders,Church,far,Morley West Yorkshire,"Cressington is borders Church, far to Morley West Yorkshire, and east of Seacombe",Does Cressington border Church and far to Morley West Yorkshire and east of Seacombe?,Yes,no_change
Cressington,east,Seacombe,borders,Church,far,Morley West Yorkshire,"Cressington is borders Church, far to Morley West Yorkshire, and east of Seacombe",Is Cressington within Church and far to Morley West Yorkshire and east of Seacombe?,No,replace_top_token
Hyde Werneth,east,Kersal,borders,Denton South,far,Ryton Crookhill and Stella,"Hyde Werneth is borders Denton South, far to Ryton Crookhill and Stella, and east of Kersal",Does Hyde Werneth border Denton South and far to Ryton Crookhill and Stella and east of Kersal?,Yes,no_change
Hyde Werneth,east,Kersal,borders,Denton South,far,Ryton Crookhill and Stella,"Hyde Werneth is borders Denton South, far to Ryton Crookhill and Stella, and east of Kersal",Does Denton South border Hyde Werneth and far to Ryton Crookhill and Stella and east of Kersal?,No,flip_place
Winton,east,Newton,borders,Irlam,far,Dinnington St. John's,"Winton is borders Irlam, far to Dinnington St. John's, and east of Newton",Does Winton border Irlam and far to Dinnington St. John's and east of Newton?,Yes,no_change
Winton,east,Newton,borders,Irlam,far,Dinnington St. John's,"Winton is borders Irlam, far to Dinnington St. John's, and east of Newton",Does Winton border Irlam and near to Dinnington St. John's and east of Newton?,No,replace_dis_token
Sharston,east,Blundellsands,borders,Baguley,far,Whickham North,"Sharston is borders Baguley, far to Whickham North, and east of Blundellsands",Does Sharston border Baguley and far to Whickham North and east of Blundellsands?,Yes,no_change
Sharston,east,Blundellsands,borders,Baguley,far,Whickham North,"Sharston is borders Baguley, far to Whickham North, and east of Blundellsands",Does Baguley border Sharston and far to Whickham North and east of Blundellsands?,No,flip_place
Halesowen South,east,Wollaston and Stourbridge Town,borders,Quinton,far,Kingstone,"Halesowen South is borders Quinton, far to Kingstone, and east of Wollaston and Stourbridge Town",Does Halesowen South border Quinton and far to Kingstone and east of Wollaston and Stourbridge Town?,Yes,no_change
Halesowen South,east,Wollaston and Stourbridge Town,borders,Quinton,far,Kingstone,"Halesowen South is borders Quinton, far to Kingstone, and east of Wollaston and Stourbridge Town",Does Halesowen South border Quinton and far to Kingstone and west of Wollaston and Stourbridge Town?,No,replace_dir_token
Armthorpe,east,Keighley,borders,Hatfield,far,Blackrod,"Armthorpe is borders Hatfield, far to Blackrod, and east of Keighley",Does Armthorpe border Hatfield and far to Blackrod and east of Keighley?,Yes,no_change
Armthorpe,east,Keighley,borders,Hatfield,far,Blackrod,"Armthorpe is borders Hatfield, far to Blackrod, and east of Keighley",Does Hatfield border Armthorpe and far to Blackrod and east of Keighley?,No,flip_place
Tipton Green,east,St. James's,borders,Great Bridge,far,Woodhouse,"Tipton Green is borders Great Bridge, far to Woodhouse, and east of St. James's",Does Tipton Green border Great Bridge and far to Woodhouse and east of St. James's?,Yes,no_change
Tipton Green,east,St. James's,borders,Great Bridge,far,Woodhouse,"Tipton Green is borders Great Bridge, far to Woodhouse, and east of St. James's",Does Tipton Green border Great Bridge and far to Woodhouse and west of St. James's?,No,replace_dir_token
Irlam,east,Knotty Ash,borders,Davyhulme East,far,Normanton West Yorkshire,"Irlam is borders Davyhulme East, far to Normanton West Yorkshire, and east of Knotty Ash",Does Irlam border Davyhulme East and far to Normanton West Yorkshire and east of Knotty Ash?,Yes,no_change
Irlam,east,Knotty Ash,borders,Davyhulme East,far,Normanton West Yorkshire,"Irlam is borders Davyhulme East, far to Normanton West Yorkshire, and east of Knotty Ash",Does Irlam border Davyhulme East and near to Normanton West Yorkshire and east of Knotty Ash?,No,replace_dis_token
Wavertree,east,Moreton West and Saughall Massie,borders,Old Swan,far,Sprotbrough and Cusworth,"Wavertree is borders Old Swan, far to Sprotbrough and Cusworth, and east of Moreton West and Saughall Massie",Does Wavertree border Old Swan and far to Sprotbrough and Cusworth and east of Moreton West and Saughall Massie?,Yes,no_change
Wavertree,east,Moreton West and Saughall Massie,borders,Old Swan,far,Sprotbrough and Cusworth,"Wavertree is borders Old Swan, far to Sprotbrough and Cusworth, and east of Moreton West and Saughall Massie",Does Old Swan border Wavertree and far to Sprotbrough and Cusworth and east of Moreton West and Saughall Massie?,No,flip_place
Todmorden,east,Norwood,borders,Littleborough Lakeside,far,Blakelaw and North Fenham,"Todmorden is borders Littleborough Lakeside, far to Blakelaw and North Fenham, and east of Norwood",Does Todmorden border Littleborough Lakeside and far to Blakelaw and North Fenham and east of Norwood?,Yes,no_change
Todmorden,east,Norwood,borders,Littleborough Lakeside,far,Blakelaw and North Fenham,"Todmorden is borders Littleborough Lakeside, far to Blakelaw and North Fenham, and east of Norwood",Does Todmorden border Littleborough Lakeside and near to Blakelaw and North Fenham and east of Norwood?,No,replace_dis_token
