question,options,answer,option_sources,concept,top,dis,dir
Which city lies north to St. Matthew's and borders Wigan West?,"A. Standish with Langtree
B. Simonside and Rekendyke
C. Shiney Row",A. Standish with Langtree,"correct,partial,random",2,1,0,1
Which city lies east to Princes Park and within Sheffield?,"A. Gorse Hill
B. City
C. Monk Bretton",B. City,"partial,correct,random",2,1,0,1
Which city lies north to St. Pauls and borders Nether Edge & Sharrow?,"A. Speke-Garston
B. City
C. Haydock",B. City,"partial,correct,random",2,1,0,1
Which city lies west to Henley and within West Midlands Euro Region?,"A. Horsley Hill
B. Tipton Green
C. Tyburn",C. Tyburn,"random,partial,correct",2,1,0,1
Which city lies south to Davyhulme West and borders Hodge Hill?,"A. Great Barr with Yew Tree
B. Boston Castle
C. Tyburn",C. Tyburn,"partial,random,correct",2,1,0,1
Which city lies west to Stairfoot and within Metropolitan Borough of Knowsley?,"A. Greenbank
B. Stockbridge
C. Wheatley Hills & Intake",B. Stockbridge,"partial,correct,random",2,1,0,1
Which city lies south to Birkdale and borders Page Moss?,"A. Stalybridge North
B. Soho
C. Stockbridge",C. Stockbridge,"random,partial,correct",2,1,0,1
Which city lies north to Holderness and borders Alwoodley?,"A. Willenhall North
B. Illingworth and Mixenden
C. Harewood",C. Harewood,"random,partial,correct",2,1,0,1
Which city lies north to Denton South and within Kirklees?,"A. North Heywood
B. Castleton
C. Colne Valley",C. Colne Valley,"random,partial,correct",2,1,0,1
Which city lies east to Rainford and borders Golcar?,"A. Whitefield
B. Colne Valley
C. Great Horton",B. Colne Valley,"random,correct,partial",2,1,0,1
Which city lies south to Birtley and borders Billinge and Seneley Green?,"A. Rainford
B. Warley
C. Penistone East",A. Rainford,"correct,random,partial",2,1,0,1
Which city lies north to Stepping Hill and within North West Euro Region?,"A. Gorton South
B. Bradford Moor
C. Childwall",A. Gorton South,"correct,partial,random",2,1,0,1
Which city lies east to Eccleston St Helens and borders Longsight?,"A. Gorton South
B. Whitley Bay
C. Woodhouse Park",A. Gorton South,"correct,random,partial",2,1,0,1
Which city lies north to Cradley Heath and Old Hill and within North West Euro Region?,"A. Little Hulton
B. Beauchief & Greenhill
C. Burnage",A. Little Hulton,"correct,partial,random",2,1,0,1
Which city lies west to Normanton West Yorkshire and borders Atherton?,"A. St. Helens
B. Breightmet
C. Little Hulton",C. Little Hulton,"random,partial,correct",2,1,0,1
Which city lies south to Wingrove and within Metropolitan Borough of Doncaster?,"A. Cleckheaton
B. Edlington & Warmsworth
C. Kingswinford North and Wall Heath",B. Edlington & Warmsworth,"partial,correct,random",2,1,0,1
Which city lies north to Henley and borders Balby South?,"A. Normanton West Yorkshire
B. Mossley Hill
C. Edlington & Warmsworth",C. Edlington & Warmsworth,"random,partial,correct",2,1,0,1
Which city lies west to Elland and within North West Euro Region?,"A. North East
B. Horwich and Blackrod
C. Park",B. Horwich and Blackrod,"random,correct,partial",2,1,0,1
Which city lies north to Pedmore and Stourbridge East and borders Horwich?,"A. Amblecote
B. West Heywood
C. Horwich and Blackrod",C. Horwich and Blackrod,"random,partial,correct",2,1,0,1
Which city lies south to Temple Newsam and within West Midlands Euro Region?,"A. Willenhall North
B. Brierley Hill
C. Milnrow and Newhey",B. Brierley Hill,"partial,correct,random",2,1,0,1
Which city lies west to Tividale and borders Amblecote?,"A. Wath
B. Norton
C. Brierley Hill",C. Brierley Hill,"random,partial,correct",2,1,0,1
Which city lies south to Winlaton and High Spen and within City of Wakefield?,"A. Bebington
B. Wrenthorpe and Outwood West
C. Crompton",B. Wrenthorpe and Outwood West,"random,correct,partial",2,1,0,1
Which city lies east to Ashton upon Mersey and borders Ardsley and Robin Hood?,"A. Bridges
B. Monk Bretton
C. Wrenthorpe and Outwood West",C. Wrenthorpe and Outwood West,"random,partial,correct",2,1,0,1
Which city lies south to Edlington & Warmsworth and within West Midlands Euro Region?,"A. Lemington
B. Edgbaston
C. Perry Barr",B. Edgbaston,"random,correct,partial",2,1,0,1
Which city lies west to South Yardley and borders Sparkbrook?,"A. Great Bridge
B. Wheatley Hills & Intake
C. Edgbaston",C. Edgbaston,"partial,random,correct",2,1,0,1
Which city lies south to Horsley Hill and within Metropolitan Borough of Sefton?,"A. Town
B. Linacre
C. Bramhall North",B. Linacre,"random,correct,partial",2,1,0,1
Which city lies north to Bentley and Darlaston North and borders Litherland?,"A. Castle Eden
B. Cleckheaton
C. Linacre",C. Linacre,"random,partial,correct",2,1,0,1
Which city lies west to Henley and within West Midlands Euro Region?,"A. Graiseley
B. Bentley and Darlaston North
C. Upton",A. Graiseley,"correct,partial,random",2,1,0,1
Which city lies south to Penistone and borders Park?,"A. Graiseley
B. Blythe
C. Charlemont with Grove Vale",A. Graiseley,"correct,partial,random",2,1,0,1
Which city lies north to Aldridge Central and South and within Yorkshire and the Humber Euro Region?,"A. Shiregreen & Brightside
B. Stalybridge North
C. Dewsbury West",C. Dewsbury West,"random,partial,correct",2,1,0,1
Which city lies west to Finningley and borders Dewsbury South?,"A. Ramsbottom
B. Cross Gates and Whinmoor
C. Dewsbury West",C. Dewsbury West,"partial,random,correct",2,1,0,1
Which city lies west to Wales South Yorkshire and within Metropolitan Borough of Oldham?,"A. Bromborough
B. Central
C. Chadderton Central",C. Chadderton Central,"random,partial,correct",2,1,0,1
Which city lies south to Harton and borders Coldhurst?,"A. Chadderton Central
B. Blakenall
C. Belle Vale",A. Chadderton Central,"correct,partial,random",2,1,0,1
Which city lies south to Horbury and South Ossett and within West Midlands Euro Region?,"A. Westhoughton North and Chew Moor
B. Bushbury North
C. Hoober",B. Bushbury North,"random,correct,partial",2,1,0,1
Which city lies west to Great Barr with Yew Tree and borders Doxey?,"A. City
B. Bilston North
C. Bushbury North",C. Bushbury North,"random,partial,correct",2,1,0,1
Which city lies north to Ashton St. Michael's and within Kirklees?,"A. Ashbrow
B. Denton
C. Darnall",A. Ashbrow,"correct,partial,random",2,1,0,1
Which city lies south to Boldon Colliery and borders Dalton?,"A. Ashbrow
B. Blundellsands
C. East Gosforth",A. Ashbrow,"correct,partial,random",2,1,0,1
Which city lies east to Heaton and Lostock and within Metropolitan Borough of Doncaster?,"A. Unsworth
B. Merry Hill
C. Balby South",C. Balby South,"partial,random,correct",2,1,0,1
Which city lies south to Hyde Park and Woodhouse and borders Hexthorpe & Balby North?,"A. Central
B. Balby South
C. Bablake",B. Balby South,"random,correct,partial",2,1,0,1
Which city lies east to Hindley and within Yorkshire and the Humber Euro Region?,"A. Besses
B. Pontefract North
C. Bradford",B. Pontefract North,"random,correct,partial",2,1,0,1
Which city lies north to Ladywood and borders Knottingley?,"A. Westwood
B. Pontefract North
C. Normanton West Yorkshire",B. Pontefract North,"random,correct,partial",2,1,0,1
Which city lies south to East Gosforth and within Metropolitan Borough of Gateshead?,"A. Deckham
B. Blythe
C. Ashton St. Michael's",A. Deckham,"correct,random,partial",2,1,0,1
Which city lies north to Orgreave South Yorkshire and borders Windy Nook and Whitehills?,"A. Golborne and Lowton West
B. Southey
C. Deckham",C. Deckham,"random,partial,correct",2,1,0,1
Which city lies east to Quinton and within West Midlands Euro Region?,"A. Brierley Hill
B. Wainbody
C. Chelmsley Wood",B. Wainbody,"partial,correct,random",2,1,0,1
Which city lies south to Brinnington and Central and borders Westwood?,"A. Bartley Green
B. Wainbody
C. Washwood Heath",B. Wainbody,"partial,correct,random",2,1,0,1
Which city lies south to Radcliffe East and within Coventry?,"A. Charlemont with Grove Vale
B. Whoberley
C. Bloxwich East",B. Whoberley,"partial,correct,random",2,1,0,1
Which city lies east to Tettenhall Regis and borders Sherbourne Warwickshire?,"A. St. Matthew's
B. Whoberley
C. East Middleton",B. Whoberley,"partial,correct,random",2,1,0,1
Which city lies north to Merry Hill and within Yorkshire and the Humber Euro Region?,"A. Farnley and Wortley
B. Ashbrow
C. Standish with Langtree",A. Farnley and Wortley,"correct,random,partial",2,1,0,1
Which city lies east to Swanside and borders Pudsey?,"A. Soho
B. Farnley and Wortley
C. Besses",B. Farnley and Wortley,"random,correct,partial",2,1,0,1
Which city lies south to High Fell and within Birmingham?,"A. Bradshaw
B. Kings Norton
C. Town Centre",B. Kings Norton,"partial,correct,random",2,1,0,1
Which city lies east to Netherton Woodside and St. Andrews and borders Bournville?,"A. Kings Norton
B. Hodge Hill
C. Oscott",A. Kings Norton,"correct,partial,random",2,1,0,1
Which city lies north to Tyburn and within Yorkshire and the Humber Euro Region?,"A. Stockbridge
B. Irlam
C. Cleckheaton",C. Cleckheaton,"partial,random,correct",2,1,0,1
Which city lies east to Tuebrook and Stoneycroft and borders Tong?,"A. Shiregreen & Brightside
B. Cleckheaton
C. East Park",B. Cleckheaton,"partial,correct,random",2,1,0,1
Which city lies south to Rotherham West and borders Radford?,"A. Sherbourne Warwickshire
B. Upper Gornal and Woodsetton
C. Norton",A. Sherbourne Warwickshire,"correct,partial,random",2,1,0,1
Which city lies north to Merry Hill and within North West Euro Region?,"A. Parklands
B. Stalybridge North
C. Ashton upon Mersey",C. Ashton upon Mersey,"random,partial,correct",2,1,0,1
Which city lies south to Smithills and borders St. Mary's?,"A. Sitwell
B. Ashton upon Mersey
C. Cradley and Wollescote",B. Ashton upon Mersey,"random,correct,partial",2,1,0,1
Which city lies west to Swinton North and within Metropolitan Borough of Bolton?,"A. Oxton
B. Birtley
C. Harper Green",C. Harper Green,"partial,random,correct",2,1,0,1
Which city lies east to Netherton and Orrell and borders Farnworth?,"A. Denton South
B. Cheylesmore
C. Harper Green",C. Harper Green,"partial,random,correct",2,1,0,1
Which city lies west to Westoe and within North Tyneside?,"A. Whickham South and Sunniside
B. Great Lever
C. Weetslade",C. Weetslade,"partial,random,correct",2,1,0,1
Which city lies north to Denby Dale and borders Camperdown?,"A. Weetslade
B. St. Anne's
C. Armley",A. Weetslade,"correct,random,partial",2,1,0,1
Which city lies east to Hale Barns and within Yorkshire and the Humber Euro Region?,"A. Rotherham East
B. Preston
C. Farnley and Wortley",A. Rotherham East,"correct,random,partial",2,1,0,1
Which city lies north to Aldridge Central and South and borders Silverwood?,"A. Cleckheaton
B. Rotherham East
C. Greenhead",B. Rotherham East,"random,correct,partial",2,1,0,1
Which city lies north to Acocks Green and within Metropolitan Borough of Sefton?,"A. St. Oswald
B. Cambridge
C. Claughton",B. Cambridge,"partial,correct,random",2,1,0,1
Which city lies south to Millfield and borders Duke's?,"A. Heatons South
B. Cambridge
C. Valley",B. Cambridge,"partial,correct,random",2,1,0,1
Which city lies north to Edgbaston and within North West Euro Region?,"A. Farnley and Wortley
B. Liscard
C. Dearne North",B. Liscard,"random,correct,partial",2,1,0,1
Which city lies west to Walkley and borders Kirkdale?,"A. Holme Valley
B. Boothstown and Ellenbrook
C. Liscard",C. Liscard,"random,partial,correct",2,1,0,1
Which city lies east to Greasby Frankby and Irby and within Manchester?,"A. Linacre
B. Rusholme
C. Cheadle Hulme North",B. Rusholme,"random,correct,partial",2,1,0,1
Which city lies south to Calder and borders Longsight?,"A. Rusholme
B. Old Moat
C. Pendlebury",A. Rusholme,"correct,random,partial",2,1,0,1
Which city lies north to Acocks Green and within Metropolitan Borough of St Helens?,"A. Washington South
B. Thatto Heath
C. Birstall and Birkenshaw",B. Thatto Heath,"random,correct,partial",2,1,0,1
Which city lies south to Tynemouth and borders Bold St Helens?,"A. Hendon
B. Thatto Heath
C. Leigh West",B. Thatto Heath,"partial,correct,random",2,1,0,1
Which city lies north to Heatons North and within Metropolitan Borough of Oldham?,"A. Walkergate
B. Saddleworth West and Lees
C. Royds",B. Saddleworth West and Lees,"partial,correct,random",2,1,0,1
Which city lies west to Darfield and borders Mossley?,"A. Bradford
B. Saddleworth West and Lees
C. Metropolitan Borough of Rochdale",B. Saddleworth West and Lees,"partial,correct,random",2,1,0,1
Which city lies north to Langley and within North West Euro Region?,"A. Denton West
B. Stockbridge
C. Balby South",A. Denton West,"correct,random,partial",2,1,0,1
Which city lies south to Birtley and borders Reddish South?,"A. Denton West
B. Almondbury
C. Batley West",A. Denton West,"correct,random,partial",2,1,0,1
Which city lies north to Bingley Rural and within Newcastle upon Tyne?,"A. Newburn
B. Craven
C. Metropolitan Borough of Knowsley",A. Newburn,"correct,partial,random",2,1,0,1
Which city lies west to Hebburn North and borders Lemington?,"A. Washington Central
B. Newburn
C. Ryton Crookhill and Stella",B. Newburn,"random,correct,partial",2,1,0,1
Which city lies north to Dore & Totley and within Newcastle upon Tyne?,"A. Higher Blackley
B. Bingley
C. North Jesmond",C. North Jesmond,"random,partial,correct",2,1,0,1
Which city lies east to Newburn and borders North Heaton?,"A. Lobley Hill and Bensham
B. Bridges
C. North Jesmond",C. North Jesmond,"random,partial,correct",2,1,0,1
Which city lies west to St. Helens and within North West Euro Region?,"A. Clatterbridge
B. Littleborough Lakeside
C. Hall Green",A. Clatterbridge,"correct,partial,random",2,1,0,1
Which city lies south to East Gosforth and borders Pensby and Thingwall?,"A. Atherleigh
B. Ashton St. Michael's
C. Clatterbridge",C. Clatterbridge,"partial,random,correct",2,1,0,1
Which city lies south to Litherland and within West Midlands Euro Region?,"A. Brandwood
B. Cradley Heath and Old Hill
C. Tickhill & Wadsworth",B. Cradley Heath and Old Hill,"partial,correct,random",2,1,0,1
Which city lies west to Meriden West Midlands and borders Quarry Bank and Dudley Wood?,"A. Cradley Heath and Old Hill
B. Bushbury North
C. Bilston North",A. Cradley Heath and Old Hill,"correct,partial,random",2,1,0,1
Which city lies south to Houghton and within Yorkshire and the Humber Euro Region?,"A. Worsley
B. Swinton
C. Kensington and Fairfield",B. Swinton,"partial,correct,random",2,1,0,1
Which city lies east to Wigan West and borders Silverwood?,"A. Heath Town
B. Swinton
C. Elland",B. Swinton,"random,correct,partial",2,1,0,1
Which city lies east to Ashton and within Yorkshire and the Humber Euro Region?,"A. Worsbrough
B. Beacon and Bents
C. Hyde Newton",A. Worsbrough,"correct,random,partial",2,1,0,1
Which city lies north to St. Thomas's and borders Hoyland Milton?,"A. Bold St Helens
B. Cradley Heath and Old Hill
C. Worsbrough",C. Worsbrough,"partial,random,correct",2,1,0,1
Which city lies south to Miles Platting and Newton Heath and within Metropolitan Borough of Walsall?,"A. Heatons North
B. Horwich and Blackrod
C. Aldridge North and Walsall Wood",C. Aldridge North and Walsall Wood,"partial,random,correct",2,1,0,1
Which city lies east to Darlaston South and borders Pelsall?,"A. Liverpool
B. Aldridge North and Walsall Wood
C. Kingstanding",B. Aldridge North and Walsall Wood,"random,correct,partial",2,1,0,1
Which city lies north to Cadishead and within Yorkshire and the Humber Euro Region?,"A. Mosborough
B. Luddendenfoot
C. Shirley South",B. Luddendenfoot,"partial,correct,random",2,1,0,1
Which city lies east to Moreton West and Saughall Massie and borders Warley?,"A. Castle
B. Sharston
C. Luddendenfoot",C. Luddendenfoot,"random,partial,correct",2,1,0,1
Which city lies west to Bessacarr and within Metropolitan Borough of Bolton?,"A. Page Moss
B. Rumworth
C. Dore & Totley",B. Rumworth,"random,correct,partial",2,1,0,1
Which city lies north to Holbrook and borders Hulton?,"A. North Jesmond
B. Dore & Totley
C. Rumworth",C. Rumworth,"partial,random,correct",2,1,0,1
Which city lies north to Aldridge Central and South and within Yorkshire and the Humber Euro Region?,"A. Calder
B. Tividale
C. Rockingham",C. Rockingham,"partial,random,correct",2,1,0,1
Which city lies east to Reddish South and borders Penistone East?,"A. Dewsbury West
B. Dalton
C. Rockingham",C. Rockingham,"partial,random,correct",2,1,0,1
Which city lies south to Kirkstall and within Metropolitan Borough of Rotherham?,"A. Woodhouse
B. Alexandra
C. Wath",C. Wath,"partial,random,correct",2,1,0,1
Which city lies north to Bickenhill and borders Silverwood?,"A. Wath
B. Longbenton
C. Craven",A. Wath,"correct,partial,random",2,1,0,1
Which city lies east to Swanside and within North West Euro Region?,"A. Clatterbridge
B. Didsbury East
C. Northumberland",B. Didsbury East,"partial,correct,random",2,1,0,1
Which city lies north to Longbridge and borders Northenden?,"A. Breightmet
B. Wharfedale
C. Didsbury East",C. Didsbury East,"partial,random,correct",2,1,0,1
Which city lies south to Copt Hill and within Yorkshire and the Humber Euro Region?,"A. Tickhill & Wadsworth
B. Worth Valley
C. Derby",A. Tickhill & Wadsworth,"correct,partial,random",2,1,0,1
Which city lies north to Lower Stoke and borders Hellaby?,"A. Tickhill & Wadsworth
B. County Borough of Leeds
C. Birstall and Birkenshaw",A. Tickhill & Wadsworth,"correct,random,partial",2,1,0,1
Which city lies south to Hellaby and within West Midlands Euro Region?,"A. Bushbury South and Low Hill
B. Upper Stoke
C. Handsworth Wood",B. Upper Stoke,"random,correct,partial",2,1,0,1
Which city lies east to Rowley and borders St. Michael's?,"A. Unsworth
B. Upper Stoke
C. Stockland Green",B. Upper Stoke,"random,correct,partial",2,1,0,1
Which city lies east to Idle and Thackley and within Yorkshire and the Humber Euro Region?,"A. Stanley and Outwood East
B. Wath
C. St. Helens",A. Stanley and Outwood East,"correct,random,partial",2,1,0,1
Which city lies west to Rossington and borders Kippax West Yorkshire?,"A. Ince
B. Manchester
C. Stanley and Outwood East",C. Stanley and Outwood East,"partial,random,correct",2,1,0,1
Which city lies east to Victoria and within Yorkshire and the Humber Euro Region?,"A. Sutton Four Oaks
B. Lindley
C. Little Horton",C. Little Horton,"random,partial,correct",2,1,0,1
Which city lies north to Longford and borders Tong?,"A. Bucklow-St. Martins
B. Stepping Hill
C. Little Horton",C. Little Horton,"random,partial,correct",2,1,0,1
Which city lies south to Ardsley and Robin Hood and within Metropolitan Borough of Dudley?,"A. Hipperholme and Lightcliffe
B. Bloxwich East
C. Coseley East",C. Coseley East,"random,partial,correct",2,1,0,1
Which city lies west to Radford and borders Castle and Priory?,"A. Coseley East
B. Moseley and Kings Heath
C. Golborne and Lowton West",A. Coseley East,"correct,partial,random",2,1,0,1
Which city lies south to North Heaton and within Yorkshire and the Humber Euro Region?,"A. Golborne and Lowton West
B. Almondbury
C. Ecclesall",C. Ecclesall,"random,partial,correct",2,1,0,1
Which city lies east to Hazel Grove and borders Beauchief & Greenhill?,"A. Brinsworth and Catcliffe
B. Ecclesall
C. Dukinfield Stalybridge",B. Ecclesall,"partial,correct,random",2,1,0,1
Which city lies south to Picton Cheshire and within West Midlands Euro Region?,"A. Soho
B. Castle and Priory
C. Kingstanding",A. Soho,"correct,partial,random",2,1,0,1
Which city lies north to Shirley East and borders Lozells and East Handsworth?,"A. Westwood
B. Charlestown
C. Soho",C. Soho,"random,partial,correct",2,1,0,1
Which city lies east to Crosland Moor and Netherton and within Metropolitan Borough of Rotherham?,"A. Sitwell
B. Keppel
C. Hollinwood",B. Keppel,"partial,correct,random",2,1,0,1
Which city lies south to North Jesmond and borders Wingfield?,"A. Keppel
B. Kingsway
C. Sedgley",A. Keppel,"correct,random,partial",2,1,0,1
Which city lies south to Hemsworth and within Wolverhampton?,"A. Windle St Helens
B. Fallings Park
C. Bilston East",B. Fallings Park,"random,correct,partial",2,1,0,1
Which city lies west to Sutton Vesey and borders Bushbury South and Low Hill?,"A. Norris Green
B. Norton
C. Fallings Park",C. Fallings Park,"random,partial,correct",2,1,0,1
Which city lies south to Benwell and Scotswood and borders Mossley?,"A. Saddleworth
B. Ryhope
C. Liversedge and Gomersal",A. Saddleworth,"correct,random,partial",2,1,0,1
Which city lies east to Crompton and within Yorkshire and the Humber Euro Region?,"A. Guiseley and Rawdon
B. Mexborough
C. Horbury and South Ossett",B. Mexborough,"partial,correct,random",2,1,0,1
Which city lies south to Tynemouth and borders Sprotbrough and Cusworth?,"A. Mexborough
B. Hoyland Milton
C. Cradley and Wollescote",A. Mexborough,"correct,random,partial",2,1,0,1
Which city lies west to Nechells and within West Midlands Euro Region?,"A. Tickhill & Wadsworth
B. Foleshill
C. Ladywood",C. Ladywood,"random,partial,correct",2,1,0,1
Which city lies east to Abbey and borders Edgbaston?,"A. Hebburn South
B. Longford
C. Ladywood",C. Ladywood,"random,partial,correct",2,1,0,1
Which city lies south to Riverside and within City of Wakefield?,"A. Wakefield West
B. Armley
C. Harpurhey",A. Wakefield West,"correct,random,partial",2,1,0,1
Which city lies west to Hatfield and borders Ossett?,"A. Wyke
B. Norris Green
C. Wakefield West",C. Wakefield West,"partial,random,correct",2,1,0,1
Which city lies east to Hyde Godley and within Metropolitan Borough of Barnsley?,"A. Darton West
B. Old Town
C. Crookes & Crosspool",B. Old Town,"random,correct,partial",2,1,0,1
Which city lies north to Woodlands and borders St. Helens?,"A. Old Town
B. Tong
C. Hale Barns",A. Old Town,"correct,partial,random",2,1,0,1
Which city lies north to Offerton Park and within Yorkshire and the Humber Euro Region?,"A. Bowling and Barkerend
B. Hoyland Milton
C. Bilston North",A. Bowling and Barkerend,"correct,partial,random",2,1,0,1
Which city lies east to Moss Bank and borders Tong?,"A. Bowling and Barkerend
B. St. Michael's
C. Cheetham",A. Bowling and Barkerend,"correct,random,partial",2,1,0,1
Which city lies north to Birstall and Birkenshaw and within Yorkshire and the Humber Euro Region?,"A. Almondbury
B. Manningham
C. Mexborough",B. Manningham,"partial,correct,random",2,1,0,1
Which city lies west to Middleton Park and borders Heaton?,"A. Northowram and Shelf
B. Broadheath
C. Manningham",C. Manningham,"random,partial,correct",2,1,0,1
Which city lies east to Almondbury and within Metropolitan Borough of Barnsley?,"A. Cudworth
B. Monk Bretton
C. St. Helens",C. St. Helens,"partial,random,correct",2,1,0,1
Which city lies south to Camperdown and borders Monk Bretton?,"A. Rowley
B. Healey
C. St. Helens",C. St. Helens,"partial,random,correct",2,1,0,1
Which city lies east to Leigh West and within Yorkshire and the Humber Euro Region?,"A. Wakefield East
B. Lindley
C. Park & Arbourthorne",C. Park & Arbourthorne,"partial,random,correct",2,1,0,1
Which city lies west to Anston and Woodsetts and borders Gleadless Valley?,"A. Park & Arbourthorne
B. Monkseaton South
C. Milnrow and Newhey",A. Park & Arbourthorne,"correct,random,partial",2,1,0,1
Which city lies east to Sudell and within Kirklees?,"A. Fallowfield
B. Dewsbury East
C. Moortown",B. Dewsbury East,"random,correct,partial",2,1,0,1
Which city lies north to St. Matthew's and borders Dewsbury West?,"A. Dewsbury East
B. Bloxwich East
C. Denton North East",A. Dewsbury East,"correct,random,partial",2,1,0,1
Which city lies east to Fallings Park and within Metropolitan Borough of Walsall?,"A. Bablake
B. East Ecclesfield
C. Bloxwich East",C. Bloxwich East,"partial,random,correct",2,1,0,1
Which city lies south to Wales South Yorkshire and borders Blakenall?,"A. Elton
B. Bloxwich East
C. Moseley and Kings Heath",B. Bloxwich East,"random,correct,partial",2,1,0,1
Which city lies west to Hulton and within Metropolitan Borough of Knowsley?,"A. Standish with Langtree
B. Halewood North
C. Kirkstall",B. Halewood North,"partial,correct,random",2,1,0,1
Which city lies north to Moseley and Kings Heath and borders Allerton and Hunts Cross?,"A. Halewood North
B. Derby
C. Mossley",A. Halewood North,"correct,random,partial",2,1,0,1
Which city lies east to Old Swan and within Metropolitan Borough of Oldham?,"A. Shaw
B. Blackrod
C. Headingley",A. Shaw,"correct,partial,random",2,1,0,1
Which city lies north to Soho and borders St. James'?,"A. Shaw
B. Hyde Werneth
C. Wickersley",A. Shaw,"correct,random,partial",2,1,0,1
Which city lies west to Horsforth and within Metropolitan Borough of Wirral?,"A. Upton
B. Town Centre
C. Harper Green",A. Upton,"correct,partial,random",2,1,0,1
Which city lies north to Pensby and Thingwall and borders Pensby and Thingwall?,"A. Kirkburton
B. Parklands
C. Upton",C. Upton,"random,partial,correct",2,1,0,1
Which city lies south to East Middleton and within Birmingham?,"A. Bordesley Green
B. City of Bradford
C. Bramhall South and Woodford",A. Bordesley Green,"correct,random,partial",2,1,0,1
Which city lies east to Park and borders Nechells?,"A. Bordesley Green
B. Windle St Helens
C. Worth Valley",A. Bordesley Green,"correct,random,partial",2,1,0,1
Which city lies east to Wigan West and within Sheffield?,"A. Shiregreen & Brightside
B. Bilston East
C. Farnley and Wortley",A. Shiregreen & Brightside,"correct,random,partial",2,1,0,1
Which city lies north to Penn and borders Keppel?,"A. Wingfield
B. Tonge with the Haulgh
C. Shiregreen & Brightside",C. Shiregreen & Brightside,"partial,random,correct",2,1,0,1
Which city lies north to Dewsbury South and within Newcastle upon Tyne?,"A. Handsworth Wood
B. Walker
C. Windhill and Wrose",B. Walker,"random,correct,partial",2,1,0,1
Which city lies west to Beacon and Bents and borders Byker?,"A. North Jesmond
B. Walker
C. Whitburn and Marsden",B. Walker,"partial,correct,random",2,1,0,1
Which city lies south to Saddleworth West and Lees and within North West Euro Region?,"A. Newton
B. Saddleworth North
C. Fallowfield",A. Newton,"correct,random,partial",2,1,0,1
Which city lies west to Harpurhey and borders Golborne and Lowton West?,"A. Knotty Ash
B. Newton
C. Douglas",B. Newton,"random,correct,partial",2,1,0,1
Which city lies south to Greetland and Stainland and within Coventry?,"A. Radford
B. Beauchief & Greenhill
C. Alexandra",A. Radford,"correct,random,partial",2,1,0,1
Which city lies west to Henley and borders St. Michael's?,"A. Paddock
B. Radford
C. Cleadon and East Boldon",B. Radford,"partial,correct,random",2,1,0,1
Which city lies east to Molyneux and borders Didsbury West?,"A. Davyhulme East
B. Bamford
C. Withington",C. Withington,"random,partial,correct",2,1,0,1
Which city lies south to Didsbury East and within Metropolitan Borough of Dudley?,"A. Sedgley
B. Castle Bromwich
C. Cradley and Wollescote",C. Cradley and Wollescote,"random,partial,correct",2,1,0,1
Which city lies west to Lozells and East Handsworth and borders Cradley Heath and Old Hill?,"A. Cradley and Wollescote
B. Ashton upon Mersey
C. Willenhall South",A. Cradley and Wollescote,"correct,random,partial",2,1,0,1
Which city lies west to Halliwell and within North West Euro Region?,"A. Woolton
B. Milnrow and Newhey
C. Meols",C. Meols,"partial,random,correct",2,1,0,1
Which city lies north to Moseley and Kings Heath and borders Norwood?,"A. Thornton and Allerton
B. Manningham
C. Meols",C. Meols,"random,partial,correct",2,1,0,1
Which city lies west to Pemberton and within Liverpool?,"A. Hexthorpe & Balby North
B. Clubmoor
C. Church",C. Church,"random,partial,correct",2,1,0,1
Which city lies south to Collingwood and borders Redvales?,"A. Heaton
B. Church
C. Victoria",B. Church,"partial,correct,random",2,1,0,1
Which city lies south to Stockbridge and within Metropolitan Borough of Dudley?,"A. Bushbury South and Low Hill
B. Radford
C. Amblecote",C. Amblecote,"partial,random,correct",2,1,0,1
Which city lies west to Great Barr with Yew Tree and borders Quarry Bank and Dudley Wood?,"A. Greets Green and Lyng
B. Morley South
C. Amblecote",C. Amblecote,"partial,random,correct",2,1,0,1
Which city lies west to Garforth and Swillington and within Kirklees?,"A. Holme Valley North
B. Calderdale
C. Cleckheaton",A. Holme Valley North,"correct,random,partial",2,1,0,1
Which city lies east to Higher Blackley and borders Crosland Moor and Netherton?,"A. Holme Valley North
B. Werneth
C. Fazakerley",A. Holme Valley North,"correct,partial,random",2,1,0,1
Which city lies north to Stepping Hill and within Tameside?,"A. Hyde Newton
B. Wibsey
C. Radcliffe East",A. Hyde Newton,"correct,partial,random",2,1,0,1
Which city lies south to Barnes and borders Hyde Godley?,"A. Cradley Heath and Old Hill
B. Rainford
C. Hyde Newton",C. Hyde Newton,"random,partial,correct",2,1,0,1
Which city lies south to Darfield and within Metropolitan Borough of Rotherham?,"A. Rother Vale
B. Balderstone and Kirkholt
C. Streetly",A. Rother Vale,"correct,random,partial",2,1,0,1
Which city lies north to Merry Hill and borders Beighton?,"A. Chadderton North
B. Walker
C. Rother Vale",C. Rother Vale,"partial,random,correct",2,1,0,1
Which city lies east to Worsley Mesnes and within Kirklees?,"A. Old Town
B. Kirkburton
C. Broomhill & Sharrow Vale",B. Kirkburton,"random,correct,partial",2,1,0,1
Which city lies south to Liversedge and Gomersal and borders Dalton?,"A. Upper Stoke
B. Longdendale
C. Kirkburton",C. Kirkburton,"partial,random,correct",2,1,0,1
