place1,relation,place2,triplet,question,options,answer,option_sources
Manningham,distant,Moorside,Manningham is distant Moorside,Which city is distant to Moorside?,"A. Boston Castle
B. Manningham
C. Short Heath",B. Manningham,"hard,correct,random"
Dewsbury West,distant,Redvales,Dewsbury West is distant Redvales,Which city is distant to Redvales?,"A. Dewsbury West
B. Birkenhead and Tranmere
C. Blakelaw and North Fenham",A. Dewsbury West,"correct,hard,random"
Shevington with Lower Ground,distant,St. Mary's,Shevington with Lower Ground is distant St. Mary's,Which city is distant to St. Mary's?,"A. Chelmsley Wood
B. Shevington with Lower Ground
C. Bebington",B. Shevington with Lower Ground,"random,correct,hard"
Dearne North,distant,Killingbeck and Seacroft,Dearne North is distant Killingbeck and Seacroft,Which city is distant to Killingbeck and Seacroft?,"A. Brighouse
B. Golborne and Lowton West
C. Dearne North",C. Dearne North,"hard,random,correct"
Barton,distant,Saddleworth,Barton is distant Saddleworth,Which city is distant to Saddleworth?,"A. Sale Moor
B. Hatfield
C. Barton",C. Barton,"hard,random,correct"
Hindley,distant,Kingsway,Hindley is distant Kingsway,Which city is distant to Kingsway?,"A. Dunston Hill and Whickham East
B. Hindley
C. Boston Castle",B. Hindley,"hard,correct,random"
Bramley and Stanningley,distant,Graves Park,Bramley and Stanningley is distant Graves Park,Which city is distant to Graves Park?,"A. Bramley and Stanningley
B. Ackworth North Elmsall and Upton
C. Great Bridge",A. Bramley and Stanningley,"correct,hard,random"
Shipley,distant,Werneth,Shipley is distant Werneth,Which city is distant to Werneth?,"A. Lozells and East Handsworth
B. Claughton
C. Shipley",C. Shipley,"hard,random,correct"
Darfield,distant,Worth Valley,Darfield is distant Worth Valley,Which city is distant to Worth Valley?,"A. North Manor
B. Darfield
C. Sharston",B. Darfield,"hard,correct,random"
Great Lever,distant,St. James',Great Lever is distant St. James',Which city is distant to St. James'?,"A. Wibsey
B. Breightmet
C. Great Lever",C. Great Lever,"random,hard,correct"
Ashton Waterloo,distant,Royds,Ashton Waterloo is distant Royds,Which city is distant to Royds?,"A. Penistone
B. Bramhall North
C. Ashton Waterloo",C. Ashton Waterloo,"random,hard,correct"
Ashton Hurst,distant,Farnley and Wortley,Ashton Hurst is distant Farnley and Wortley,Which city is distant to Farnley and Wortley?,"A. City Centre
B. Wallasey
C. Ashton Hurst",C. Ashton Hurst,"hard,random,correct"
Idle and Thackley,distant,Offerton Park,Idle and Thackley is distant Offerton Park,Which city is distant to Offerton Park?,"A. Edenthorpe
B. City
C. Idle and Thackley",C. Idle and Thackley,"random,hard,correct"
Failsworth East,distant,Moss Bank,Failsworth East is distant Moss Bank,Which city is distant to Moss Bank?,"A. Whickham South and Sunniside
B. Failsworth East
C. Cleckheaton",B. Failsworth East,"random,correct,hard"
Stannington,distant,Winton,Stannington is distant Winton,Which city is distant to Winton?,"A. Norton & Askern
B. Northowram and Shelf
C. Stannington",C. Stannington,"random,hard,correct"
Brinnington and Central,distant,Rotherham West,Brinnington and Central is distant Rotherham West,Which city is distant to Rotherham West?,"A. Clayton and Fairweather Green
B. Marple South
C. Brinnington and Central",C. Brinnington and Central,"random,hard,correct"
Brinsworth and Catcliffe,distant,Clayton and Fairweather Green,Brinsworth and Catcliffe is distant Clayton and Fairweather Green,Which city is distant to Clayton and Fairweather Green?,"A. Castle Eden
B. Chorlton
C. Brinsworth and Catcliffe",C. Brinsworth and Catcliffe,"random,hard,correct"
City,distant,Heatons South,City is distant Heatons South,Which city is distant to Heatons South?,"A. Monkseaton North
B. Batley East
C. City",C. City,"random,hard,correct"
Gleadless Valley,distant,Wakefield West,Gleadless Valley is distant Wakefield West,Which city is distant to Wakefield West?,"A. Collingwood
B. Village
C. Gleadless Valley",C. Gleadless Valley,"hard,random,correct"
Marple South,distant,Valley,Marple South is distant Valley,Which city is distant to Valley?,"A. City of Bradford
B. Marple South
C. Spring Vale",B. Marple South,"hard,correct,random"
Ardsley and Robin Hood,distant,Denton North East,Ardsley and Robin Hood is distant Denton North East,Which city is distant to Denton North East?,"A. Bingley
B. Killingbeck and Seacroft
C. Ardsley and Robin Hood",C. Ardsley and Robin Hood,"hard,random,correct"
Beauchief & Greenhill,distant,St. Mary's,Beauchief & Greenhill is distant St. Mary's,Which city is distant to St. Mary's?,"A. Beauchief & Greenhill
B. Billinge and Seneley Green
C. Molyneux",A. Beauchief & Greenhill,"correct,hard,random"
Brooklands,distant,Standish with Langtree,Brooklands is distant Standish with Langtree,Which city is distant to Standish with Langtree?,"A. Brooklands
B. Everton
C. Princes Park",A. Brooklands,"correct,hard,random"
Milnrow and Newhey,distant,Pontefract South,Milnrow and Newhey is distant Pontefract South,Which city is distant to Pontefract South?,"A. Milnrow and Newhey
B. Park
C. Moortown",A. Milnrow and Newhey,"correct,hard,random"
Hulton,distant,Seacombe,Hulton is distant Seacombe,Which city is distant to Seacombe?,"A. Hulton
B. Withington
C. Sheldon",A. Hulton,"correct,hard,random"
Bowdon,distant,Linacre,Bowdon is distant Linacre,Which city is distant to Linacre?,"A. Pallion
B. Bowdon
C. Broughton",B. Bowdon,"random,correct,hard"
Coldhurst,distant,Ecclesall,Coldhurst is distant Ecclesall,Which city is distant to Ecclesall?,"A. Norton & Askern
B. Northowram and Shelf
C. Coldhurst",C. Coldhurst,"hard,random,correct"
Dewsbury South,distant,Saddleworth North,Dewsbury South is distant Saddleworth North,Which city is distant to Saddleworth North?,"A. Dewsbury South
B. Broomhill & Sharrow Vale
C. Birley",A. Dewsbury South,"correct,hard,random"
City,distant,Liversedge and Gomersal,City is distant Liversedge and Gomersal,Which city is distant to Liversedge and Gomersal?,"A. City
B. Crompton
C. Broomhill & Sharrow Vale",A. City,"correct,hard,random"
Urmston,distant,Whiston & Cronton,Urmston is distant Whiston & Cronton,Which city is distant to Whiston & Cronton?,"A. Urmston
B. Keppel
C. Burnage",A. Urmston,"correct,random,hard"
Heaton,distant,Manor Castle,Heaton is distant Manor Castle,Which city is distant to Manor Castle?,"A. Hayley Green and Cradley South
B. Heaton
C. Lindley",B. Heaton,"random,correct,hard"
Illingworth and Mixenden,distant,Withington,Illingworth and Mixenden is distant Withington,Which city is distant to Withington?,"A. Amblecote
B. West Heywood
C. Illingworth and Mixenden",C. Illingworth and Mixenden,"random,hard,correct"
Crompton,distant,Liversedge and Gomersal,Crompton is distant Liversedge and Gomersal,Which city is distant to Liversedge and Gomersal?,"A. Elton
B. Crompton
C. Metropolitan Borough of Stockport",B. Crompton,"hard,correct,random"
Southey,distant,Woodhouse Park,Southey is distant Woodhouse Park,Which city is distant to Woodhouse Park?,"A. Beauchief & Greenhill
B. Lamesley
C. Southey",C. Southey,"hard,random,correct"
Belle Vale,distant,North Middleton,Belle Vale is distant North Middleton,Which city is distant to North Middleton?,"A. Belle Vale
B. Droylsden West
C. Amblecote",A. Belle Vale,"correct,random,hard"
Shipley,distant,Temple Newsam,Shipley is distant Temple Newsam,Which city is distant to Temple Newsam?,"A. Shipley
B. Leasowe and Moreton East
C. Hipperholme and Lightcliffe",A. Shipley,"correct,random,hard"
Sheldon,distant,Wyken,Sheldon is distant Wyken,Which city is distant to Wyken?,"A. Davyhulme West
B. Sheldon
C. Keighley East",B. Sheldon,"random,correct,hard"
Darlaston South,distant,St. Alphege,Darlaston South is distant St. Alphege,Which city is distant to St. Alphege?,"A. Longbridge
B. Bede
C. Darlaston South",C. Darlaston South,"hard,random,correct"
Fulwood,distant,Langworthy,Fulwood is distant Langworthy,Which city is distant to Langworthy?,"A. Guiseley and Rawdon
B. Fulwood
C. Cressington",B. Fulwood,"random,correct,hard"
Sowerby Bridge,distant,Orgreave South Yorkshire,Sowerby Bridge is distant Orgreave South Yorkshire,Which city is distant to Orgreave South Yorkshire?,"A. Sowerby Bridge
B. Monkton
C. Horsforth",A. Sowerby Bridge,"correct,random,hard"
Chadderton North,distant,Ince,Chadderton North is distant Ince,Which city is distant to Ince?,"A. Chadderton North
B. Sandwell
C. Blackheath",A. Chadderton North,"correct,random,hard"
Balderstone and Kirkholt,distant,Boothstown and Ellenbrook,Balderstone and Kirkholt is distant Boothstown and Ellenbrook,Which city is distant to Boothstown and Ellenbrook?,"A. Priory
B. Balderstone and Kirkholt
C. Ordsall",B. Balderstone and Kirkholt,"random,correct,hard"
Dore & Totley,distant,St. Peter's,Dore & Totley is distant St. Peter's,Which city is distant to St. Peter's?,"A. Dore & Totley
B. Bingley
C. Netherton Woodside and St. Andrews",A. Dore & Totley,"correct,random,hard"
Bebington,distant,St. Mary's,Bebington is distant St. Mary's,Which city is distant to St. Mary's?,"A. Elland
B. Bebington
C. Harton",B. Bebington,"hard,correct,random"
Hillsborough,distant,Wardle and West Littleborough,Hillsborough is distant Wardle and West Littleborough,Which city is distant to Wardle and West Littleborough?,"A. Bramley and Stanningley
B. Bromley Cross
C. Hillsborough",C. Hillsborough,"random,hard,correct"
Radcliffe East,distant,Shevington with Lower Ground,Radcliffe East is distant Shevington with Lower Ground,Which city is distant to Shevington with Lower Ground?,"A. Besses
B. Radcliffe East
C. Ashton",B. Radcliffe East,"hard,correct,random"
Hipperholme and Lightcliffe,distant,Temple Newsam,Hipperholme and Lightcliffe is distant Temple Newsam,Which city is distant to Temple Newsam?,"A. Hipperholme and Lightcliffe
B. Ashbrow
C. Shipley",A. Hipperholme and Lightcliffe,"correct,random,hard"
Central,distant,Great Lever,Central is distant Great Lever,Which city is distant to Great Lever?,"A. Central
B. Higher Blackley
C. Worsley Mesnes",A. Central,"correct,hard,random"
Gorton North,distant,Bold St Helens,Gorton North is distant Bold St Helens,Which city is distant to Bold St Helens?,"A. Gorton North
B. Skircoat
C. Colne Valley",A. Gorton North,"correct,random,hard"
Sharston,distant,Woolton,Sharston is distant Woolton,Which city is distant to Woolton?,"A. Church
B. Sharston
C. Bede",B. Sharston,"hard,correct,random"
Ainsdale,far,Edlington & Warmsworth,Ainsdale is far Edlington & Warmsworth,Which city is far to Edlington & Warmsworth?,"A. Ainsdale
B. Westhoughton North and Chew Moor
C. Childwall",A. Ainsdale,"correct,random,hard"
Old Swan,far,Penistone,Old Swan is far Penistone,Which city is far to Penistone?,"A. Mossley Hill
B. Old Swan
C. Stockbridge",B. Old Swan,"hard,correct,random"
Norwood,far,Stainforth & Barnby Dun,Norwood is far Stainforth & Barnby Dun,Which city is far to Stainforth & Barnby Dun?,"A. Norwood
B. Kew
C. Church",A. Norwood,"correct,random,hard"
Dewsbury West,far,Earlsdon,Dewsbury West is far Earlsdon,Which city is far to Earlsdon?,"A. Dewsbury West
B. Washington South
C. Walkley",A. Dewsbury West,"correct,hard,random"
Heaton,far,Warbreck,Heaton is far Warbreck,Which city is far to Warbreck?,"A. Charlestown
B. Chapel Allerton
C. Heaton",C. Heaton,"hard,random,correct"
Whitefield,far,Smith's Wood,Whitefield is far Smith's Wood,Which city is far to Smith's Wood?,"A. Fulwood
B. Whitefield
C. Wakefield East",B. Whitefield,"random,correct,hard"
Rawmarsh,far,South Yardley,Rawmarsh is far South Yardley,Which city is far to South Yardley?,"A. Barton
B. Rawmarsh
C. Dore & Totley",B. Rawmarsh,"random,correct,hard"
Dodworth,far,Farnworth,Dodworth is far Farnworth,Which city is far to Farnworth?,"A. Cudworth
B. Dodworth
C. Castle Eden",B. Dodworth,"random,correct,hard"
Moseley and Kings Heath,far,Bryn,Moseley and Kings Heath is far Bryn,Which city is far to Bryn?,"A. Worth Valley
B. Longdendale
C. Moseley and Kings Heath",C. Moseley and Kings Heath,"random,hard,correct"
Lye and Stourbridge North,far,South Heaton,Lye and Stourbridge North is far South Heaton,Which city is far to South Heaton?,"A. Birstall and Birkenshaw
B. Denton
C. Lye and Stourbridge North",C. Lye and Stourbridge North,"hard,random,correct"
Cambridge,far,Gipton and Harehills,Cambridge is far Gipton and Harehills,Which city is far to Gipton and Harehills?,"A. Cambridge
B. Baguley
C. Bramhall North",A. Cambridge,"correct,random,hard"
Rushall-Shelfield,far,Wetherby,Rushall-Shelfield is far Wetherby,Which city is far to Wetherby?,"A. Didsbury West
B. Rushall-Shelfield
C. Radcliffe North",B. Rushall-Shelfield,"random,correct,hard"
Medlock Vale,far,Mosborough,Medlock Vale is far Mosborough,Which city is far to Mosborough?,"A. Bromley Cross
B. Doxford
C. Medlock Vale",C. Medlock Vale,"random,hard,correct"
Edlington & Warmsworth,far,Whitburn and Marsden,Edlington & Warmsworth is far Whitburn and Marsden,Which city is far to Whitburn and Marsden?,"A. Edlington & Warmsworth
B. Ardsley and Robin Hood
C. Silhill",A. Edlington & Warmsworth,"correct,hard,random"
East,far,Halesowen South,East is far Halesowen South,Which city is far to Halesowen South?,"A. East
B. Birkdale
C. Fallowfield",A. East,"correct,hard,random"
Sutton Trinity,far,Denby Dale,Sutton Trinity is far Denby Dale,Which city is far to Denby Dale?,"A. Park & Arbourthorne
B. Palfrey
C. Sutton Trinity",C. Sutton Trinity,"random,hard,correct"
Beighton,far,Belle Vale,Beighton is far Belle Vale,Which city is far to Belle Vale?,"A. Saddleworth West and Lees
B. Willenhall South
C. Beighton",C. Beighton,"hard,random,correct"
Edgbaston,far,Walkden South,Edgbaston is far Walkden South,Which city is far to Walkden South?,"A. Edgbaston
B. Meols
C. Edlington & Warmsworth",A. Edgbaston,"correct,random,hard"
Clatterbridge,far,Wrenthorpe and Outwood West,Clatterbridge is far Wrenthorpe and Outwood West,Which city is far to Wrenthorpe and Outwood West?,"A. Clatterbridge
B. Old Warley
C. Hendon",A. Clatterbridge,"correct,random,hard"
Windy Nook and Whitehills,far,Bickenhill,Windy Nook and Whitehills is far Bickenhill,Which city is far to Bickenhill?,"A. Windy Nook and Whitehills
B. Litherland
C. Bede",A. Windy Nook and Whitehills,"correct,hard,random"
Dene,far,Wombwell,Dene is far Wombwell,Which city is far to Wombwell?,"A. Bloxwich East
B. Brierley Hill
C. Dene",C. Dene,"hard,random,correct"
Blythe,far,Moston,Blythe is far Moston,Which city is far to Moston?,"A. Dinnington St. John's
B. Winlaton and High Spen
C. Blythe",C. Blythe,"random,hard,correct"
Sutton Four Oaks,far,Swinton South,Sutton Four Oaks is far Swinton South,Which city is far to Swinton South?,"A. Sutton Four Oaks
B. Nether Edge & Sharrow
C. Bradshaw",A. Sutton Four Oaks,"correct,hard,random"
Hyde Newton,far,South Heaton,Hyde Newton is far South Heaton,Which city is far to South Heaton?,"A. Hyde Newton
B. Weetslade
C. Boston Castle",A. Hyde Newton,"correct,random,hard"
Earlestown,far,Woolsington,Earlestown is far Woolsington,Which city is far to Woolsington?,"A. Hetton-le-Hole
B. Earlestown
C. Reddish South",B. Earlestown,"random,correct,hard"
Graiseley,far,Roby,Graiseley is far Roby,Which city is far to Roby?,"A. Graiseley
B. Bede
C. City of Salford",A. Graiseley,"correct,hard,random"
Rockingham,far,St. Anne's,Rockingham is far St. Anne's,Which city is far to St. Anne's?,"A. Wigan Central
B. Rockingham
C. Boothstown and Ellenbrook",B. Rockingham,"random,correct,hard"
West Park,far,Wyke,West Park is far Wyke,Which city is far to Wyke?,"A. Lindley
B. West Park
C. Birchills Leamore",B. West Park,"random,correct,hard"
Cudworth,far,Edgeley and Cheadle Heath,Cudworth is far Edgeley and Cheadle Heath,Which city is far to Edgeley and Cheadle Heath?,"A. Moss Side
B. Longbenton
C. Cudworth",C. Cudworth,"random,hard,correct"
Cleckheaton,far,Killingworth,Cleckheaton is far Killingworth,Which city is far to Killingworth?,"A. Bryn
B. Cleckheaton
C. Keighley East",B. Cleckheaton,"random,correct,hard"
Altrincham,far,Dunston and Teams,Altrincham is far Dunston and Teams,Which city is far to Dunston and Teams?,"A. North Heywood
B. Altrincham
C. Normanton West Yorkshire",B. Altrincham,"random,correct,hard"
Bridges,far,Palfrey,Bridges is far Palfrey,Which city is far to Palfrey?,"A. Manor Castle
B. Liscard
C. Bridges",C. Bridges,"random,hard,correct"
Besses,far,Biddick and All Saints,Besses is far Biddick and All Saints,Which city is far to Biddick and All Saints?,"A. Shipley
B. Eccleston St Helens
C. Besses",C. Besses,"random,hard,correct"
Bablake,far,Kersal,Bablake is far Kersal,Which city is far to Kersal?,"A. Bablake
B. Sandwell
C. City and Hunslet",A. Bablake,"correct,random,hard"
Elland,far,Streetly,Elland is far Streetly,Which city is far to Streetly?,"A. Blaydon
B. Bramley and Stanningley
C. Elland",C. Elland,"hard,random,correct"
Norris Green,far,Wingrove,Norris Green is far Wingrove,Which city is far to Wingrove?,"A. Worsbrough
B. Weaste and Seedley
C. Norris Green",C. Norris Green,"hard,random,correct"
Sedgley,far,Horwich,Sedgley is far Horwich,Which city is far to Horwich?,"A. Manchester
B. Sedgley
C. Picton Cheshire",B. Sedgley,"random,correct,hard"
Rumworth,far,Horsforth,Rumworth is far Horsforth,Which city is far to Horsforth?,"A. Woolsington
B. Rumworth
C. Town Centre",B. Rumworth,"hard,correct,random"
Biddick and All Saints,far,Woolton,Biddick and All Saints is far Woolton,Which city is far to Woolton?,"A. Ackworth North Elmsall and Upton
B. Biddick and All Saints
C. Bede",B. Biddick and All Saints,"random,correct,hard"
Paddock,far,Saddleworth,Paddock is far Saddleworth,Which city is far to Saddleworth?,"A. Paddock
B. Castle Eden
C. Aston",A. Paddock,"correct,random,hard"
Little Horton,far,St. Michael's,Little Horton is far St. Michael's,Which city is far to St. Michael's?,"A. Cheadle Hulme North
B. Little Horton
C. Stockbridge",B. Little Horton,"hard,correct,random"
Billinge and Seneley Green,far,St. James's,Billinge and Seneley Green is far St. James's,Which city is far to St. James's?,"A. Billinge and Seneley Green
B. Clatterbridge
C. Hyde Newton",A. Billinge and Seneley Green,"correct,random,hard"
Claughton,far,Saltwell,Claughton is far Saltwell,Which city is far to Saltwell?,"A. Medlock Vale
B. Claughton
C. Baildon",B. Claughton,"hard,correct,random"
Lyndon,far,Rastrick,Lyndon is far Rastrick,Which city is far to Rastrick?,"A. Parr
B. Shirley West
C. Lyndon",C. Lyndon,"hard,random,correct"
Washington West,far,Weoley,Washington West is far Weoley,Which city is far to Weoley?,"A. Washington West
B. Cleadon and East Boldon
C. Wombwell",A. Washington West,"correct,random,hard"
Kingswinford South,far,Simonside and Rekendyke,Kingswinford South is far Simonside and Rekendyke,Which city is far to Simonside and Rekendyke?,"A. Kingswinford South
B. Chadderton Central
C. Fenham",A. Kingswinford South,"correct,hard,random"
Oxton,far,Wakefield South,Oxton is far Wakefield South,Which city is far to Wakefield South?,"A. Park & Arbourthorne
B. Short Heath
C. Oxton",C. Oxton,"random,hard,correct"
Bridges,far,Kingsway,Bridges is far Kingsway,Which city is far to Kingsway?,"A. Bridges
B. Billinge and Seneley Green
C. Aldridge North and Walsall Wood",A. Bridges,"correct,random,hard"
Fawdon,far,St. Gabriels,Fawdon is far St. Gabriels,Which city is far to St. Gabriels?,"A. Church
B. Fawdon
C. St. Alphege",B. Fawdon,"hard,correct,random"
Palfrey,far,Denby Dale,Palfrey is far Denby Dale,Which city is far to Denby Dale?,"A. Sherbourne Warwickshire
B. Sutton Trinity
C. Palfrey",C. Palfrey,"random,hard,correct"
Dodworth,far,Lobley Hill and Bensham,Dodworth is far Lobley Hill and Bensham,Which city is far to Lobley Hill and Bensham?,"A. Knowle
B. Dodworth
C. Astley Village",B. Dodworth,"random,correct,hard"
Bowling and Barkerend,far,Rainford,Bowling and Barkerend is far Rainford,Which city is far to Rainford?,"A. Bowling and Barkerend
B. Metropolitan Borough of Wirral
C. Castle Eden",A. Bowling and Barkerend,"correct,random,hard"
Gorton South,far,Ryhope,Gorton South is far Ryhope,Which city is far to Ryhope?,"A. Gorton South
B. Pontefract North
C. St. Oswald",A. Gorton South,"correct,hard,random"
Blythe,far,Earlestown,Blythe is far Earlestown,Which city is far to Earlestown?,"A. Blythe
B. East
C. Longsight",A. Blythe,"correct,random,hard"
Southwick,far,Castle Bromwich,Southwick is far Castle Bromwich,Which city is far to Castle Bromwich?,"A. Eastham
B. Southwick
C. West Ecclesfield",B. Southwick,"random,correct,hard"
Parr,far,Princes End,Parr is far Princes End,Which city is far to Princes End?,"A. Unsworth
B. Chorlton
C. Parr",C. Parr,"hard,random,correct"
Alexandra,far,Dinnington St. John's,Alexandra is far Dinnington St. John's,Which city is far to Dinnington St. John's?,"A. Saddleworth West and Lees
B. Rushall-Shelfield
C. Alexandra",C. Alexandra,"hard,random,correct"
Beeston and Holbeck,far,Rainford,Beeston and Holbeck is far Rainford,Which city is far to Rainford?,"A. Bowling and Barkerend
B. Metropolitan Borough of St Helens
C. Beeston and Holbeck",C. Beeston and Holbeck,"hard,random,correct"
Walkergate,far,Washwood Heath,Walkergate is far Washwood Heath,Which city is far to Washwood Heath?,"A. Walkergate
B. Birley
C. Wallasey",A. Walkergate,"correct,random,hard"
Mossley Hill,far,St. Peter's,Mossley Hill is far St. Peter's,Which city is far to St. Peter's?,"A. Rothwell
B. Old Moat
C. Mossley Hill",C. Mossley Hill,"random,hard,correct"
Birstall and Birkenshaw,far,Darlaston South,Birstall and Birkenshaw is far Darlaston South,Which city is far to Darlaston South?,"A. Little Lever and Darcy Lever
B. Meriden West Midlands
C. Birstall and Birkenshaw",C. Birstall and Birkenshaw,"random,hard,correct"
Harpurhey,far,Old Warley,Harpurhey is far Old Warley,Which city is far to Old Warley?,"A. Ancoats and Clayton
B. Harpurhey
C. Moss Side",B. Harpurhey,"hard,correct,random"
Headingley,far,Tyburn,Headingley is far Tyburn,Which city is far to Tyburn?,"A. Chowdene
B. Headingley
C. South Jesmond",B. Headingley,"random,correct,hard"
Hendon,far,Rossington,Hendon is far Rossington,Which city is far to Rossington?,"A. Benwell and Scotswood
B. Bilston East
C. Hendon",C. Hendon,"hard,random,correct"
Blythe,far,Hopwood Hall,Blythe is far Hopwood Hall,Which city is far to Hopwood Hall?,"A. Erdington
B. Blythe
C. Yew Tree",B. Blythe,"random,correct,hard"
Altofts and Whitwood,far,Westoe,Altofts and Whitwood is far Westoe,Which city is far to Westoe?,"A. Altofts and Whitwood
B. Blundellsands
C. Monkseaton South",A. Altofts and Whitwood,"correct,hard,random"
Acocks Green,far,Farnley and Wortley,Acocks Green is far Farnley and Wortley,Which city is far to Farnley and Wortley?,"A. Acocks Green
B. Victoria
C. Winlaton and High Spen",A. Acocks Green,"correct,random,hard"
Barnes,far,Finstall,Barnes is far Finstall,Which city is far to Finstall?,"A. Barnes
B. Blaydon
C. Hellaby",A. Barnes,"correct,hard,random"
Harpurhey,far,Oldbury,Harpurhey is far Oldbury,Which city is far to Oldbury?,"A. Blundellsands
B. Harpurhey
C. West Kirby and Thurstaston",B. Harpurhey,"hard,correct,random"
Beauchief & Greenhill,far,Dene,Beauchief & Greenhill is far Dene,Which city is far to Dene?,"A. Winlaton and High Spen
B. Airedale and Ferry Fryston
C. Beauchief & Greenhill",C. Beauchief & Greenhill,"random,hard,correct"
Bridges,far,Haydock,Bridges is far Haydock,Which city is far to Haydock?,"A. Bridges
B. Bournville
C. Longbridge",A. Bridges,"correct,random,hard"
Croxteth,far,Longdendale,Croxteth is far Longdendale,Which city is far to Longdendale?,"A. Cheetham
B. Barnes
C. Croxteth",C. Croxteth,"hard,random,correct"
Chorlton,far,Pedmore and Stourbridge East,Chorlton is far Pedmore and Stourbridge East,Which city is far to Pedmore and Stourbridge East?,"A. Chorlton
B. Shaw
C. Hopwood Hall",A. Chorlton,"correct,random,hard"
Preston,far,Finningley,Preston is far Finningley,Which city is far to Finningley?,"A. Walkergate
B. Heatons South
C. Preston",C. Preston,"random,hard,correct"
Newsome,far,Wigan West,Newsome is far Wigan West,Which city is far to Wigan West?,"A. Whitley Bay
B. Whiteleas
C. Newsome",C. Newsome,"random,hard,correct"
Golcar,far,Whitley Bay,Golcar is far Whitley Bay,Which city is far to Whitley Bay?,"A. Golcar
B. Streetly
C. Wrenthorpe and Outwood West",A. Golcar,"correct,hard,random"
Kingstone,far,Northenden,Kingstone is far Northenden,Which city is far to Northenden?,"A. Ackworth North Elmsall and Upton
B. Hodge Hill
C. Kingstone",C. Kingstone,"random,hard,correct"
Nether Edge & Sharrow,far,Swinton South,Nether Edge & Sharrow is far Swinton South,Which city is far to Swinton South?,"A. Denton North East
B. Sutton Four Oaks
C. Nether Edge & Sharrow",C. Nether Edge & Sharrow,"random,hard,correct"
Manningham,far,Windy Nook and Whitehills,Manningham is far Windy Nook and Whitehills,Which city is far to Windy Nook and Whitehills?,"A. Pelsall
B. Manningham
C. Wakefield South",B. Manningham,"random,correct,hard"
Atherton,far,Tipton Green,Atherton is far Tipton Green,Which city is far to Tipton Green?,"A. Meriden West Midlands
B. Atherton
C. Whiteleas",B. Atherton,"hard,correct,random"
Darnall,far,Smethwick,Darnall is far Smethwick,Which city is far to Smethwick?,"A. Darnall
B. Hatfield
C. Walkden South",A. Darnall,"correct,hard,random"
Farnworth,far,Rockingham,Farnworth is far Rockingham,Which city is far to Rockingham?,"A. Westerhope
B. Farnworth
C. Pheasey Park Farm",B. Farnworth,"random,correct,hard"
St. Michael's,far,Rossington,St. Michael's is far Rossington,Which city is far to Rossington?,"A. Hetton-le-Hole
B. Benwell and Scotswood
C. St. Michael's",C. St. Michael's,"random,hard,correct"
Millfield,far,Sutton Four Oaks,Millfield is far Sutton Four Oaks,Which city is far to Sutton Four Oaks?,"A. Millfield
B. Mossley
C. Heatons South",A. Millfield,"correct,random,hard"
Duke's,far,Monkseaton South,Duke's is far Monkseaton South,Which city is far to Monkseaton South?,"A. Roby
B. Shevington with Lower Ground
C. Duke's",C. Duke's,"random,hard,correct"
Radcliffe North,far,Wetherby,Radcliffe North is far Wetherby,Which city is far to Wetherby?,"A. Radcliffe North
B. Dorridge and Hockley Heath
C. Aldridge Central and South",A. Radcliffe North,"correct,random,hard"
Douglas,far,Great Bridge,Douglas is far Great Bridge,Which city is far to Great Bridge?,"A. Halewood
B. St. Michael's
C. Douglas",C. Douglas,"hard,random,correct"
Hyde Werneth,far,Langley,Hyde Werneth is far Langley,Which city is far to Langley?,"A. Hyde Werneth
B. Rothwell
C. Stocksbridge & Upper Don",A. Hyde Werneth,"correct,random,hard"
Beauchief & Greenhill,far,Sandhill,Beauchief & Greenhill is far Sandhill,Which city is far to Sandhill?,"A. Felling
B. Beauchief & Greenhill
C. Adel and Wharfedale",B. Beauchief & Greenhill,"hard,correct,random"
Longbenton,far,Worth Valley,Longbenton is far Worth Valley,Which city is far to Worth Valley?,"A. Dore & Totley
B. Longbenton
C. Thatto Heath",B. Longbenton,"random,correct,hard"
Atherton,far,Lower Stoke,Atherton is far Lower Stoke,Which city is far to Lower Stoke?,"A. Ackworth North Elmsall and Upton
B. Atherton
C. Langworthy",B. Atherton,"random,correct,hard"
Atherleigh,far,Wordsley,Atherleigh is far Wordsley,Which city is far to Wordsley?,"A. Atherleigh
B. Wyken
C. Birtley",A. Atherleigh,"correct,random,hard"
Simonside and Rekendyke,far,Soho,Simonside and Rekendyke is far Soho,Which city is far to Soho?,"A. Simonside and Rekendyke
B. Houghton
C. Northumberland",A. Simonside and Rekendyke,"correct,hard,random"
Guiseley and Rawdon,far,Castle Eden,Guiseley and Rawdon is far Castle Eden,Which city is far to Castle Eden?,"A. Stannington
B. Wednesbury North
C. Guiseley and Rawdon",C. Guiseley and Rawdon,"random,hard,correct"
Brierley Hill,far,Davyhulme West,Brierley Hill is far Davyhulme West,Which city is far to Davyhulme West?,"A. Brierley Hill
B. Roundhay
C. Derby",A. Brierley Hill,"correct,hard,random"
Moston,far,Rossington,Moston is far Rossington,Which city is far to Rossington?,"A. Moston
B. Earlsdon
C. Hendon",A. Moston,"correct,random,hard"
Heatons North,far,Kirkdale,Heatons North is far Kirkdale,Which city is far to Kirkdale?,"A. Heald Green
B. Heatons North
C. Prescot",B. Heatons North,"hard,correct,random"
