place1,dis,place2_Y,dir,place2_Z,triplet,question,options,answer,option_sources
Douglas,far,Rotherham West,east,Old Swan,"Douglas is far Rotherham West, east Old Swan",Which city is far to Rotherham West and also east from Old Swan?,"A. Douglas
B. Halewood
C. Cherryfield",A. Douglas,"correct,partial,random"
Langworthy,near,Sedgley,west,Bradford Moor,"Langworthy is near Sedgley, west Bradford Moor",Which city is near to Sedgley and also west from Bradford Moor?,"A. St. Alphege
B. Billinge and Seneley Green
C. Langworthy",C. Langworthy,"random,partial,correct"
Langworthy,close,Village,north,Park,"Langworthy is close Village, north Park",Which city is close to Village and also north from Park?,"A. Hulton
B. Bolton and Undercliffe
C. Langworthy",C. Langworthy,"random,partial,correct"
Langworthy,distant,Ossett,south,Simonside and Rekendyke,"Langworthy is distant Ossett, south Simonside and Rekendyke",Which city is distant to Ossett and also south from Simonside and Rekendyke?,"A. Sandhill
B. Langworthy
C. Blackrod",B. Langworthy,"random,correct,partial"
Langworthy,far,Sprotbrough and Cusworth,east,Kensington and Fairfield,"Langworthy is far Sprotbrough and Cusworth, east Kensington and Fairfield",Which city is far to Sprotbrough and Cusworth and also east from Kensington and Fairfield?,"A. Crumpsall
B. Langworthy
C. Millfield",B. Langworthy,"random,correct,partial"
Perry Barr,near,Sutton Vesey,south,St. Gabriels,"Perry Barr is near Sutton Vesey, south St. Gabriels",Which city is near to Sutton Vesey and also south from St. Gabriels?,"A. Wollaston and Stourbridge Town
B. Norris Green
C. Perry Barr",C. Perry Barr,"partial,random,correct"
Perry Barr,close,Springfield,east,Merry Hill,"Perry Barr is close Springfield, east Merry Hill",Which city is close to Springfield and also east from Merry Hill?,"A. Heald Green
B. Shirley South
C. Perry Barr",C. Perry Barr,"random,partial,correct"
Perry Barr,distant,Woodlands,west,Bickenhill,"Perry Barr is distant Woodlands, west Bickenhill",Which city is distant to Woodlands and also west from Bickenhill?,"A. Hateley Heath
B. Lozells and East Handsworth
C. Perry Barr",C. Perry Barr,"partial,random,correct"
Perry Barr,far,St. Michael's,north,Kings Norton,"Perry Barr is far St. Michael's, north Kings Norton",Which city is far to St. Michael's and also north from Kings Norton?,"A. Perry Barr
B. Sprotbrough and Cusworth
C. Fenham",A. Perry Barr,"correct,partial,random"
Bramhall South and Woodford,near,Edgeley and Cheadle Heath,south,St. James',"Bramhall South and Woodford is near Edgeley and Cheadle Heath, south St. James'",Which city is near to Edgeley and Cheadle Heath and also south from St. James'?,"A. Bramhall South and Woodford
B. Keighley West
C. Bordesley Green",A. Bramhall South and Woodford,"correct,random,partial"
Bramhall South and Woodford,close,Heatons North,north,Chelmsley Wood,"Bramhall South and Woodford is close Heatons North, north Chelmsley Wood",Which city is close to Heatons North and also north from Chelmsley Wood?,"A. Cherryfield
B. Ladywood
C. Bramhall South and Woodford",C. Bramhall South and Woodford,"partial,random,correct"
Bramhall South and Woodford,distant,Spotland and Falinge,east,Hoylake and Meols,"Bramhall South and Woodford is distant Spotland and Falinge, east Hoylake and Meols",Which city is distant to Spotland and Falinge and also east from Hoylake and Meols?,"A. Bramhall South and Woodford
B. Dewsbury South
C. Elton",A. Bramhall South and Woodford,"correct,random,partial"
Bramhall South and Woodford,far,Conisbrough Parks,west,Fulwood,"Bramhall South and Woodford is far Conisbrough Parks, west Fulwood",Which city is far to Conisbrough Parks and also west from Fulwood?,"A. Bramhall South and Woodford
B. Droylsden East
C. Linacre",A. Bramhall South and Woodford,"correct,random,partial"
Whitburn and Marsden,near,Castle Eden,north,Gornal,"Whitburn and Marsden is near Castle Eden, north Gornal",Which city is near to Castle Eden and also north from Gornal?,"A. Crumpsall
B. Whitburn and Marsden
C. Camperdown",B. Whitburn and Marsden,"random,correct,partial"
Whitburn and Marsden,close,Hetton-le-Hole,east,Boldon Colliery,"Whitburn and Marsden is close Hetton-le-Hole, east Boldon Colliery",Which city is close to Hetton-le-Hole and also east from Boldon Colliery?,"A. Battle Hill
B. Whitburn and Marsden
C. Kingswinford North and Wall Heath",B. Whitburn and Marsden,"partial,correct,random"
Whitburn and Marsden,distant,Winlaton and High Spen,south,Beacon and Bents,"Whitburn and Marsden is distant Winlaton and High Spen, south Beacon and Bents",Which city is distant to Winlaton and High Spen and also south from Beacon and Bents?,"A. Whitburn and Marsden
B. City and Hunslet
C. Baildon",A. Whitburn and Marsden,"correct,random,partial"
Oldbury,near,Upper Gornal and Woodsetton,south,West Ecclesfield,"Oldbury is near Upper Gornal and Woodsetton, south West Ecclesfield",Which city is near to Upper Gornal and Woodsetton and also south from West Ecclesfield?,"A. Oldbury
B. Cudworth
C. Sherbourne Warwickshire",A. Oldbury,"correct,random,partial"
Oldbury,close,Pleck,east,Penn,"Oldbury is close Pleck, east Penn",Which city is close to Pleck and also east from Penn?,"A. Oldbury
B. Washwood Heath
C. Moorside",A. Oldbury,"correct,partial,random"
Oldbury,distant,Sherbourne Warwickshire,north,Rowley,"Oldbury is distant Sherbourne Warwickshire, north Rowley",Which city is distant to Sherbourne Warwickshire and also north from Rowley?,"A. Litherland
B. Oldbury
C. Prenton",B. Oldbury,"random,correct,partial"
Oldbury,far,Smithills,west,Streetly,"Oldbury is far Smithills, west Streetly",Which city is far to Smithills and also west from Streetly?,"A. Oldbury
B. Wakefield Rural
C. Cross Gates and Whinmoor",A. Oldbury,"correct,random,partial"
Whitley Bay,close,Woolsington,north,Monkton,"Whitley Bay is close Woolsington, north Monkton",Which city is close to Woolsington and also north from Monkton?,"A. Whitley Bay
B. Brinnington and Central
C. Washington Central",A. Whitley Bay,"correct,random,partial"
Whitley Bay,distant,Winlaton and High Spen,east,Parklands,"Whitley Bay is distant Winlaton and High Spen, east Parklands",Which city is distant to Winlaton and High Spen and also east from Parklands?,"A. Doxford
B. Whitley Bay
C. Cleadon Park",B. Whitley Bay,"partial,correct,random"
Whiteleas,near,Castle Eden,north,Wombwell,"Whiteleas is near Castle Eden, north Wombwell",Which city is near to Castle Eden and also north from Wombwell?,"A. Hyde Park and Woodhouse
B. Whiteleas
C. Dearne South",B. Whiteleas,"partial,correct,random"
Whiteleas,close,Wingrove,east,Castle,"Whiteleas is close Wingrove, east Castle",Which city is close to Wingrove and also east from Castle?,"A. Bordesley Green
B. Whiteleas
C. Pelaw and Heworth",B. Whiteleas,"random,correct,partial"
Whiteleas,distant,Winlaton and High Spen,south,Collingwood,"Whiteleas is distant Winlaton and High Spen, south Collingwood",Which city is distant to Winlaton and High Spen and also south from Collingwood?,"A. Handsworth Wood
B. Whiteleas
C. Abbey",B. Whiteleas,"partial,correct,random"
Whiteleas,far,Bickenhill,west,Harton,"Whiteleas is far Bickenhill, west Harton",Which city is far to Bickenhill and also west from Harton?,"A. Stepping Hill
B. Croxteth
C. Whiteleas",C. Whiteleas,"partial,random,correct"
St. Gabriels,near,Rainhill,north,Lyndon,"St. Gabriels is near Rainhill, north Lyndon",Which city is near to Rainhill and also north from Lyndon?,"A. St. Gabriels
B. St. Helens
C. Walkergate",A. St. Gabriels,"correct,partial,random"
St. Gabriels,close,Blackrod,south,Crawcrook and Greenside,"St. Gabriels is close Blackrod, south Crawcrook and Greenside",Which city is close to Blackrod and also south from Crawcrook and Greenside?,"A. St. Gabriels
B. Birstall and Birkenshaw
C. Northwood",A. St. Gabriels,"correct,partial,random"
St. Gabriels,distant,Tyldesley,east,Liscard,"St. Gabriels is distant Tyldesley, east Liscard",Which city is distant to Tyldesley and also east from Liscard?,"A. Calverley and Farsley
B. Weetslade
C. St. Gabriels",C. St. Gabriels,"partial,random,correct"
St. Gabriels,far,Windhill and Wrose,west,Clayton and Fairweather Green,"St. Gabriels is far Windhill and Wrose, west Clayton and Fairweather Green",Which city is far to Windhill and Wrose and also west from Clayton and Fairweather Green?,"A. St. Gabriels
B. Little Horton
C. Birtley",A. St. Gabriels,"correct,random,partial"
St. Michael's,near,Tuebrook and Stoneycroft,north,New Brighton,"St. Michael's is near Tuebrook and Stoneycroft, north New Brighton",Which city is near to Tuebrook and Stoneycroft and also north from New Brighton?,"A. Howdon
B. St. Michael's
C. Whitburn and Marsden",B. St. Michael's,"random,correct,partial"
St. Michael's,close,Stockbridge,west,Pilkington Park,"St. Michael's is close Stockbridge, west Pilkington Park",Which city is close to Stockbridge and also west from Pilkington Park?,"A. St. Michael's
B. Kersal
C. Park",A. St. Michael's,"correct,random,partial"
St. Michael's,distant,Wednesfield South,south,North Manor,"St. Michael's is distant Wednesfield South, south North Manor",Which city is distant to Wednesfield South and also south from North Manor?,"A. Acocks Green
B. St. Michael's
C. Blackrod",B. St. Michael's,"partial,correct,random"
St. Michael's,far,Wickersley,east,East Gosforth,"St. Michael's is far Wickersley, east East Gosforth",Which city is far to Wickersley and also east from East Gosforth?,"A. Harpurhey
B. St. Michael's
C. Westoe",B. St. Michael's,"random,correct,partial"
Dore & Totley,near,Nether Edge & Sharrow,east,Mossley Hill,"Dore & Totley is near Nether Edge & Sharrow, east Mossley Hill",Which city is near to Nether Edge & Sharrow and also east from Mossley Hill?,"A. Dore & Totley
B. Chirton
C. Greenhead",A. Dore & Totley,"correct,random,partial"
Dore & Totley,close,Rotherham East,south,Whitley Bay,"Dore & Totley is close Rotherham East, south Whitley Bay",Which city is close to Rotherham East and also south from Whitley Bay?,"A. Cressington
B. Hexthorpe & Balby North
C. Dore & Totley",C. Dore & Totley,"random,partial,correct"
Dore & Totley,distant,Hale Central,north,Meriden West Midlands,"Dore & Totley is distant Hale Central, north Meriden West Midlands",Which city is distant to Hale Central and also north from Meriden West Midlands?,"A. Tynemouth
B. Dore & Totley
C. Howdon",B. Dore & Totley,"partial,correct,random"
Dore & Totley,far,Shirley West,west,Sitwell,"Dore & Totley is far Shirley West, west Sitwell",Which city is far to Shirley West and also west from Sitwell?,"A. Dore & Totley
B. St. Peter's
C. Shevington",A. Dore & Totley,"correct,partial,random"
Wyke,close,Morley West Yorkshire,west,Headingley,"Wyke is close Morley West Yorkshire, west Headingley",Which city is close to Morley West Yorkshire and also west from Headingley?,"A. Little Lever and Darcy Lever
B. Wyke
C. Castleford Central and Glasshoughton",B. Wyke,"random,correct,partial"
Wyke,distant,Todmorden,north,Pheasey Park Farm,"Wyke is distant Todmorden, north Pheasey Park Farm",Which city is distant to Todmorden and also north from Pheasey Park Farm?,"A. Wyke
B. Sparkbrook
C. Crawcrook and Greenside",A. Wyke,"correct,random,partial"
Wyke,far,Meriden West Midlands,east,St. Gabriels,"Wyke is far Meriden West Midlands, east St. Gabriels",Which city is far to Meriden West Midlands and also east from St. Gabriels?,"A. Bromborough
B. Manningham
C. Wyke",C. Wyke,"random,partial,correct"
Willenhall North,near,Willenhall South,south,Ramsbottom,"Willenhall North is near Willenhall South, south Ramsbottom",Which city is near to Willenhall South and also south from Ramsbottom?,"A. Childwall
B. Charlestown
C. Willenhall North",C. Willenhall North,"random,partial,correct"
Willenhall North,close,Wordsley,west,Hodge Hill,"Willenhall North is close Wordsley, west Hodge Hill",Which city is close to Wordsley and also west from Hodge Hill?,"A. Willenhall North
B. Perry Barr
C. St. James'",A. Willenhall North,"correct,partial,random"
Willenhall North,distant,Castle Bromwich,north,Dorridge and Hockley Heath,"Willenhall North is distant Castle Bromwich, north Dorridge and Hockley Heath",Which city is distant to Castle Bromwich and also north from Dorridge and Hockley Heath?,"A. Willenhall North
B. Bushbury North
C. Howdon",A. Willenhall North,"correct,random,partial"
Willenhall North,far,Astley Village,east,Bushbury North,"Willenhall North is far Astley Village, east Bushbury North",Which city is far to Astley Village and also east from Bushbury North?,"A. Willenhall North
B. Kew
C. Heath Town",A. Willenhall North,"correct,random,partial"
Southwick,near,St. Peter's,north,Windhill and Wrose,"Southwick is near St. Peter's, north Windhill and Wrose",Which city is near to St. Peter's and also north from Windhill and Wrose?,"A. Rock Ferry
B. Southwick
C. Droylsden East",B. Southwick,"random,correct,partial"
Southwick,close,Walkergate,south,Preston,"Southwick is close Walkergate, south Preston",Which city is close to Walkergate and also south from Preston?,"A. Hetton-le-Hole
B. Southwick
C. Guiseley and Rawdon",B. Southwick,"random,correct,partial"
Southwick,distant,Woolsington,east,Deckham,"Southwick is distant Woolsington, east Deckham",Which city is distant to Woolsington and also east from Deckham?,"A. Southwick
B. Sandhill
C. Ramsbottom",A. Southwick,"correct,partial,random"
Southwick,far,Armthorpe,west,Fulwell,"Southwick is far Armthorpe, west Fulwell",Which city is far to Armthorpe and also west from Fulwell?,"A. Crawcrook and Greenside
B. Southwick
C. Calverley and Farsley",B. Southwick,"partial,correct,random"
Norris Green,near,Shevington,south,St. Michael's,"Norris Green is near Shevington, south St. Michael's",Which city is near to Shevington and also south from St. Michael's?,"A. Duke's
B. Norris Green
C. Norden",B. Norris Green,"partial,correct,random"
Norris Green,close,Eccleston St Helens,west,Denton North East,"Norris Green is close Eccleston St Helens, west Denton North East",Which city is close to Eccleston St Helens and also west from Denton North East?,"A. High Fell
B. Norris Green
C. Riverside",B. Norris Green,"random,correct,partial"
Norris Green,distant,Northenden,north,Halesowen South,"Norris Green is distant Northenden, north Halesowen South",Which city is distant to Northenden and also north from Halesowen South?,"A. Brandwood
B. Norris Green
C. Cherryfield",B. Norris Green,"random,correct,partial"
Norris Green,far,Stockland Green,east,Everton,"Norris Green is far Stockland Green, east Everton",Which city is far to Stockland Green and also east from Everton?,"A. Norris Green
B. Elswick
C. Cross Gates and Whinmoor",A. Norris Green,"correct,partial,random"
Astley Mosley Common,near,Swinton North,south,St. Chad's,"Astley Mosley Common is near Swinton North, south St. Chad's",Which city is near to Swinton North and also south from St. Chad's?,"A. Astley Mosley Common
B. Sharston
C. Longford",A. Astley Mosley Common,"correct,random,partial"
Astley Mosley Common,close,Haydock,east,Derby,"Astley Mosley Common is close Haydock, east Derby",Which city is close to Haydock and also east from Derby?,"A. Washington East
B. Mossley
C. Astley Mosley Common",C. Astley Mosley Common,"random,partial,correct"
Astley Mosley Common,distant,Stannington,west,Bramley and Stanningley,"Astley Mosley Common is distant Stannington, west Bramley and Stanningley",Which city is distant to Stannington and also west from Bramley and Stanningley?,"A. Little Horton
B. Astley Mosley Common
C. Gorton North",B. Astley Mosley Common,"partial,correct,random"
Astley Mosley Common,far,Sutton Four Oaks,north,Birchills Leamore,"Astley Mosley Common is far Sutton Four Oaks, north Birchills Leamore",Which city is far to Sutton Four Oaks and also north from Birchills Leamore?,"A. Little Horton
B. Luddendenfoot
C. Astley Mosley Common",C. Astley Mosley Common,"random,partial,correct"
Chorlton Park,near,Levenshulme,east,Kirkdale,"Chorlton Park is near Levenshulme, east Kirkdale",Which city is near to Levenshulme and also east from Kirkdale?,"A. Tuebrook and Stoneycroft
B. Chorlton Park
C. Lye and Stourbridge North",B. Chorlton Park,"partial,correct,random"
Chorlton Park,close,Gorton South,south,Warley,"Chorlton Park is close Gorton South, south Warley",Which city is close to Gorton South and also south from Warley?,"A. Nether Edge & Sharrow
B. Heckmondwike
C. Chorlton Park",C. Chorlton Park,"partial,random,correct"
Chorlton Park,distant,Shipley,north,Harborne,"Chorlton Park is distant Shipley, north Harborne",Which city is distant to Shipley and also north from Harborne?,"A. Chorlton Park
B. Rushall-Shelfield
C. Billesley",A. Chorlton Park,"correct,partial,random"
Chorlton Park,far,Quarry Bank and Dudley Wood,west,Saddleworth,"Chorlton Park is far Quarry Bank and Dudley Wood, west Saddleworth",Which city is far to Quarry Bank and Dudley Wood and also west from Saddleworth?,"A. Chorlton Park
B. South Elmsall and South Kirkby
C. Roby",A. Chorlton Park,"correct,random,partial"
Hendon,near,Castle Eden,north,Knottingley,"Hendon is near Castle Eden, north Knottingley",Which city is near to Castle Eden and also north from Knottingley?,"A. Hendon
B. Hellaby
C. Walkergate",A. Hendon,"correct,random,partial"
Hendon,close,Whitley Bay,south,Cleadon and East Boldon,"Hendon is close Whitley Bay, south Cleadon and East Boldon",Which city is close to Whitley Bay and also south from Cleadon and East Boldon?,"A. Thornton and Allerton
B. Hendon
C. Didsbury East",B. Hendon,"partial,correct,random"
Hendon,distant,Whickham South and Sunniside,east,Chowdene,"Hendon is distant Whickham South and Sunniside, east Chowdene",Which city is distant to Whickham South and Sunniside and also east from Chowdene?,"A. Hendon
B. Copt Hill
C. Blakelaw and North Fenham",A. Hendon,"correct,partial,random"
Olton,near,Washwood Heath,south,Woolton,"Olton is near Washwood Heath, south Woolton",Which city is near to Washwood Heath and also south from Woolton?,"A. Olton
B. Kew
C. Sheldon",A. Olton,"correct,random,partial"
Olton,close,Smethwick,east,Tividale,"Olton is close Smethwick, east Tividale",Which city is close to Smethwick and also east from Tividale?,"A. Bournville
B. Olton
C. Church",B. Olton,"partial,correct,random"
Olton,distant,Wyken,west,Woodlands,"Olton is distant Wyken, west Woodlands",Which city is distant to Wyken and also west from Woodlands?,"A. Olton
B. Wombwell
C. Washwood Heath",A. Olton,"correct,random,partial"
Olton,far,Harewood,north,Shirley West,"Olton is far Harewood, north Shirley West",Which city is far to Harewood and also north from Shirley West?,"A. Chadderton North
B. Olton
C. Kingswinford South",B. Olton,"partial,correct,random"
Coldhurst,near,Moston,south,Ovenden,"Coldhurst is near Moston, south Ovenden",Which city is near to Moston and also south from Ovenden?,"A. Sharston
B. Coldhurst
C. Keppel",B. Coldhurst,"random,correct,partial"
Coldhurst,close,Heatons North,north,Princes End,"Coldhurst is close Heatons North, north Princes End",Which city is close to Heatons North and also north from Princes End?,"A. Wombwell
B. Lamesley
C. Coldhurst",C. Coldhurst,"random,partial,correct"
Coldhurst,distant,Ossett,west,Firth Park,"Coldhurst is distant Ossett, west Firth Park",Which city is distant to Ossett and also west from Firth Park?,"A. Stechford and Yardley North
B. Weaste and Seedley
C. Coldhurst",C. Coldhurst,"random,partial,correct"
Coldhurst,far,Swanside,east,Derby,"Coldhurst is far Swanside, east Derby",Which city is far to Swanside and also east from Derby?,"A. Coldhurst
B. Lobley Hill and Bensham
C. Moorside",A. Coldhurst,"correct,random,partial"
Barton,near,Stretford,east,Wigan West,"Barton is near Stretford, east Wigan West",Which city is near to Stretford and also east from Wigan West?,"A. Little Hulton
B. Barton
C. Skircoat",B. Barton,"random,correct,partial"
Barton,close,Farnworth,south,Monkton,"Barton is close Farnworth, south Monkton",Which city is close to Farnworth and also south from Monkton?,"A. Birchills Leamore
B. Barton
C. Coseley East",B. Barton,"partial,correct,random"
Barton,distant,Blackrod,west,Hexthorpe & Balby North,"Barton is distant Blackrod, west Hexthorpe & Balby North",Which city is distant to Blackrod and also west from Hexthorpe & Balby North?,"A. North Heywood
B. Lower Stoke
C. Barton",C. Barton,"partial,random,correct"
Barton,far,Hayley Green and Cradley South,north,Woodhouse Park,"Barton is far Hayley Green and Cradley South, north Woodhouse Park",Which city is far to Hayley Green and Cradley South and also north from Woodhouse Park?,"A. Barton
B. Croxteth
C. Blaydon",A. Barton,"correct,partial,random"
East,near,North Heywood,north,Bentley and Darlaston North,"East is near North Heywood, north Bentley and Darlaston North",Which city is near to North Heywood and also north from Bentley and Darlaston North?,"A. East
B. Mossley
C. Selly Oak",A. East,"correct,partial,random"
East,close,Milnrow and Newhey,south,Whickham South and Sunniside,"East is close Milnrow and Newhey, south Whickham South and Sunniside",Which city is close to Milnrow and Newhey and also south from Whickham South and Sunniside?,"A. Timperley
B. East
C. Bolton and Undercliffe",B. East,"random,correct,partial"
East,distant,Tong,west,Hoober,"East is distant Tong, west Hoober",Which city is distant to Tong and also west from Hoober?,"A. Cradley Heath and Old Hill
B. East
C. Earlestown",B. East,"random,correct,partial"
East,far,West Bromwich Central,east,Everton,"East is far West Bromwich Central, east Everton",Which city is far to West Bromwich Central and also east from Everton?,"A. East
B. Sale Moor
C. Derby",A. East,"correct,partial,random"
Darton East,near,Monk Bretton,north,Stechford and Yardley North,"Darton East is near Monk Bretton, north Stechford and Yardley North",Which city is near to Monk Bretton and also north from Stechford and Yardley North?,"A. Elmdon
B. Wombwell
C. Darton East",C. Darton East,"random,partial,correct"
Darton East,close,Mirfield,south,Monkton,"Darton East is close Mirfield, south Monkton",Which city is close to Mirfield and also south from Monkton?,"A. Claremont
B. Cradley and Wollescote
C. Darton East",C. Darton East,"random,partial,correct"
Darton East,distant,Hulme,east,Pendlebury,"Darton East is distant Hulme, east Pendlebury",Which city is distant to Hulme and also east from Pendlebury?,"A. Darton East
B. Priory
C. Wombwell",A. Darton East,"correct,random,partial"
Darton East,far,Leigh East,west,Hatfield,"Darton East is far Leigh East, west Hatfield",Which city is far to Leigh East and also west from Hatfield?,"A. Wakefield North
B. Darton East
C. Burnage",B. Darton East,"partial,correct,random"
Lye and Stourbridge North,near,Wollaston and Stourbridge Town,west,Meriden West Midlands,"Lye and Stourbridge North is near Wollaston and Stourbridge Town, west Meriden West Midlands",Which city is near to Wollaston and Stourbridge Town and also west from Meriden West Midlands?,"A. Halesowen South
B. Lye and Stourbridge North
C. Hodge Hill",B. Lye and Stourbridge North,"random,correct,partial"
Lye and Stourbridge North,close,Rushall-Shelfield,south,Tuebrook and Stoneycroft,"Lye and Stourbridge North is close Rushall-Shelfield, south Tuebrook and Stoneycroft",Which city is close to Rushall-Shelfield and also south from Tuebrook and Stoneycroft?,"A. Lye and Stourbridge North
B. Fallings Park
C. Stannington",A. Lye and Stourbridge North,"correct,partial,random"
Lye and Stourbridge North,distant,Woodlands,north,Pedmore and Stourbridge East,"Lye and Stourbridge North is distant Woodlands, north Pedmore and Stourbridge East",Which city is distant to Woodlands and also north from Pedmore and Stourbridge East?,"A. Great Bridge
B. Lye and Stourbridge North
C. Worsbrough",B. Lye and Stourbridge North,"partial,correct,random"
Lye and Stourbridge North,far,Northwood,east,Norton,"Lye and Stourbridge North is far Northwood, east Norton",Which city is far to Northwood and also east from Norton?,"A. Charlestown
B. Smethwick
C. Lye and Stourbridge North",C. Lye and Stourbridge North,"random,partial,correct"
Moseley and Kings Heath,near,Weoley,south,Droylsden East,"Moseley and Kings Heath is near Weoley, south Droylsden East",Which city is near to Weoley and also south from Droylsden East?,"A. Washington East
B. Shirley East
C. Moseley and Kings Heath",C. Moseley and Kings Heath,"random,partial,correct"
Moseley and Kings Heath,close,Sutton Trinity,east,Halesowen South,"Moseley and Kings Heath is close Sutton Trinity, east Halesowen South",Which city is close to Sutton Trinity and also east from Halesowen South?,"A. Moseley and Kings Heath
B. St. Matthew's
C. Hall Green",A. Moseley and Kings Heath,"correct,partial,random"
Moseley and Kings Heath,distant,Westwood,west,St. Alphege,"Moseley and Kings Heath is distant Westwood, west St. Alphege",Which city is distant to Westwood and also west from St. Alphege?,"A. Sedgley
B. Moseley and Kings Heath
C. Gorse Hill",B. Moseley and Kings Heath,"partial,correct,random"
Moseley and Kings Heath,far,South Middleton,north,Billesley,"Moseley and Kings Heath is far South Middleton, north Billesley",Which city is far to South Middleton and also north from Billesley?,"A. Moseley and Kings Heath
B. Duke's
C. Hendon",A. Moseley and Kings Heath,"correct,random,partial"
Byker,near,Felling,west,Horsley Hill,"Byker is near Felling, west Horsley Hill",Which city is near to Felling and also west from Horsley Hill?,"A. Byker
B. Bede
C. Sedgley",A. Byker,"correct,partial,random"
Byker,close,St. Mary's,north,Ovenden,"Byker is close St. Mary's, north Ovenden",Which city is close to St. Mary's and also north from Ovenden?,"A. Hindley
B. Byker
C. Windy Nook and Whitehills",B. Byker,"partial,correct,random"
Byker,far,Stocksbridge & Upper Don,south,Monkseaton North,"Byker is far Stocksbridge & Upper Don, south Monkseaton North",Which city is far to Stocksbridge & Upper Don and also south from Monkseaton North?,"A. Preston
B. Byker
C. Felling",B. Byker,"partial,correct,random"
Lozells and East Handsworth,near,Tyburn,south,Park & Arbourthorne,"Lozells and East Handsworth is near Tyburn, south Park & Arbourthorne",Which city is near to Tyburn and also south from Park & Arbourthorne?,"A. Silksworth
B. Gornal
C. Lozells and East Handsworth",C. Lozells and East Handsworth,"random,partial,correct"
Lozells and East Handsworth,close,Lyndon,east,Langley,"Lozells and East Handsworth is close Lyndon, east Langley",Which city is close to Lyndon and also east from Langley?,"A. Longbenton
B. Lozells and East Handsworth
C. Knowle",B. Lozells and East Handsworth,"random,correct,partial"
Lozells and East Handsworth,distant,Tettenhall Wightwick,north,Selly Oak,"Lozells and East Handsworth is distant Tettenhall Wightwick, north Selly Oak",Which city is distant to Tettenhall Wightwick and also north from Selly Oak?,"A. Lozells and East Handsworth
B. Wigan Central
C. Heaton and Lostock",A. Lozells and East Handsworth,"correct,partial,random"
Lozells and East Handsworth,far,Mosborough,west,Sheldon,"Lozells and East Handsworth is far Mosborough, west Sheldon",Which city is far to Mosborough and also west from Sheldon?,"A. Orgreave South Yorkshire
B. Bentley and Darlaston North
C. Lozells and East Handsworth",C. Lozells and East Handsworth,"random,partial,correct"
Tettenhall Wightwick,near,Doxey,south,Whickham North,"Tettenhall Wightwick is near Doxey, south Whickham North",Which city is near to Doxey and also south from Whickham North?,"A. Horsforth
B. Kingshurst and Fordbridge
C. Tettenhall Wightwick",C. Tettenhall Wightwick,"random,partial,correct"
Tettenhall Wightwick,close,Willenhall South,west,Wednesfield South,"Tettenhall Wightwick is close Willenhall South, west Wednesfield South",Which city is close to Willenhall South and also west from Wednesfield South?,"A. Pedmore and Stourbridge East
B. Whickham South and Sunniside
C. Tettenhall Wightwick",C. Tettenhall Wightwick,"partial,random,correct"
Tettenhall Wightwick,distant,Upper Stoke,north,Northfield,"Tettenhall Wightwick is distant Upper Stoke, north Northfield",Which city is distant to Upper Stoke and also north from Northfield?,"A. Stalybridge South
B. Tettenhall Wightwick
C. Almondbury",B. Tettenhall Wightwick,"partial,correct,random"
Hall Green,near,Stechford and Yardley North,south,Batley East,"Hall Green is near Stechford and Yardley North, south Batley East",Which city is near to Stechford and Yardley North and also south from Batley East?,"A. Stalybridge South
B. Shirley West
C. Hall Green",C. Hall Green,"random,partial,correct"
Hall Green,close,Pheasey Park Farm,east,Penn,"Hall Green is close Pheasey Park Farm, east Penn",Which city is close to Pheasey Park Farm and also east from Penn?,"A. St. Pauls
B. Hall Green
C. Windhill and Wrose",B. Hall Green,"partial,correct,random"
Hall Green,distant,St. James's,west,Olton,"Hall Green is distant St. James's, west Olton",Which city is distant to St. James's and also west from Olton?,"A. Elton
B. Hall Green
C. Kingshurst and Fordbridge",B. Hall Green,"random,correct,partial"
Hall Green,far,St. Anne's,north,Shirley West,"Hall Green is far St. Anne's, north Shirley West",Which city is far to St. Anne's and also north from Shirley West?,"A. Craven
B. Guiseley and Rawdon
C. Hall Green",C. Hall Green,"random,partial,correct"
Radcliffe East,near,Sedgley,north,Brooklands,"Radcliffe East is near Sedgley, north Brooklands",Which city is near to Sedgley and also north from Brooklands?,"A. Shiney Row
B. Whiteleas
C. Radcliffe East",C. Radcliffe East,"partial,random,correct"
Radcliffe East,close,Whalley Range,west,Saddleworth West and Lees,"Radcliffe East is close Whalley Range, west Saddleworth West and Lees",Which city is close to Whalley Range and also west from Saddleworth West and Lees?,"A. Radcliffe East
B. Leasowe and Moreton East
C. Elswick",A. Radcliffe East,"correct,partial,random"
Radcliffe East,distant,Sowerby Bridge,east,Pemberton,"Radcliffe East is distant Sowerby Bridge, east Pemberton",Which city is distant to Sowerby Bridge and also east from Pemberton?,"A. Bede
B. Radcliffe East
C. Gorton North",B. Radcliffe East,"random,correct,partial"
Radcliffe East,far,Wakefield South,south,Low Fell,"Radcliffe East is far Wakefield South, south Low Fell",Which city is far to Wakefield South and also south from Low Fell?,"A. Wharfedale
B. Old Moat
C. Radcliffe East",C. Radcliffe East,"partial,random,correct"
Benwell and Scotswood,near,West Gosforth,north,Thatto Heath,"Benwell and Scotswood is near West Gosforth, north Thatto Heath",Which city is near to West Gosforth and also north from Thatto Heath?,"A. Windle St Helens
B. Benwell and Scotswood
C. Harper Green",B. Benwell and Scotswood,"partial,correct,random"
