place1,dir,place2_Y,top,place2_Z,dis,place2_W,triplet,question,options,answer,option_sources
Washington South,south,West Gosforth,within,City of Sunderland,close,Westgate,"Washington South within City of Sunderland, close to Westgate, and south of West Gosforth",Which city is within City of Sunderland and also close to Westgate and south of West Gosforth?,"A. Castle Eden
B. Washington South
C. Wardley and Leam Lane",B. Washington South,"random,correct,partial"
Spotland and Falinge,south,Ryhope,within,Metropolitan Borough of Rochdale,close,Swinton South,"Spotland and Falinge within Metropolitan Borough of Rochdale, close to Swinton South, and south of Ryhope",Which city is within Metropolitan Borough of Rochdale and also close to Swinton South and south of Ryhope?,"A. Doxey
B. Spotland and Falinge
C. Horwich and Blackrod",B. Spotland and Falinge,"random,correct,partial"
Northwood,south,Lemington,within,Metropolitan Borough of Knowsley,close,Norwood,"Northwood within Metropolitan Borough of Knowsley, close to Norwood, and south of Lemington",Which city is within Metropolitan Borough of Knowsley and also close to Norwood and south of Lemington?,"A. Ashton Hurst
B. Northwood
C. County",B. Northwood,"random,correct,partial"
Rushall-Shelfield,south,Smallbridge and Firgrove,within,West Midlands Euro Region,close,Upper Gornal and Woodsetton,"Rushall-Shelfield within West Midlands Euro Region, close to Upper Gornal and Woodsetton, and south of Smallbridge and Firgrove",Which city is within West Midlands Euro Region and also close to Upper Gornal and Woodsetton and south of Smallbridge and Firgrove?,"A. Cheadle Hulme North
B. Belle Vale
C. Rushall-Shelfield",C. Rushall-Shelfield,"random,partial,correct"
Greenbank,south,Monkseaton South,within,North West Euro Region,close,Sutton Weaver (civil parish),"Greenbank within North West Euro Region, close to Sutton Weaver (civil parish), and south of Monkseaton South",Which city is within North West Euro Region and also close to Sutton Weaver (civil parish) and south of Monkseaton South?,"A. Everton
B. Greenbank
C. Longbenton",B. Greenbank,"partial,correct,random"
Cross Gates and Whinmoor,south,Howdon,within,County Borough of Leeds,close,Tong,"Cross Gates and Whinmoor within County Borough of Leeds, close to Tong, and south of Howdon",Which city is within County Borough of Leeds and also close to Tong and south of Howdon?,"A. Cross Gates and Whinmoor
B. Northowram and Shelf
C. Soho and Victoria",A. Cross Gates and Whinmoor,"correct,partial,random"
St. Peter's,south,Tonge with the Haulgh,within,Tameside,close,Wednesbury North,"St. Peter's within Tameside, close to Wednesbury North, and south of Tonge with the Haulgh",Which city is within Tameside and also close to Wednesbury North and south of Tonge with the Haulgh?,"A. St. Peter's
B. Manor Castle
C. Shard End",A. St. Peter's,"correct,random,partial"
Washington West,south,Killingworth,within,City of Sunderland,close,Wingrove,"Washington West within City of Sunderland, close to Wingrove, and south of Killingworth",Which city is within City of Sunderland and also close to Wingrove and south of Killingworth?,"A. Castle and Priory
B. Washington West
C. Primrose",B. Washington West,"random,correct,partial"
Eastham,south,South Heaton,within,North West Euro Region,close,Halewood,"Eastham within North West Euro Region, close to Halewood, and south of South Heaton",Which city is within North West Euro Region and also close to Halewood and south of South Heaton?,"A. Eastham
B. North Manor
C. Moston",A. Eastham,"correct,partial,random"
Moss Bank,south,Tynemouth,within,North West Euro Region,close,Warbreck,"Moss Bank within North West Euro Region, close to Warbreck, and south of Tynemouth",Which city is within North West Euro Region and also close to Warbreck and south of Tynemouth?,"A. East Middleton
B. Moss Bank
C. Tyldesley",B. Moss Bank,"partial,correct,random"
Toller,south,Ryhope,within,City of Bradford,close,Mirfield,"Toller within City of Bradford, close to Mirfield, and south of Ryhope",Which city is within City of Bradford and also close to Mirfield and south of Ryhope?,"A. Toller
B. Silksworth
C. Roundhay",A. Toller,"correct,random,partial"
Killingbeck and Seacroft,south,Lemington,within,County Borough of Leeds,close,Wetherby,"Killingbeck and Seacroft within County Borough of Leeds, close to Wetherby, and south of Lemington",Which city is within County Borough of Leeds and also close to Wetherby and south of Lemington?,"A. Featherstone
B. Killingbeck and Seacroft
C. Radford",B. Killingbeck and Seacroft,"partial,correct,random"
Crofton Ryhill and Walton,south,Altofts and Whitwood,within,City of Wakefield,close,Silverwood,"Crofton Ryhill and Walton within City of Wakefield, close to Silverwood, and south of Altofts and Whitwood",Which city is within City of Wakefield and also close to Silverwood and south of Altofts and Whitwood?,"A. Crofton Ryhill and Walton
B. Fulwood
C. Billinge and Seneley Green",A. Crofton Ryhill and Walton,"correct,partial,random"
Horbury and South Ossett,south,Blakelaw and North Fenham,within,City of Wakefield,close,Idle and Thackley,"Horbury and South Ossett within City of Wakefield, close to Idle and Thackley, and south of Blakelaw and North Fenham",Which city is within City of Wakefield and also close to Idle and Thackley and south of Blakelaw and North Fenham?,"A. Central
B. Horbury and South Ossett
C. Marple North",B. Horbury and South Ossett,"partial,correct,random"
Great Bridge,south,Castle Eden,within,West Midlands Euro Region,distant,Sherbourne Warwickshire,"Great Bridge within West Midlands Euro Region, distant to Sherbourne Warwickshire, and south of Castle Eden",Which city is within West Midlands Euro Region and also distant to Sherbourne Warwickshire and south of Castle Eden?,"A. Castle and Priory
B. Silksworth
C. Great Bridge",C. Great Bridge,"partial,random,correct"
Nechells,south,Anston and Woodsetts,within,Birmingham,distant,Tettenhall Wightwick,"Nechells within Birmingham, distant to Tettenhall Wightwick, and south of Anston and Woodsetts",Which city is within Birmingham and also distant to Tettenhall Wightwick and south of Anston and Woodsetts?,"A. Aston
B. Upper Gornal and Woodsetton
C. Nechells",C. Nechells,"partial,random,correct"
Saddleworth North,south,Southwick,within,Metropolitan Borough of Oldham,distant,Windle St Helens,"Saddleworth North within Metropolitan Borough of Oldham, distant to Windle St Helens, and south of Southwick",Which city is within Metropolitan Borough of Oldham and also distant to Windle St Helens and south of Southwick?,"A. Acocks Green
B. Saddleworth North
C. Saddleworth",B. Saddleworth North,"random,correct,partial"
Holme Valley North,south,Beacon and Bents,within,Yorkshire and the Humber Euro Region,distant,Maltby South Yorkshire,"Holme Valley North within Yorkshire and the Humber Euro Region, distant to Maltby South Yorkshire, and south of Beacon and Bents",Which city is within Yorkshire and the Humber Euro Region and also distant to Maltby South Yorkshire and south of Beacon and Bents?,"A. Beighton
B. Holme Valley North
C. Smithills",B. Holme Valley North,"partial,correct,random"
Chapel Allerton,south,Cullercoats,within,County Borough of Leeds,distant,Reddish North,"Chapel Allerton within County Borough of Leeds, distant to Reddish North, and south of Cullercoats",Which city is within County Borough of Leeds and also distant to Reddish North and south of Cullercoats?,"A. Upton
B. Horbury and South Ossett
C. Chapel Allerton",C. Chapel Allerton,"random,partial,correct"
Colne Valley,south,Deckham,within,Kirklees,distant,Richmond,"Colne Valley within Kirklees, distant to Richmond, and south of Deckham",Which city is within Kirklees and also distant to Richmond and south of Deckham?,"A. Birstall and Birkenshaw
B. Metropolitan Borough of Knowsley
C. Colne Valley",C. Colne Valley,"partial,random,correct"
Harton,south,Preston,within,North East Euro Region,distant,Lemington,"Harton within North East Euro Region, distant to Lemington, and south of Preston",Which city is within North East Euro Region and also distant to Lemington and south of Preston?,"A. Church
B. Rossington
C. Harton",C. Harton,"partial,random,correct"
St. Michaels,south,South Jesmond,within,Metropolitan Borough of Knowsley,distant,Upton,"St. Michaels within Metropolitan Borough of Knowsley, distant to Upton, and south of South Jesmond",Which city is within Metropolitan Borough of Knowsley and also distant to Upton and south of South Jesmond?,"A. St. Michaels
B. City of Salford
C. Radcliffe West",A. St. Michaels,"correct,random,partial"
Werneth,south,Little Horton,within,Metropolitan Borough of Oldham,distant,Wibsey,"Werneth within Metropolitan Borough of Oldham, distant to Wibsey, and south of Little Horton",Which city is within Metropolitan Borough of Oldham and also distant to Wibsey and south of Little Horton?,"A. Elmdon
B. Werneth
C. Sharston",B. Werneth,"random,correct,partial"
Silhill,south,Birley,within,West Midlands Euro Region,distant,Wednesbury North,"Silhill within West Midlands Euro Region, distant to Wednesbury North, and south of Birley",Which city is within West Midlands Euro Region and also distant to Wednesbury North and south of Birley?,"A. St. Peter's
B. Billinge and Seneley Green
C. Silhill",C. Silhill,"partial,random,correct"
Kirkdale,south,Cambridge,within,Liverpool,distant,Wigan Central,"Kirkdale within Liverpool, distant to Wigan Central, and south of Cambridge",Which city is within Liverpool and also distant to Wigan Central and south of Cambridge?,"A. Kirkdale
B. Litherland
C. Blakelaw and North Fenham",A. Kirkdale,"correct,partial,random"
Droylsden West,south,Ryburn,within,North West Euro Region,distant,Rumworth,"Droylsden West within North West Euro Region, distant to Rumworth, and south of Ryburn",Which city is within North West Euro Region and also distant to Rumworth and south of Ryburn?,"A. Bromborough
B. Droylsden West
C. Town Centre",B. Droylsden West,"partial,correct,random"
Milkstone and Deeplish,south,Pallion,within,Metropolitan Borough of Rochdale,distant,Wigan Central,"Milkstone and Deeplish within Metropolitan Borough of Rochdale, distant to Wigan Central, and south of Pallion",Which city is within Metropolitan Borough of Rochdale and also distant to Wigan Central and south of Pallion?,"A. Milkstone and Deeplish
B. Netherton and Orrell
C. Greasby Frankby and Irby",A. Milkstone and Deeplish,"correct,random,partial"
Worth Valley,south,Camperdown,within,City of Bradford,distant,Westhoughton,"Worth Valley within City of Bradford, distant to Westhoughton, and south of Camperdown",Which city is within City of Bradford and also distant to Westhoughton and south of Camperdown?,"A. Castleton
B. Worth Valley
C. Droylsden West",B. Worth Valley,"partial,correct,random"
Haydock,south,Fellgate and Hedworth,within,North West Euro Region,distant,Pendlebury,"Haydock within North West Euro Region, distant to Pendlebury, and south of Fellgate and Hedworth",Which city is within North West Euro Region and also distant to Pendlebury and south of Fellgate and Hedworth?,"A. Haydock
B. Hebburn South
C. Parr",A. Haydock,"correct,random,partial"
Leigh West,south,Ryton Crookhill and Stella,within,Metropolitan Borough of Wigan,distant,Netherton and Orrell,"Leigh West within Metropolitan Borough of Wigan, distant to Netherton and Orrell, and south of Ryton Crookhill and Stella",Which city is within Metropolitan Borough of Wigan and also distant to Netherton and Orrell and south of Ryton Crookhill and Stella?,"A. Kingswinford North and Wall Heath
B. Leigh West
C. St. Michael's",B. Leigh West,"random,correct,partial"
Weetwood,south,South Jesmond,within,Yorkshire and the Humber Euro Region,distant,Wheatley Hills & Intake,"Weetwood within Yorkshire and the Humber Euro Region, distant to Wheatley Hills & Intake, and south of South Jesmond",Which city is within Yorkshire and the Humber Euro Region and also distant to Wheatley Hills & Intake and south of South Jesmond?,"A. Weetwood
B. Chelmsley Wood
C. Worth Valley",A. Weetwood,"correct,random,partial"
Thorne & Moorends,south,Whitburn and Marsden,within,Yorkshire and the Humber Euro Region,distant,Wingfield,"Thorne & Moorends within Yorkshire and the Humber Euro Region, distant to Wingfield, and south of Whitburn and Marsden",Which city is within Yorkshire and the Humber Euro Region and also distant to Wingfield and south of Whitburn and Marsden?,"A. East Ecclesfield
B. Thorne & Moorends
C. Cheylesmore",B. Thorne & Moorends,"partial,correct,random"
Dorridge and Hockley Heath,south,Blackrod,within,West Midlands Euro Region,distant,Ettingshall,"Dorridge and Hockley Heath within West Midlands Euro Region, distant to Ettingshall, and south of Blackrod",Which city is within West Midlands Euro Region and also distant to Ettingshall and south of Blackrod?,"A. Foleshill
B. Dorridge and Hockley Heath
C. Langley",B. Dorridge and Hockley Heath,"random,correct,partial"
Brandwood,south,Stechford and Yardley North,within,West Midlands Euro Region,distant,Whoberley,"Brandwood within West Midlands Euro Region, distant to Whoberley, and south of Stechford and Yardley North",Which city is within West Midlands Euro Region and also distant to Whoberley and south of Stechford and Yardley North?,"A. Duke's
B. Knowle
C. Brandwood",C. Brandwood,"random,partial,correct"
Kingstone,south,Houghton,within,Metropolitan Borough of Barnsley,distant,Lindley,"Kingstone within Metropolitan Borough of Barnsley, distant to Lindley, and south of Houghton",Which city is within Metropolitan Borough of Barnsley and also distant to Lindley and south of Houghton?,"A. Altofts and Whitwood
B. Kingstone
C. Norris Green",B. Kingstone,"partial,correct,random"
Brooklands,south,Whickham North,within,Trafford,distant,Prenton,"Brooklands within Trafford, distant to Prenton, and south of Whickham North",Which city is within Trafford and also distant to Prenton and south of Whickham North?,"A. Shevington
B. Brooklands
C. Bradshaw",B. Brooklands,"random,correct,partial"
Chadderton South,south,Whickham South and Sunniside,within,North West Euro Region,far,Harington,"Chadderton South within North West Euro Region, far to Harington, and south of Whickham South and Sunniside",Which city is within North West Euro Region and also far to Harington and south of Whickham South and Sunniside?,"A. Clubmoor
B. Chadderton South
C. Moss Side",B. Chadderton South,"random,correct,partial"
Hodge Hill,south,Lemington,within,West Midlands Euro Region,far,Wigan West,"Hodge Hill within West Midlands Euro Region, far to Wigan West, and south of Lemington",Which city is within West Midlands Euro Region and also far to Wigan West and south of Lemington?,"A. Westwood
B. Bartley Green
C. Hodge Hill",C. Hodge Hill,"random,partial,correct"
Blaydon,south,Fenham,within,North East Euro Region,far,Tonge with the Haulgh,"Blaydon within North East Euro Region, far to Tonge with the Haulgh, and south of Fenham",Which city is within North East Euro Region and also far to Tonge with the Haulgh and south of Fenham?,"A. Smithills
B. Blaydon
C. North East",B. Blaydon,"random,correct,partial"
Sheldon,south,Paddock,within,Birmingham,far,St. Michael's,"Sheldon within Birmingham, far to St. Michael's, and south of Paddock",Which city is within Birmingham and also far to St. Michael's and south of Paddock?,"A. Heaton
B. Sheldon
C. Fenham",B. Sheldon,"random,correct,partial"
Victoria,south,Dunston and Teams,within,Metropolitan Borough of Sefton,far,Wednesbury South,"Victoria within Metropolitan Borough of Sefton, far to Wednesbury South, and south of Dunston and Teams",Which city is within Metropolitan Borough of Sefton and also far to Wednesbury South and south of Dunston and Teams?,"A. Lindley
B. Victoria
C. Metropolitan Borough of St Helens",B. Victoria,"partial,correct,random"
Bryn,south,Whickham South and Sunniside,within,Metropolitan Borough of Wigan,far,Woolsington,"Bryn within Metropolitan Borough of Wigan, far to Woolsington, and south of Whickham South and Sunniside",Which city is within Metropolitan Borough of Wigan and also far to Woolsington and south of Whickham South and Sunniside?,"A. Ancoats and Clayton
B. Bryn
C. Litherland",B. Bryn,"partial,correct,random"
Stannington,south,Dewsbury West,within,Yorkshire and the Humber Euro Region,far,Wollaston and Stourbridge Town,"Stannington within Yorkshire and the Humber Euro Region, far to Wollaston and Stourbridge Town, and south of Dewsbury West",Which city is within Yorkshire and the Humber Euro Region and also far to Wollaston and Stourbridge Town and south of Dewsbury West?,"A. Birmingham
B. Stannington
C. Marple South",B. Stannington,"random,correct,partial"
Graiseley,south,Stairfoot,within,Wolverhampton,far,Finningley,"Graiseley within Wolverhampton, far to Finningley, and south of Stairfoot",Which city is within Wolverhampton and also far to Finningley and south of Stairfoot?,"A. Aston
B. Graiseley
C. Wibsey",B. Graiseley,"partial,correct,random"
Langley,south,Gleadless Valley,within,Sandwell,far,Smallbridge and Firgrove,"Langley within Sandwell, far to Smallbridge and Firgrove, and south of Gleadless Valley",Which city is within Sandwell and also far to Smallbridge and Firgrove and south of Gleadless Valley?,"A. Langley
B. Holbrook
C. Lyndon",A. Langley,"correct,random,partial"
Heatons North,south,North Jesmond,within,Metropolitan Borough of Stockport,far,Horsley Hill,"Heatons North within Metropolitan Borough of Stockport, far to Horsley Hill, and south of North Jesmond",Which city is within Metropolitan Borough of Stockport and also far to Horsley Hill and south of North Jesmond?,"A. Bucklow-St. Martins
B. Heatons North
C. Westhoughton",B. Heatons North,"partial,correct,random"
Cheadle and Gatley,south,Smithills,within,Metropolitan Borough of Stockport,far,Wyken,"Cheadle and Gatley within Metropolitan Borough of Stockport, far to Wyken, and south of Smithills",Which city is within Metropolitan Borough of Stockport and also far to Wyken and south of Smithills?,"A. Eccles
B. Cheadle and Gatley
C. Pendlebury",B. Cheadle and Gatley,"partial,correct,random"
Tong,south,Low Fell,within,City of Bradford,far,Wardley and Leam Lane,"Tong within City of Bradford, far to Wardley and Leam Lane, and south of Low Fell",Which city is within City of Bradford and also far to Wardley and Leam Lane and south of Low Fell?,"A. Stanley and Outwood East
B. Tong
C. Saddleworth North",B. Tong,"partial,correct,random"
Upper Gornal and Woodsetton,south,Hellaby,within,Metropolitan Borough of Dudley,far,Washington South,"Upper Gornal and Woodsetton within Metropolitan Borough of Dudley, far to Washington South, and south of Hellaby",Which city is within Metropolitan Borough of Dudley and also far to Washington South and south of Hellaby?,"A. Harborne
B. Princes End
C. Upper Gornal and Woodsetton",C. Upper Gornal and Woodsetton,"random,partial,correct"
Armthorpe,south,Dunston Hill and Whickham East,within,Metropolitan Borough of Doncaster,far,Bryn,"Armthorpe within Metropolitan Borough of Doncaster, far to Bryn, and south of Dunston Hill and Whickham East",Which city is within Metropolitan Borough of Doncaster and also far to Bryn and south of Dunston Hill and Whickham East?,"A. Church
B. Stairfoot
C. Armthorpe",C. Armthorpe,"partial,random,correct"
Acocks Green,south,Linacre,within,Birmingham,far,Sale Moor,"Acocks Green within Birmingham, far to Sale Moor, and south of Linacre",Which city is within Birmingham and also far to Sale Moor and south of Linacre?,"A. Heaton and Lostock
B. Foleshill
C. Acocks Green",C. Acocks Green,"random,partial,correct"
Didsbury West,south,Cleckheaton,within,North West Euro Region,far,Heswall,"Didsbury West within North West Euro Region, far to Heswall, and south of Cleckheaton",Which city is within North West Euro Region and also far to Heswall and south of Cleckheaton?,"A. Didsbury West
B. Didsbury East
C. Sandwell",A. Didsbury West,"correct,partial,random"
St. Alphege,south,Hindley Green,within,West Midlands Euro Region,far,Sudell,"St. Alphege within West Midlands Euro Region, far to Sudell, and south of Hindley Green",Which city is within West Midlands Euro Region and also far to Sudell and south of Hindley Green?,"A. St. Alphege
B. Amblecote
C. Newcastle upon Tyne",A. St. Alphege,"correct,partial,random"
Bridges,south,Wingrove,within,Metropolitan Borough of Gateshead,far,Miles Platting and Newton Heath,"Bridges within Metropolitan Borough of Gateshead, far to Miles Platting and Newton Heath, and south of Wingrove",Which city is within Metropolitan Borough of Gateshead and also far to Miles Platting and Newton Heath and south of Wingrove?,"A. Birkdale
B. Bridges
C. St. Michael's",B. Bridges,"random,correct,partial"
Pelaw and Heworth,south,Wallsend,within,Metropolitan Borough of Gateshead,far,Wednesbury South,"Pelaw and Heworth within Metropolitan Borough of Gateshead, far to Wednesbury South, and south of Wallsend",Which city is within Metropolitan Borough of Gateshead and also far to Wednesbury South and south of Wallsend?,"A. Pelaw and Heworth
B. Ettingshall
C. Bidston and St. James",A. Pelaw and Heworth,"correct,random,partial"
Whitburn and Marsden,south,Beacon and Bents,within,South Tyneside,far,Wombwell,"Whitburn and Marsden within South Tyneside, far to Wombwell, and south of Beacon and Bents",Which city is within South Tyneside and also far to Wombwell and south of Beacon and Bents?,"A. Whitburn and Marsden
B. Bede
C. Streetly",A. Whitburn and Marsden,"correct,random,partial"
Stalybridge South,south,Royton South,within,Tameside,far,Tettenhall Regis,"Stalybridge South within Tameside, far to Tettenhall Regis, and south of Royton South",Which city is within Tameside and also far to Tettenhall Regis and south of Royton South?,"A. Ashton St. Michael's
B. Chadderton North
C. Stalybridge South",C. Stalybridge South,"partial,random,correct"
Warbreck,south,Ouseburn,within,Liverpool,far,West Ecclesfield,"Warbreck within Liverpool, far to West Ecclesfield, and south of Ouseburn",Which city is within Liverpool and also far to West Ecclesfield and south of Ouseburn?,"A. Binley and Willenhall
B. Warbreck
C. Childwall",B. Warbreck,"random,correct,partial"
Parr,south,Houghton,borders,Sutton Weaver (civil parish),near,Bryn,"Parr borders Sutton Weaver (civil parish), near to Bryn, and south of Houghton",Which city borders Sutton Weaver (civil parish) and is also near to Bryn and south of Houghton?,"A. Bold St Helens
B. Pelsall
C. Parr",C. Parr,"partial,random,correct"
Adel and Wharfedale,south,Ryton Crookhill and Stella,borders,Alwoodley,near,Armley,"Adel and Wharfedale borders Alwoodley, near to Armley, and south of Ryton Crookhill and Stella",Which city borders Alwoodley and is also near to Armley and south of Ryton Crookhill and Stella?,"A. Beacon and Bents
B. St. Michael's
C. Adel and Wharfedale",C. Adel and Wharfedale,"random,partial,correct"
Kew,south,Castle Eden,borders,Norwood,near,Norwood,"Kew borders Norwood, near to Norwood, and south of Castle Eden",Which city borders Norwood and is also near to Norwood and south of Castle Eden?,"A. City
B. Kew
C. Whitefield",B. Kew,"partial,correct,random"
Tettenhall Regis,south,Horsley Hill,borders,Tettenhall Wightwick,near,Doxey,"Tettenhall Regis borders Tettenhall Wightwick, near to Doxey, and south of Horsley Hill",Which city borders Tettenhall Wightwick and is also near to Doxey and south of Horsley Hill?,"A. East Park
B. Windle St Helens
C. Tettenhall Regis",C. Tettenhall Regis,"partial,random,correct"
Ancoats and Clayton,south,North Heywood,borders,Bradford,near,Crumpsall,"Ancoats and Clayton borders Bradford, near to Crumpsall, and south of North Heywood",Which city borders Bradford and is also near to Crumpsall and south of North Heywood?,"A. Brooklands
B. St. Peter's
C. Ancoats and Clayton",C. Ancoats and Clayton,"partial,random,correct"
Silksworth,south,Boldon Colliery,borders,Barnes,near,St. Peter's,"Silksworth borders Barnes, near to St. Peter's, and south of Boldon Colliery",Which city borders Barnes and is also near to St. Peter's and south of Boldon Colliery?,"A. Failsworth West
B. Netherton Woodside and St. Andrews
C. Silksworth",C. Silksworth,"partial,random,correct"
Whickham North,south,Valley,borders,Dunston Hill and Whickham East,near,Whickham South and Sunniside,"Whickham North borders Dunston Hill and Whickham East, near to Whickham South and Sunniside, and south of Valley",Which city borders Dunston Hill and Whickham East and is also near to Whickham South and Sunniside and south of Valley?,"A. Whickham North
B. Stretford
C. Streetly",A. Whickham North,"correct,random,partial"
Little Horton,south,Hendon,borders,Bowling and Barkerend,near,Windhill and Wrose,"Little Horton borders Bowling and Barkerend, near to Windhill and Wrose, and south of Hendon",Which city borders Bowling and Barkerend and is also near to Windhill and Wrose and south of Hendon?,"A. Little Horton
B. Bradford Moor
C. Town",A. Little Horton,"correct,random,partial"
Levenshulme,south,Parklands,borders,Rusholme,near,Rusholme,"Levenshulme borders Rusholme, near to Rusholme, and south of Parklands",Which city borders Rusholme and is also near to Rusholme and south of Parklands?,"A. East Park
B. Moss Side
C. Levenshulme",C. Levenshulme,"random,partial,correct"
Ilkley,south,Wardley and Leam Lane,borders,Keighley East,near,Keighley,"Ilkley borders Keighley East, near to Keighley, and south of Wardley and Leam Lane",Which city borders Keighley East and is also near to Keighley and south of Wardley and Leam Lane?,"A. Ilkley
B. Keighley West
C. Northumberland",A. Ilkley,"correct,partial,random"
Whoberley,south,Washington North,borders,Woodlands,near,Sherbourne Warwickshire,"Whoberley borders Woodlands, near to Sherbourne Warwickshire, and south of Washington North",Which city borders Woodlands and is also near to Sherbourne Warwickshire and south of Washington North?,"A. Winton
B. Wyken
C. Whoberley",C. Whoberley,"random,partial,correct"
Hindley Green,south,Washington West,borders,Westhoughton,near,Leigh South,"Hindley Green borders Westhoughton, near to Leigh South, and south of Washington West",Which city borders Westhoughton and is also near to Leigh South and south of Washington West?,"A. Prescot
B. Hindley Green
C. Boothstown and Ellenbrook",B. Hindley Green,"random,correct,partial"
Wath,south,North Heaton,borders,Mexborough,near,Sprotbrough and Cusworth,"Wath borders Mexborough, near to Sprotbrough and Cusworth, and south of North Heaton",Which city borders Mexborough and is also near to Sprotbrough and Cusworth and south of North Heaton?,"A. Bessacarr
B. Wath
C. Paddock",B. Wath,"partial,correct,random"
Castle Bromwich,south,Maltby South Yorkshire,borders,Tyburn,near,Chelmsley Wood,"Castle Bromwich borders Tyburn, near to Chelmsley Wood, and south of Maltby South Yorkshire",Which city borders Tyburn and is also near to Chelmsley Wood and south of Maltby South Yorkshire?,"A. Woodlands
B. Castle Bromwich
C. Kingshurst and Fordbridge",B. Castle Bromwich,"random,correct,partial"
Tipton Green,south,Urmston,borders,St. Thomas's,near,Wednesbury North,"Tipton Green borders St. Thomas's, near to Wednesbury North, and south of Urmston",Which city borders St. Thomas's and is also near to Wednesbury North and south of Urmston?,"A. Tipton Green
B. Upper Gornal and Woodsetton
C. Simonside and Rekendyke",A. Tipton Green,"correct,partial,random"
Birley,south,Bradford Moor,borders,Richmond,near,Brinsworth and Catcliffe,"Birley borders Richmond, near to Brinsworth and Catcliffe, and south of Bradford Moor",Which city borders Richmond and is also near to Brinsworth and Catcliffe and south of Bradford Moor?,"A. Birley
B. St. Thomas's
C. Beighton",A. Birley,"correct,random,partial"
Dukinfield,south,Balderstone and Kirkholt,borders,Dukinfield Stalybridge,near,Stalybridge South,"Dukinfield borders Dukinfield Stalybridge, near to Stalybridge South, and south of Balderstone and Kirkholt",Which city borders Dukinfield Stalybridge and is also near to Stalybridge South and south of Balderstone and Kirkholt?,"A. Bablake
B. Dukinfield
C. Stalybridge North",B. Dukinfield,"random,correct,partial"
Northowram and Shelf,south,West Gosforth,borders,Town,near,Rastrick,"Northowram and Shelf borders Town, near to Rastrick, and south of West Gosforth",Which city borders Town and is also near to Rastrick and south of West Gosforth?,"A. Northowram and Shelf
B. St. James's
C. Newton",A. Northowram and Shelf,"correct,random,partial"
Battle Hill,south,Valley,borders,Chirton,near,Monkseaton South,"Battle Hill borders Chirton, near to Monkseaton South, and south of Valley",Which city borders Chirton and is also near to Monkseaton South and south of Valley?,"A. Birchills Leamore
B. Blythe
C. Battle Hill",C. Battle Hill,"partial,random,correct"
City,south,Airedale and Ferry Fryston,borders,Darnall,near,Dore & Totley,"City borders Darnall, near to Dore & Totley, and south of Airedale and Ferry Fryston",Which city borders Darnall and is also near to Dore & Totley and south of Airedale and Ferry Fryston?,"A. City
B. Broomhill & Sharrow Vale
C. Priory",A. City,"correct,partial,random"
Bradshaw,south,Copt Hill,borders,Radcliffe North,near,North Manor,"Bradshaw borders Radcliffe North, near to North Manor, and south of Copt Hill",Which city borders Radcliffe North and is also near to North Manor and south of Copt Hill?,"A. Heald Green
B. Central
C. Bradshaw",C. Bradshaw,"random,partial,correct"
Parklands,south,Weetslade,borders,West Gosforth,near,Weetslade,"Parklands borders West Gosforth, near to Weetslade, and south of Weetslade",Which city borders West Gosforth and is also near to Weetslade and south of Weetslade?,"A. Bentley
B. Parklands
C. Fawdon",B. Parklands,"random,correct,partial"
Rossington,south,Guiseley and Rawdon,borders,Tickhill & Wadsworth,close,Wickersley,"Rossington borders Tickhill & Wadsworth, close to Wickersley, and south of Guiseley and Rawdon",Which city borders Tickhill & Wadsworth and is also close to Wickersley and south of Guiseley and Rawdon?,"A. Hexthorpe & Balby North
B. Great Lever
C. Rossington",C. Rossington,"partial,random,correct"
Horsforth,south,Benwell and Scotswood,borders,Calverley and Farsley,close,Ilkley,"Horsforth borders Calverley and Farsley, close to Ilkley, and south of Benwell and Scotswood",Which city borders Calverley and Farsley and is also close to Ilkley and south of Benwell and Scotswood?,"A. Horsforth
B. Park & Arbourthorne
C. Otley and Yeadon",A. Horsforth,"correct,random,partial"
Ryton Crookhill and Stella,south,Westerhope,borders,Blaydon,close,Wingrove,"Ryton Crookhill and Stella borders Blaydon, close to Wingrove, and south of Westerhope",Which city borders Blaydon and is also close to Wingrove and south of Westerhope?,"A. St. Michael's
B. Brandwood
C. Ryton Crookhill and Stella",C. Ryton Crookhill and Stella,"partial,random,correct"
Norton & Askern,south,Low Fell,borders,Stainforth & Barnby Dun,close,Stanley and Outwood East,"Norton & Askern borders Stainforth & Barnby Dun, close to Stanley and Outwood East, and south of Low Fell",Which city borders Stainforth & Barnby Dun and is also close to Stanley and Outwood East and south of Low Fell?,"A. Airedale and Ferry Fryston
B. Prenton
C. Norton & Askern",C. Norton & Askern,"partial,random,correct"
St. Helens,south,Bridges,borders,Old Town,close,Wath,"St. Helens borders Old Town, close to Wath, and south of Bridges",Which city borders Old Town and is also close to Wath and south of Bridges?,"A. East Ecclesfield
B. North Heywood
C. St. Helens",C. St. Helens,"partial,random,correct"
Bramley and Stanningley,south,Otley and Yeadon,borders,Armley,close,Dewsbury West,"Bramley and Stanningley borders Armley, close to Dewsbury West, and south of Otley and Yeadon",Which city borders Armley and is also close to Dewsbury West and south of Otley and Yeadon?,"A. Cudworth
B. Bramley and Stanningley
C. Atherton",B. Bramley and Stanningley,"partial,correct,random"
