place1,dir,place2_Y,top,place2_Z,triplet,question,options,answer,option_sources
Didsbury East,north,Longbridge,borders,Northenden,"Didsbury East is north Longbridge, borders Northenden",Which city lies north to Longbridge and borders Northenden?,"A. Breightmet
B. Wharfedale
C. Didsbury East",C. Didsbury East,"partial,random,correct"
Tickhill & Wadsworth,south,Copt Hill,within,Yorkshire and the Humber Euro Region,"Tickhill & Wadsworth is south Copt Hill, within Yorkshire and the Humber Euro Region",Which city lies south to Copt Hill and within Yorkshire and the Humber Euro Region?,"A. Tickhill & Wadsworth
B. Worth Valley
C. Derby",A. Tickhill & Wadsworth,"correct,partial,random"
Tickhill & Wadsworth,north,Lower Stoke,borders,Hellaby,"Tickhill & Wadsworth is north Lower Stoke, borders Hellaby",Which city lies north to Lower Stoke and borders Hellaby?,"A. Tickhill & Wadsworth
B. County Borough of Leeds
C. Birstall and Birkenshaw",A. Tickhill & Wadsworth,"correct,random,partial"
Upper Stoke,south,Hellaby,within,West Midlands Euro Region,"Upper Stoke is south Hellaby, within West Midlands Euro Region",Which city lies south to Hellaby and within West Midlands Euro Region?,"A. Bushbury South and Low Hill
B. Upper Stoke
C. Handsworth Wood",B. Upper Stoke,"random,correct,partial"
Upper Stoke,east,Rowley,borders,St. Michael's,"Upper Stoke is east Rowley, borders St. Michael's",Which city lies east to Rowley and borders St. Michael's?,"A. Unsworth
B. Upper Stoke
C. Stockland Green",B. Upper Stoke,"random,correct,partial"
Stanley and Outwood East,east,Idle and Thackley,within,Yorkshire and the Humber Euro Region,"Stanley and Outwood East is east Idle and Thackley, within Yorkshire and the Humber Euro Region",Which city lies east to Idle and Thackley and within Yorkshire and the Humber Euro Region?,"A. Stanley and Outwood East
B. Wath
C. St. Helens",A. Stanley and Outwood East,"correct,random,partial"
Stanley and Outwood East,west,Rossington,borders,Kippax West Yorkshire,"Stanley and Outwood East is west Rossington, borders Kippax West Yorkshire",Which city lies west to Rossington and borders Kippax West Yorkshire?,"A. Ince
B. Manchester
C. Stanley and Outwood East",C. Stanley and Outwood East,"partial,random,correct"
Little Horton,east,Victoria,within,Yorkshire and the Humber Euro Region,"Little Horton is east Victoria, within Yorkshire and the Humber Euro Region",Which city lies east to Victoria and within Yorkshire and the Humber Euro Region?,"A. Sutton Four Oaks
B. Lindley
C. Little Horton",C. Little Horton,"random,partial,correct"
Little Horton,north,Longford,borders,Tong,"Little Horton is north Longford, borders Tong",Which city lies north to Longford and borders Tong?,"A. Bucklow-St. Martins
B. Stepping Hill
C. Little Horton",C. Little Horton,"random,partial,correct"
Coseley East,south,Ardsley and Robin Hood,within,Metropolitan Borough of Dudley,"Coseley East is south Ardsley and Robin Hood, within Metropolitan Borough of Dudley",Which city lies south to Ardsley and Robin Hood and within Metropolitan Borough of Dudley?,"A. Hipperholme and Lightcliffe
B. Bloxwich East
C. Coseley East",C. Coseley East,"random,partial,correct"
Coseley East,west,Radford,borders,Castle and Priory,"Coseley East is west Radford, borders Castle and Priory",Which city lies west to Radford and borders Castle and Priory?,"A. Coseley East
B. Moseley and Kings Heath
C. Golborne and Lowton West",A. Coseley East,"correct,partial,random"
Ecclesall,south,North Heaton,within,Yorkshire and the Humber Euro Region,"Ecclesall is south North Heaton, within Yorkshire and the Humber Euro Region",Which city lies south to North Heaton and within Yorkshire and the Humber Euro Region?,"A. Golborne and Lowton West
B. Almondbury
C. Ecclesall",C. Ecclesall,"random,partial,correct"
Ecclesall,east,Hazel Grove,borders,Beauchief & Greenhill,"Ecclesall is east Hazel Grove, borders Beauchief & Greenhill",Which city lies east to Hazel Grove and borders Beauchief & Greenhill?,"A. Brinsworth and Catcliffe
B. Ecclesall
C. Dukinfield Stalybridge",B. Ecclesall,"partial,correct,random"
Soho,south,Picton Cheshire,within,West Midlands Euro Region,"Soho is south Picton Cheshire, within West Midlands Euro Region",Which city lies south to Picton Cheshire and within West Midlands Euro Region?,"A. Soho
B. Castle and Priory
C. Kingstanding",A. Soho,"correct,partial,random"
Soho,north,Shirley East,borders,Lozells and East Handsworth,"Soho is north Shirley East, borders Lozells and East Handsworth",Which city lies north to Shirley East and borders Lozells and East Handsworth?,"A. Westwood
B. Charlestown
C. Soho",C. Soho,"random,partial,correct"
Keppel,east,Crosland Moor and Netherton,within,Metropolitan Borough of Rotherham,"Keppel is east Crosland Moor and Netherton, within Metropolitan Borough of Rotherham",Which city lies east to Crosland Moor and Netherton and within Metropolitan Borough of Rotherham?,"A. Sitwell
B. Keppel
C. Hollinwood",B. Keppel,"partial,correct,random"
Keppel,south,North Jesmond,borders,Wingfield,"Keppel is south North Jesmond, borders Wingfield",Which city lies south to North Jesmond and borders Wingfield?,"A. Keppel
B. Kingsway
C. Sedgley",A. Keppel,"correct,random,partial"
Fallings Park,south,Hemsworth,within,Wolverhampton,"Fallings Park is south Hemsworth, within Wolverhampton",Which city lies south to Hemsworth and within Wolverhampton?,"A. Windle St Helens
B. Fallings Park
C. Bilston East",B. Fallings Park,"random,correct,partial"
Fallings Park,west,Sutton Vesey,borders,Bushbury South and Low Hill,"Fallings Park is west Sutton Vesey, borders Bushbury South and Low Hill",Which city lies west to Sutton Vesey and borders Bushbury South and Low Hill?,"A. Norris Green
B. Norton
C. Fallings Park",C. Fallings Park,"random,partial,correct"
Saddleworth,south,Benwell and Scotswood,borders,Mossley,"Saddleworth is south Benwell and Scotswood, borders Mossley",Which city lies south to Benwell and Scotswood and borders Mossley?,"A. Saddleworth
B. Ryhope
C. Liversedge and Gomersal",A. Saddleworth,"correct,random,partial"
Mexborough,east,Crompton,within,Yorkshire and the Humber Euro Region,"Mexborough is east Crompton, within Yorkshire and the Humber Euro Region",Which city lies east to Crompton and within Yorkshire and the Humber Euro Region?,"A. Guiseley and Rawdon
B. Mexborough
C. Horbury and South Ossett",B. Mexborough,"partial,correct,random"
Mexborough,south,Tynemouth,borders,Sprotbrough and Cusworth,"Mexborough is south Tynemouth, borders Sprotbrough and Cusworth",Which city lies south to Tynemouth and borders Sprotbrough and Cusworth?,"A. Mexborough
B. Hoyland Milton
C. Cradley and Wollescote",A. Mexborough,"correct,random,partial"
Ladywood,west,Nechells,within,West Midlands Euro Region,"Ladywood is west Nechells, within West Midlands Euro Region",Which city lies west to Nechells and within West Midlands Euro Region?,"A. Tickhill & Wadsworth
B. Foleshill
C. Ladywood",C. Ladywood,"random,partial,correct"
Ladywood,east,Abbey,borders,Edgbaston,"Ladywood is east Abbey, borders Edgbaston",Which city lies east to Abbey and borders Edgbaston?,"A. Hebburn South
B. Longford
C. Ladywood",C. Ladywood,"random,partial,correct"
Wakefield West,south,Riverside,within,City of Wakefield,"Wakefield West is south Riverside, within City of Wakefield",Which city lies south to Riverside and within City of Wakefield?,"A. Wakefield West
B. Armley
C. Harpurhey",A. Wakefield West,"correct,random,partial"
Wakefield West,west,Hatfield,borders,Ossett,"Wakefield West is west Hatfield, borders Ossett",Which city lies west to Hatfield and borders Ossett?,"A. Wyke
B. Norris Green
C. Wakefield West",C. Wakefield West,"partial,random,correct"
Old Town,east,Hyde Godley,within,Metropolitan Borough of Barnsley,"Old Town is east Hyde Godley, within Metropolitan Borough of Barnsley",Which city lies east to Hyde Godley and within Metropolitan Borough of Barnsley?,"A. Darton West
B. Old Town
C. Crookes & Crosspool",B. Old Town,"random,correct,partial"
Old Town,north,Woodlands,borders,St. Helens,"Old Town is north Woodlands, borders St. Helens",Which city lies north to Woodlands and borders St. Helens?,"A. Old Town
B. Tong
C. Hale Barns",A. Old Town,"correct,partial,random"
Bowling and Barkerend,north,Offerton Park,within,Yorkshire and the Humber Euro Region,"Bowling and Barkerend is north Offerton Park, within Yorkshire and the Humber Euro Region",Which city lies north to Offerton Park and within Yorkshire and the Humber Euro Region?,"A. Bowling and Barkerend
B. Hoyland Milton
C. Bilston North",A. Bowling and Barkerend,"correct,partial,random"
Bowling and Barkerend,east,Moss Bank,borders,Tong,"Bowling and Barkerend is east Moss Bank, borders Tong",Which city lies east to Moss Bank and borders Tong?,"A. Bowling and Barkerend
B. St. Michael's
C. Cheetham",A. Bowling and Barkerend,"correct,random,partial"
Manningham,north,Birstall and Birkenshaw,within,Yorkshire and the Humber Euro Region,"Manningham is north Birstall and Birkenshaw, within Yorkshire and the Humber Euro Region",Which city lies north to Birstall and Birkenshaw and within Yorkshire and the Humber Euro Region?,"A. Almondbury
B. Manningham
C. Mexborough",B. Manningham,"partial,correct,random"
Manningham,west,Middleton Park,borders,Heaton,"Manningham is west Middleton Park, borders Heaton",Which city lies west to Middleton Park and borders Heaton?,"A. Northowram and Shelf
B. Broadheath
C. Manningham",C. Manningham,"random,partial,correct"
St. Helens,east,Almondbury,within,Metropolitan Borough of Barnsley,"St. Helens is east Almondbury, within Metropolitan Borough of Barnsley",Which city lies east to Almondbury and within Metropolitan Borough of Barnsley?,"A. Cudworth
B. Monk Bretton
C. St. Helens",C. St. Helens,"partial,random,correct"
St. Helens,south,Camperdown,borders,Monk Bretton,"St. Helens is south Camperdown, borders Monk Bretton",Which city lies south to Camperdown and borders Monk Bretton?,"A. Rowley
B. Healey
C. St. Helens",C. St. Helens,"partial,random,correct"
Park & Arbourthorne,east,Leigh West,within,Yorkshire and the Humber Euro Region,"Park & Arbourthorne is east Leigh West, within Yorkshire and the Humber Euro Region",Which city lies east to Leigh West and within Yorkshire and the Humber Euro Region?,"A. Wakefield East
B. Lindley
C. Park & Arbourthorne",C. Park & Arbourthorne,"partial,random,correct"
Park & Arbourthorne,west,Anston and Woodsetts,borders,Gleadless Valley,"Park & Arbourthorne is west Anston and Woodsetts, borders Gleadless Valley",Which city lies west to Anston and Woodsetts and borders Gleadless Valley?,"A. Park & Arbourthorne
B. Monkseaton South
C. Milnrow and Newhey",A. Park & Arbourthorne,"correct,random,partial"
Dewsbury East,east,Sudell,within,Kirklees,"Dewsbury East is east Sudell, within Kirklees",Which city lies east to Sudell and within Kirklees?,"A. Fallowfield
B. Dewsbury East
C. Moortown",B. Dewsbury East,"random,correct,partial"
Dewsbury East,north,St. Matthew's,borders,Dewsbury West,"Dewsbury East is north St. Matthew's, borders Dewsbury West",Which city lies north to St. Matthew's and borders Dewsbury West?,"A. Dewsbury East
B. Bloxwich East
C. Denton North East",A. Dewsbury East,"correct,random,partial"
Bloxwich East,east,Fallings Park,within,Metropolitan Borough of Walsall,"Bloxwich East is east Fallings Park, within Metropolitan Borough of Walsall",Which city lies east to Fallings Park and within Metropolitan Borough of Walsall?,"A. Bablake
B. East Ecclesfield
C. Bloxwich East",C. Bloxwich East,"partial,random,correct"
Bloxwich East,south,Wales South Yorkshire,borders,Blakenall,"Bloxwich East is south Wales South Yorkshire, borders Blakenall",Which city lies south to Wales South Yorkshire and borders Blakenall?,"A. Elton
B. Bloxwich East
C. Moseley and Kings Heath",B. Bloxwich East,"random,correct,partial"
Halewood North,west,Hulton,within,Metropolitan Borough of Knowsley,"Halewood North is west Hulton, within Metropolitan Borough of Knowsley",Which city lies west to Hulton and within Metropolitan Borough of Knowsley?,"A. Standish with Langtree
B. Halewood North
C. Kirkstall",B. Halewood North,"partial,correct,random"
Halewood North,north,Moseley and Kings Heath,borders,Allerton and Hunts Cross,"Halewood North is north Moseley and Kings Heath, borders Allerton and Hunts Cross",Which city lies north to Moseley and Kings Heath and borders Allerton and Hunts Cross?,"A. Halewood North
B. Derby
C. Mossley",A. Halewood North,"correct,random,partial"
Shaw,east,Old Swan,within,Metropolitan Borough of Oldham,"Shaw is east Old Swan, within Metropolitan Borough of Oldham",Which city lies east to Old Swan and within Metropolitan Borough of Oldham?,"A. Shaw
B. Blackrod
C. Headingley",A. Shaw,"correct,partial,random"
Shaw,north,Soho,borders,St. James',"Shaw is north Soho, borders St. James'",Which city lies north to Soho and borders St. James'?,"A. Shaw
B. Hyde Werneth
C. Wickersley",A. Shaw,"correct,random,partial"
Upton,west,Horsforth,within,Metropolitan Borough of Wirral,"Upton is west Horsforth, within Metropolitan Borough of Wirral",Which city lies west to Horsforth and within Metropolitan Borough of Wirral?,"A. Upton
B. Town Centre
C. Harper Green",A. Upton,"correct,partial,random"
Upton,north,Pensby and Thingwall,borders,Pensby and Thingwall,"Upton is north Pensby and Thingwall, borders Pensby and Thingwall",Which city lies north to Pensby and Thingwall and borders Pensby and Thingwall?,"A. Kirkburton
B. Parklands
C. Upton",C. Upton,"random,partial,correct"
Bordesley Green,south,East Middleton,within,Birmingham,"Bordesley Green is south East Middleton, within Birmingham",Which city lies south to East Middleton and within Birmingham?,"A. Bordesley Green
B. City of Bradford
C. Bramhall South and Woodford",A. Bordesley Green,"correct,random,partial"
Bordesley Green,east,Park,borders,Nechells,"Bordesley Green is east Park, borders Nechells",Which city lies east to Park and borders Nechells?,"A. Bordesley Green
B. Windle St Helens
C. Worth Valley",A. Bordesley Green,"correct,random,partial"
Shiregreen & Brightside,east,Wigan West,within,Sheffield,"Shiregreen & Brightside is east Wigan West, within Sheffield",Which city lies east to Wigan West and within Sheffield?,"A. Shiregreen & Brightside
B. Bilston East
C. Farnley and Wortley",A. Shiregreen & Brightside,"correct,random,partial"
Shiregreen & Brightside,north,Penn,borders,Keppel,"Shiregreen & Brightside is north Penn, borders Keppel",Which city lies north to Penn and borders Keppel?,"A. Wingfield
B. Tonge with the Haulgh
C. Shiregreen & Brightside",C. Shiregreen & Brightside,"partial,random,correct"
Walker,north,Dewsbury South,within,Newcastle upon Tyne,"Walker is north Dewsbury South, within Newcastle upon Tyne",Which city lies north to Dewsbury South and within Newcastle upon Tyne?,"A. Handsworth Wood
B. Walker
C. Windhill and Wrose",B. Walker,"random,correct,partial"
Walker,west,Beacon and Bents,borders,Byker,"Walker is west Beacon and Bents, borders Byker",Which city lies west to Beacon and Bents and borders Byker?,"A. North Jesmond
B. Walker
C. Whitburn and Marsden",B. Walker,"partial,correct,random"
Newton,south,Saddleworth West and Lees,within,North West Euro Region,"Newton is south Saddleworth West and Lees, within North West Euro Region",Which city lies south to Saddleworth West and Lees and within North West Euro Region?,"A. Newton
B. Saddleworth North
C. Fallowfield",A. Newton,"correct,random,partial"
Newton,west,Harpurhey,borders,Golborne and Lowton West,"Newton is west Harpurhey, borders Golborne and Lowton West",Which city lies west to Harpurhey and borders Golborne and Lowton West?,"A. Knotty Ash
B. Newton
C. Douglas",B. Newton,"random,correct,partial"
Radford,south,Greetland and Stainland,within,Coventry,"Radford is south Greetland and Stainland, within Coventry",Which city lies south to Greetland and Stainland and within Coventry?,"A. Radford
B. Beauchief & Greenhill
C. Alexandra",A. Radford,"correct,random,partial"
Radford,west,Henley,borders,St. Michael's,"Radford is west Henley, borders St. Michael's",Which city lies west to Henley and borders St. Michael's?,"A. Paddock
B. Radford
C. Cleadon and East Boldon",B. Radford,"partial,correct,random"
Withington,east,Molyneux,borders,Didsbury West,"Withington is east Molyneux, borders Didsbury West",Which city lies east to Molyneux and borders Didsbury West?,"A. Davyhulme East
B. Bamford
C. Withington",C. Withington,"random,partial,correct"
Cradley and Wollescote,south,Didsbury East,within,Metropolitan Borough of Dudley,"Cradley and Wollescote is south Didsbury East, within Metropolitan Borough of Dudley",Which city lies south to Didsbury East and within Metropolitan Borough of Dudley?,"A. Sedgley
B. Castle Bromwich
C. Cradley and Wollescote",C. Cradley and Wollescote,"random,partial,correct"
Cradley and Wollescote,west,Lozells and East Handsworth,borders,Cradley Heath and Old Hill,"Cradley and Wollescote is west Lozells and East Handsworth, borders Cradley Heath and Old Hill",Which city lies west to Lozells and East Handsworth and borders Cradley Heath and Old Hill?,"A. Cradley and Wollescote
B. Ashton upon Mersey
C. Willenhall South",A. Cradley and Wollescote,"correct,random,partial"
Meols,west,Halliwell,within,North West Euro Region,"Meols is west Halliwell, within North West Euro Region",Which city lies west to Halliwell and within North West Euro Region?,"A. Woolton
B. Milnrow and Newhey
C. Meols",C. Meols,"partial,random,correct"
Meols,north,Moseley and Kings Heath,borders,Norwood,"Meols is north Moseley and Kings Heath, borders Norwood",Which city lies north to Moseley and Kings Heath and borders Norwood?,"A. Thornton and Allerton
B. Manningham
C. Meols",C. Meols,"random,partial,correct"
Church,west,Pemberton,within,Liverpool,"Church is west Pemberton, within Liverpool",Which city lies west to Pemberton and within Liverpool?,"A. Hexthorpe & Balby North
B. Clubmoor
C. Church",C. Church,"random,partial,correct"
Church,south,Collingwood,borders,Redvales,"Church is south Collingwood, borders Redvales",Which city lies south to Collingwood and borders Redvales?,"A. Heaton
B. Church
C. Victoria",B. Church,"partial,correct,random"
Amblecote,south,Stockbridge,within,Metropolitan Borough of Dudley,"Amblecote is south Stockbridge, within Metropolitan Borough of Dudley",Which city lies south to Stockbridge and within Metropolitan Borough of Dudley?,"A. Bushbury South and Low Hill
B. Radford
C. Amblecote",C. Amblecote,"partial,random,correct"
Amblecote,west,Great Barr with Yew Tree,borders,Quarry Bank and Dudley Wood,"Amblecote is west Great Barr with Yew Tree, borders Quarry Bank and Dudley Wood",Which city lies west to Great Barr with Yew Tree and borders Quarry Bank and Dudley Wood?,"A. Greets Green and Lyng
B. Morley South
C. Amblecote",C. Amblecote,"partial,random,correct"
Holme Valley North,west,Garforth and Swillington,within,Kirklees,"Holme Valley North is west Garforth and Swillington, within Kirklees",Which city lies west to Garforth and Swillington and within Kirklees?,"A. Holme Valley North
B. Calderdale
C. Cleckheaton",A. Holme Valley North,"correct,random,partial"
Holme Valley North,east,Higher Blackley,borders,Crosland Moor and Netherton,"Holme Valley North is east Higher Blackley, borders Crosland Moor and Netherton",Which city lies east to Higher Blackley and borders Crosland Moor and Netherton?,"A. Holme Valley North
B. Werneth
C. Fazakerley",A. Holme Valley North,"correct,partial,random"
Hyde Newton,north,Stepping Hill,within,Tameside,"Hyde Newton is north Stepping Hill, within Tameside",Which city lies north to Stepping Hill and within Tameside?,"A. Hyde Newton
B. Wibsey
C. Radcliffe East",A. Hyde Newton,"correct,partial,random"
Hyde Newton,south,Barnes,borders,Hyde Godley,"Hyde Newton is south Barnes, borders Hyde Godley",Which city lies south to Barnes and borders Hyde Godley?,"A. Cradley Heath and Old Hill
B. Rainford
C. Hyde Newton",C. Hyde Newton,"random,partial,correct"
Rother Vale,south,Darfield,within,Metropolitan Borough of Rotherham,"Rother Vale is south Darfield, within Metropolitan Borough of Rotherham",Which city lies south to Darfield and within Metropolitan Borough of Rotherham?,"A. Rother Vale
B. Balderstone and Kirkholt
C. Streetly",A. Rother Vale,"correct,random,partial"
Rother Vale,north,Merry Hill,borders,Beighton,"Rother Vale is north Merry Hill, borders Beighton",Which city lies north to Merry Hill and borders Beighton?,"A. Chadderton North
B. Walker
C. Rother Vale",C. Rother Vale,"partial,random,correct"
Kirkburton,east,Worsley Mesnes,within,Kirklees,"Kirkburton is east Worsley Mesnes, within Kirklees",Which city lies east to Worsley Mesnes and within Kirklees?,"A. Old Town
B. Kirkburton
C. Broomhill & Sharrow Vale",B. Kirkburton,"random,correct,partial"
Kirkburton,south,Liversedge and Gomersal,borders,Dalton,"Kirkburton is south Liversedge and Gomersal, borders Dalton",Which city lies south to Liversedge and Gomersal and borders Dalton?,"A. Upper Stoke
B. Longdendale
C. Kirkburton",C. Kirkburton,"partial,random,correct"
Whickham North,north,Atherton,within,Metropolitan Borough of Gateshead,"Whickham North is north Atherton, within Metropolitan Borough of Gateshead",Which city lies north to Atherton and within Metropolitan Borough of Gateshead?,"A. Knowle
B. Whickham North
C. Washington South",B. Whickham North,"random,correct,partial"
Whickham North,west,Redhill,borders,Dunston Hill and Whickham East,"Whickham North is west Redhill, borders Dunston Hill and Whickham East",Which city lies west to Redhill and borders Dunston Hill and Whickham East?,"A. Whickham North
B. Bridges
C. Upton",A. Whickham North,"correct,partial,random"
Little Lever and Darcy Lever,south,Wallsend,within,Metropolitan Borough of Bolton,"Little Lever and Darcy Lever is south Wallsend, within Metropolitan Borough of Bolton",Which city lies south to Wallsend and within Metropolitan Borough of Bolton?,"A. Little Lever and Darcy Lever
B. Blakenall
C. St. Peter's",A. Little Lever and Darcy Lever,"correct,partial,random"
Little Lever and Darcy Lever,north,Walkden South,borders,Radcliffe West,"Little Lever and Darcy Lever is north Walkden South, borders Radcliffe West",Which city lies north to Walkden South and borders Radcliffe West?,"A. Little Lever and Darcy Lever
B. Elton
C. Wyke",A. Little Lever and Darcy Lever,"correct,partial,random"
Reddish North,north,Kingstanding,within,Metropolitan Borough of Stockport,"Reddish North is north Kingstanding, within Metropolitan Borough of Stockport",Which city lies north to Kingstanding and within Metropolitan Borough of Stockport?,"A. Hemsworth
B. Everton
C. Reddish North",C. Reddish North,"partial,random,correct"
Reddish North,south,Miles Platting and Newton Heath,borders,Gorton South,"Reddish North is south Miles Platting and Newton Heath, borders Gorton South",Which city lies south to Miles Platting and Newton Heath and borders Gorton South?,"A. Reddish North
B. City of Salford
C. Shirley South",A. Reddish North,"correct,random,partial"
East Middleton,north,Aldridge Central and South,within,North West Euro Region,"East Middleton is north Aldridge Central and South, within North West Euro Region",Which city lies north to Aldridge Central and South and within North West Euro Region?,"A. Wath
B. East Middleton
C. County",B. East Middleton,"random,correct,partial"
East Middleton,south,Hendon,borders,Charlestown,"East Middleton is south Hendon, borders Charlestown",Which city lies south to Hendon and borders Charlestown?,"A. East Middleton
B. Darnall
C. Halewood",A. East Middleton,"correct,random,partial"
Old Moat,west,Old Town,within,Manchester,"Old Moat is west Old Town, within Manchester",Which city lies west to Old Town and within Manchester?,"A. Heaton and Lostock
B. Old Moat
C. Irwell Riverside",B. Old Moat,"partial,correct,random"
Old Moat,north,Tyburn,borders,Withington,"Old Moat is north Tyburn, borders Withington",Which city lies north to Tyburn and borders Withington?,"A. Holbrook
B. Old Moat
C. Rothwell",B. Old Moat,"random,correct,partial"
Royds,east,Thatto Heath,within,City of Bradford,"Royds is east Thatto Heath, within City of Bradford",Which city lies east to Thatto Heath and within City of Bradford?,"A. Nechells
B. Royds
C. Ovenden",B. Royds,"random,correct,partial"
Royds,west,Tickhill & Wadsworth,borders,Queensbury,"Royds is west Tickhill & Wadsworth, borders Queensbury",Which city lies west to Tickhill & Wadsworth and borders Queensbury?,"A. Maltby South Yorkshire
B. Royds
C. Horbury and South Ossett",B. Royds,"random,correct,partial"
Pheasey Park Farm,south,Blaydon,within,Metropolitan Borough of Walsall,"Pheasey Park Farm is south Blaydon, within Metropolitan Borough of Walsall",Which city lies south to Blaydon and within Metropolitan Borough of Walsall?,"A. Pheasey Park Farm
B. Kew
C. Stalybridge South",A. Pheasey Park Farm,"correct,partial,random"
Pheasey Park Farm,east,Greets Green and Lyng,borders,Oscott,"Pheasey Park Farm is east Greets Green and Lyng, borders Oscott",Which city lies east to Greets Green and Lyng and borders Oscott?,"A. Amblecote
B. Perry Barr
C. Pheasey Park Farm",C. Pheasey Park Farm,"random,partial,correct"
Holyrood,north,Lyndon,within,Metropolitan Borough of Bury,"Holyrood is north Lyndon, within Metropolitan Borough of Bury",Which city lies north to Lyndon and within Metropolitan Borough of Bury?,"A. Holyrood
B. Stanley and Outwood East
C. Haydock",A. Holyrood,"correct,partial,random"
Holyrood,east,St. Mary's,borders,South Middleton,"Holyrood is east St. Mary's, borders South Middleton",Which city lies east to St. Mary's and borders South Middleton?,"A. Rockingham
B. Denton North East
C. Holyrood",C. Holyrood,"partial,random,correct"
Moorside,south,Biddick and All Saints,within,North West Euro Region,"Moorside is south Biddick and All Saints, within North West Euro Region",Which city lies south to Biddick and All Saints and within North West Euro Region?,"A. Kingswinford North and Wall Heath
B. Broughton
C. Moorside",C. Moorside,"partial,random,correct"
Moorside,north,Gornal,borders,North Manor,"Moorside is north Gornal, borders North Manor",Which city lies north to Gornal and borders North Manor?,"A. Moorside
B. Wardle and West Littleborough
C. Standish with Langtree",A. Moorside,"correct,random,partial"
Abram,west,Bingley Rural,within,North West Euro Region,"Abram is west Bingley Rural, within North West Euro Region",Which city lies west to Bingley Rural and within North West Euro Region?,"A. Heswall
B. Cross Gates and Whinmoor
C. Abram",C. Abram,"partial,random,correct"
Abram,south,Cleadon Park,borders,Hindley Green,"Abram is south Cleadon Park, borders Hindley Green",Which city lies south to Cleadon Park and borders Hindley Green?,"A. Kearsley
B. Abram
C. Cheadle Hulme South",B. Abram,"partial,correct,random"
Sutton Vesey,south,Southwick,within,West Midlands Euro Region,"Sutton Vesey is south Southwick, within West Midlands Euro Region",Which city lies south to Southwick and within West Midlands Euro Region?,"A. Moss Side
B. Sutton Vesey
C. Graves Park",B. Sutton Vesey,"random,correct,partial"
Sutton Vesey,north,Sparkbrook,borders,Erdington,"Sutton Vesey is north Sparkbrook, borders Erdington",Which city lies north to Sparkbrook and borders Erdington?,"A. Newsome
B. Sutton Vesey
C. Central Rochdale",B. Sutton Vesey,"random,correct,partial"
Redhill,north,Sutton Trinity,within,City of Sunderland,"Redhill is north Sutton Trinity, within City of Sunderland",Which city lies north to Sutton Trinity and within City of Sunderland?,"A. Bede
B. Redhill
C. Bede",B. Redhill,"random,correct,partial"
Redhill,east,Parklands,borders,Boldon Colliery,"Redhill is east Parklands, borders Boldon Colliery",Which city lies east to Parklands and borders Boldon Colliery?,"A. Redhill
B. Tynemouth
C. Wavertree",A. Redhill,"correct,partial,random"
Felling,north,Winton,within,North East Euro Region,"Felling is north Winton, within North East Euro Region",Which city lies north to Winton and within North East Euro Region?,"A. Swinton
B. Felling
C. Benton",B. Felling,"random,correct,partial"
Felling,south,Benton,borders,Bridges,"Felling is south Benton, borders Bridges",Which city lies south to Benton and borders Bridges?,"A. Short Heath
B. Felling
C. Headingley",B. Felling,"partial,correct,random"
Blythe,south,Dewsbury South,within,Metropolitan Borough of Solihull,"Blythe is south Dewsbury South, within Metropolitan Borough of Solihull",Which city lies south to Dewsbury South and within Metropolitan Borough of Solihull?,"A. Blythe
B. Hopwood Hall
C. Wickersley",A. Blythe,"correct,random,partial"
Blythe,east,Netherton Woodside and St. Andrews,borders,Shirley South,"Blythe is east Netherton Woodside and St. Andrews, borders Shirley South",Which city lies east to Netherton Woodside and St. Andrews and borders Shirley South?,"A. Blythe
B. Morley West Yorkshire
C. Harborne",A. Blythe,"correct,random,partial"
Kirkdale,west,Stainforth & Barnby Dun,within,Liverpool,"Kirkdale is west Stainforth & Barnby Dun, within Liverpool",Which city lies west to Stainforth & Barnby Dun and within Liverpool?,"A. Kirkdale
B. South Middleton
C. Wakefield South",A. Kirkdale,"correct,partial,random"
Kirkdale,south,Chirton,borders,County,"Kirkdale is south Chirton, borders County",Which city lies south to Chirton and borders County?,"A. Kirkdale
B. Rowley
C. Longdendale",A. Kirkdale,"correct,partial,random"
Tuebrook and Stoneycroft,west,Cross Gates and Whinmoor,within,Liverpool,"Tuebrook and Stoneycroft is west Cross Gates and Whinmoor, within Liverpool",Which city lies west to Cross Gates and Whinmoor and within Liverpool?,"A. Elland
B. Clubmoor
C. Tuebrook and Stoneycroft",C. Tuebrook and Stoneycroft,"partial,random,correct"
Tuebrook and Stoneycroft,south,Beacon and Bents,borders,Old Swan,"Tuebrook and Stoneycroft is south Beacon and Bents, borders Old Swan",Which city lies south to Beacon and Bents and borders Old Swan?,"A. North Jesmond
B. Tuebrook and Stoneycroft
C. Tonge with the Haulgh",B. Tuebrook and Stoneycroft,"random,correct,partial"
North East,south,Sandhill,within,Metropolitan Borough of Barnsley,"North East is south Sandhill, within Metropolitan Borough of Barnsley",Which city lies south to Sandhill and within Metropolitan Borough of Barnsley?,"A. Westwood
B. Swanside
C. North East",C. North East,"partial,random,correct"
North East,east,Kirkburton,borders,Monk Bretton,"North East is east Kirkburton, borders Monk Bretton",Which city lies east to Kirkburton and borders Monk Bretton?,"A. Airedale and Ferry Fryston
B. Manor
C. North East",C. North East,"partial,random,correct"
