place1,top,place2_Y,dis,place2_Z,triplet,question,options,answer,option_sources
Whickham North,borders,Dunston and Teams,close,Castle Eden,"Whickham North is borders Dunston and Teams, close Castle Eden",Which city borders Dunston and Teams and is also close to Castle Eden?,"A. Wallsend
B. Altofts and Whitwood
C. Whickham North",C. Whickham North,"partial,random,correct"
Firth Park,within,Yorkshire and the Humber Euro Region,distant,Ossett,"Firth Park is within Yorkshire and the Humber Euro Region, distant Ossett",Which city is within Yorkshire and the Humber Euro Region and also distant to Ossett?,"A. Firth Park
B. Old Town
C. Brandwood",A. Firth Park,"correct,partial,random"
Firth Park,within,Yorkshire and the Humber Euro Region,far,Hale Barns,"Firth Park is within Yorkshire and the Humber Euro Region, far Hale Barns",Which city is within Yorkshire and the Humber Euro Region and also far to Hale Barns?,"A. Firth Park
B. Chowdene
C. Shipley",A. Firth Park,"correct,random,partial"
Firth Park,borders,Shiregreen & Brightside,near,Rotherham West,"Firth Park is borders Shiregreen & Brightside, near Rotherham West",Which city borders Shiregreen & Brightside and is also near to Rotherham West?,"A. Rother Vale
B. Firth Park
C. Whoberley",B. Firth Park,"partial,correct,random"
Firth Park,borders,Shiregreen & Brightside,close,Mosborough,"Firth Park is borders Shiregreen & Brightside, close Mosborough",Which city borders Shiregreen & Brightside and is also close to Mosborough?,"A. Firth Park
B. Bushbury South and Low Hill
C. Hexthorpe & Balby North",A. Firth Park,"correct,random,partial"
Whickham South and Sunniside,within,Metropolitan Borough of Gateshead,distant,Whitburn and Marsden,"Whickham South and Sunniside is within Metropolitan Borough of Gateshead, distant Whitburn and Marsden",Which city is within Metropolitan Borough of Gateshead and also distant to Whitburn and Marsden?,"A. Castle
B. Firth Park
C. Whickham South and Sunniside",C. Whickham South and Sunniside,"partial,random,correct"
Whickham South and Sunniside,within,Metropolitan Borough of Gateshead,far,Prescot,"Whickham South and Sunniside is within Metropolitan Borough of Gateshead, far Prescot",Which city is within Metropolitan Borough of Gateshead and also far to Prescot?,"A. Whickham South and Sunniside
B. Sheldon
C. Tynemouth",A. Whickham South and Sunniside,"correct,partial,random"
Whickham South and Sunniside,borders,Lobley Hill and Bensham,near,Winlaton and High Spen,"Whickham South and Sunniside is borders Lobley Hill and Bensham, near Winlaton and High Spen",Which city borders Lobley Hill and Bensham and is also near to Winlaton and High Spen?,"A. Whickham South and Sunniside
B. Chopwell and Rowlands Gill
C. Bowling and Barkerend",A. Whickham South and Sunniside,"correct,partial,random"
Whickham South and Sunniside,borders,Lobley Hill and Bensham,close,Castle Eden,"Whickham South and Sunniside is borders Lobley Hill and Bensham, close Castle Eden",Which city borders Lobley Hill and Bensham and is also close to Castle Eden?,"A. Whickham South and Sunniside
B. Winstanley
C. Blaydon",A. Whickham South and Sunniside,"correct,random,partial"
Douglas,within,North West Euro Region,distant,Warbreck,"Douglas is within North West Euro Region, distant Warbreck",Which city is within North West Euro Region and also distant to Warbreck?,"A. Douglas
B. Hall Green
C. Irwell Riverside",A. Douglas,"correct,random,partial"
Douglas,within,North West Euro Region,far,Wednesfield South,"Douglas is within North West Euro Region, far Wednesfield South",Which city is within North West Euro Region and also far to Wednesfield South?,"A. Douglas
B. Moreton West and Saughall Massie
C. St. Peter's",A. Douglas,"correct,partial,random"
Douglas,borders,Winstanley,near,Bryn,"Douglas is borders Winstanley, near Bryn",Which city borders Winstanley and is also near to Bryn?,"A. Bournville
B. Wigan West
C. Douglas",C. Douglas,"random,partial,correct"
Douglas,borders,Winstanley,close,Walkden North,"Douglas is borders Winstanley, close Walkden North",Which city borders Winstanley and is also close to Walkden North?,"A. Worsley Mesnes
B. Douglas
C. Graiseley",B. Douglas,"partial,correct,random"
Bingley,within,City of Bradford,distant,Brinnington and Central,"Bingley is within City of Bradford, distant Brinnington and Central",Which city is within City of Bradford and also distant to Brinnington and Central?,"A. Bingley
B. Warley
C. Wharfedale",A. Bingley,"correct,random,partial"
Bingley,within,City of Bradford,far,Greets Green and Lyng,"Bingley is within City of Bradford, far Greets Green and Lyng",Which city is within City of Bradford and also far to Greets Green and Lyng?,"A. Brinnington and Central
B. Bingley
C. Bucklow-St. Martins",B. Bingley,"random,correct,partial"
Bingley,borders,Bingley Rural,near,Keighley West,"Bingley is borders Bingley Rural, near Keighley West",Which city borders Bingley Rural and is also near to Keighley West?,"A. Langworthy
B. Heaton
C. Bingley",C. Bingley,"random,partial,correct"
Bingley,borders,Bingley Rural,close,Harewood,"Bingley is borders Bingley Rural, close Harewood",Which city borders Bingley Rural and is also close to Harewood?,"A. Bingley
B. St. Alphege
C. Wrenthorpe and Outwood West",A. Bingley,"correct,random,partial"
Barnes,within,North East Euro Region,distant,Woolsington,"Barnes is within North East Euro Region, distant Woolsington",Which city is within North East Euro Region and also distant to Woolsington?,"A. Cullercoats
B. Barnes
C. Bradford",B. Barnes,"partial,correct,random"
Barnes,within,North East Euro Region,far,Liversedge and Gomersal,"Barnes is within North East Euro Region, far Liversedge and Gomersal",Which city is within North East Euro Region and also far to Liversedge and Gomersal?,"A. Everton
B. Saddleworth North
C. Barnes",C. Barnes,"partial,random,correct"
Barnes,borders,Sandhill,near,Doxford,"Barnes is borders Sandhill, near Doxford",Which city borders Sandhill and is also near to Doxford?,"A. Copt Hill
B. Barnes
C. Moss Side",B. Barnes,"partial,correct,random"
Barnes,borders,Sandhill,close,Hebburn South,"Barnes is borders Sandhill, close Hebburn South",Which city borders Sandhill and is also close to Hebburn South?,"A. Barnes
B. Erdington
C. Chowdene",A. Barnes,"correct,random,partial"
Wath,within,Metropolitan Borough of Rotherham,distant,Worth Valley,"Wath is within Metropolitan Borough of Rotherham, distant Worth Valley",Which city is within Metropolitan Borough of Rotherham and also distant to Worth Valley?,"A. Wath
B. Bablake
C. Maltby South Yorkshire",A. Wath,"correct,random,partial"
Wath,within,Metropolitan Borough of Rotherham,far,Horwich,"Wath is within Metropolitan Borough of Rotherham, far Horwich",Which city is within Metropolitan Borough of Rotherham and also far to Horwich?,"A. Timperley
B. Crawcrook and Greenside
C. Wath",C. Wath,"random,partial,correct"
Wath,borders,Darfield,near,Conisbrough Parks,"Wath is borders Darfield, near Conisbrough Parks",Which city borders Darfield and is also near to Conisbrough Parks?,"A. St. Matthew's
B. Rother Vale
C. Wath",C. Wath,"random,partial,correct"
Wath,borders,Darfield,close,Wales South Yorkshire,"Wath is borders Darfield, close Wales South Yorkshire",Which city borders Darfield and is also close to Wales South Yorkshire?,"A. Adwick le Street & Carcroft
B. Wath
C. Orgreave South Yorkshire",B. Wath,"partial,correct,random"
Birtley,borders,Lamesley,near,Windy Nook and Whitehills,"Birtley is borders Lamesley, near Windy Nook and Whitehills",Which city borders Lamesley and is also near to Windy Nook and Whitehills?,"A. Tuebrook and Stoneycroft
B. Washington North
C. Birtley",C. Birtley,"random,partial,correct"
Birtley,borders,Lamesley,close,Hebburn South,"Birtley is borders Lamesley, close Hebburn South",Which city borders Lamesley and is also close to Hebburn South?,"A. Benton
B. Birtley
C. City of Salford",B. Birtley,"partial,correct,random"
Newburn,within,North East Euro Region,distant,St. Peter's,"Newburn is within North East Euro Region, distant St. Peter's",Which city is within North East Euro Region and also distant to St. Peter's?,"A. Bromley Cross
B. Rawmarsh
C. Newburn",C. Newburn,"random,partial,correct"
Newburn,within,North East Euro Region,far,Stalybridge South,"Newburn is within North East Euro Region, far Stalybridge South",Which city is within North East Euro Region and also far to Stalybridge South?,"A. Normanton West Yorkshire
B. Cleadon Park
C. Newburn",C. Newburn,"random,partial,correct"
Newburn,borders,Lemington,near,Whickham South and Sunniside,"Newburn is borders Lemington, near Whickham South and Sunniside",Which city borders Lemington and is also near to Whickham South and Sunniside?,"A. Newburn
B. Brownhills
C. Elswick",A. Newburn,"correct,random,partial"
Newburn,borders,Lemington,close,Pelaw and Heworth,"Newburn is borders Lemington, close Pelaw and Heworth",Which city borders Lemington and is also close to Pelaw and Heworth?,"A. Newburn
B. Palfrey
C. Chopwell and Rowlands Gill",A. Newburn,"correct,random,partial"
Didsbury West,within,North West Euro Region,distant,Litherland,"Didsbury West is within North West Euro Region, distant Litherland",Which city is within North West Euro Region and also distant to Litherland?,"A. Chadderton South
B. Didsbury West
C. Bramhall North",B. Didsbury West,"random,correct,partial"
Didsbury West,within,North West Euro Region,far,Sparkbrook,"Didsbury West is within North West Euro Region, far Sparkbrook",Which city is within North West Euro Region and also far to Sparkbrook?,"A. Didsbury West
B. Heald Green
C. Keighley West",A. Didsbury West,"correct,partial,random"
Didsbury West,borders,Didsbury East,near,Longford,"Didsbury West is borders Didsbury East, near Longford",Which city borders Didsbury East and is also near to Longford?,"A. Withington
B. Didsbury West
C. Heswall",B. Didsbury West,"partial,correct,random"
Didsbury West,borders,Didsbury East,close,Eccles,"Didsbury West is borders Didsbury East, close Eccles",Which city borders Didsbury East and is also close to Eccles?,"A. Mossley
B. Bredbury Green and Romiley
C. Didsbury West",C. Didsbury West,"random,partial,correct"
West Ecclesfield,within,Yorkshire and the Humber Euro Region,distant,Morley West Yorkshire,"West Ecclesfield is within Yorkshire and the Humber Euro Region, distant Morley West Yorkshire",Which city is within Yorkshire and the Humber Euro Region and also distant to Morley West Yorkshire?,"A. Wharfedale
B. Morley West Yorkshire
C. West Ecclesfield",C. West Ecclesfield,"partial,random,correct"
West Ecclesfield,within,Yorkshire and the Humber Euro Region,far,Prescot,"West Ecclesfield is within Yorkshire and the Humber Euro Region, far Prescot",Which city is within Yorkshire and the Humber Euro Region and also far to Prescot?,"A. Blythe
B. West Ecclesfield
C. Darnall",B. West Ecclesfield,"partial,correct,random"
West Ecclesfield,borders,East Ecclesfield,near,Orgreave South Yorkshire,"West Ecclesfield is borders East Ecclesfield, near Orgreave South Yorkshire",Which city borders East Ecclesfield and is also near to Orgreave South Yorkshire?,"A. Bowdon
B. Stannington
C. West Ecclesfield",C. West Ecclesfield,"random,partial,correct"
West Ecclesfield,borders,East Ecclesfield,close,Conisbrough Parks,"West Ecclesfield is borders East Ecclesfield, close Conisbrough Parks",Which city borders East Ecclesfield and is also close to Conisbrough Parks?,"A. Town
B. West Ecclesfield
C. Horsforth",B. West Ecclesfield,"partial,correct,random"
Wickersley,borders,Valley,near,Dinnington St. John's,"Wickersley is borders Valley, near Dinnington St. John's",Which city borders Valley and is also near to Dinnington St. John's?,"A. Wickersley
B. Croxteth
C. Maltby South Yorkshire",A. Wickersley,"correct,random,partial"
Wickersley,borders,Valley,close,Sprotbrough and Cusworth,"Wickersley is borders Valley, close Sprotbrough and Cusworth",Which city borders Valley and is also close to Sprotbrough and Cusworth?,"A. Wickersley
B. Central
C. Royston",A. Wickersley,"correct,partial,random"
Saddleworth North,within,Metropolitan Borough of Oldham,distant,Wakefield Rural,"Saddleworth North is within Metropolitan Borough of Oldham, distant Wakefield Rural",Which city is within Metropolitan Borough of Oldham and also distant to Wakefield Rural?,"A. Bessacarr
B. Saddleworth North
C. Ettingshall",B. Saddleworth North,"partial,correct,random"
Saddleworth North,within,Metropolitan Borough of Oldham,far,Willenhall North,"Saddleworth North is within Metropolitan Borough of Oldham, far Willenhall North",Which city is within Metropolitan Borough of Oldham and also far to Willenhall North?,"A. Netherton and Orrell
B. Saddleworth North
C. Bredbury Green and Romiley",B. Saddleworth North,"partial,correct,random"
Saddleworth North,borders,Waterhead,near,St. Mary's,"Saddleworth North is borders Waterhead, near St. Mary's",Which city borders Waterhead and is also near to St. Mary's?,"A. Sale Moor
B. Rastrick
C. Saddleworth North",C. Saddleworth North,"partial,random,correct"
Saddleworth North,borders,Waterhead,close,Denby Dale,"Saddleworth North is borders Waterhead, close Denby Dale",Which city borders Waterhead and is also close to Denby Dale?,"A. Saddleworth North
B. St. Chad's
C. Elland",A. Saddleworth North,"correct,random,partial"
Bede,within,North East Euro Region,distant,Crawcrook and Greenside,"Bede is within North East Euro Region, distant Crawcrook and Greenside",Which city is within North East Euro Region and also distant to Crawcrook and Greenside?,"A. Bede
B. Sheffield
C. Killingworth",A. Bede,"correct,random,partial"
Bede,within,North East Euro Region,far,Wyken,"Bede is within North East Euro Region, far Wyken",Which city is within North East Euro Region and also far to Wyken?,"A. Dearne South
B. Winlaton and High Spen
C. Bede",C. Bede,"partial,random,correct"
Bede,borders,Simonside and Rekendyke,near,Simonside and Rekendyke,"Bede is borders Simonside and Rekendyke, near Simonside and Rekendyke",Which city borders Simonside and Rekendyke and is also near to Simonside and Rekendyke?,"A. Cleadon Park
B. Cheetham
C. Bede",C. Bede,"partial,random,correct"
Bede,borders,Simonside and Rekendyke,close,Ryhope,"Bede is borders Simonside and Rekendyke, close Ryhope",Which city borders Simonside and Rekendyke and is also close to Ryhope?,"A. Primrose
B. Hebburn North
C. Bede",C. Bede,"partial,random,correct"
Rumworth,within,Metropolitan Borough of Bolton,distant,Bold St Helens,"Rumworth is within Metropolitan Borough of Bolton, distant Bold St Helens",Which city is within Metropolitan Borough of Bolton and also distant to Bold St Helens?,"A. Rumworth
B. Metropolitan Borough of Bury
C. Brooklands",A. Rumworth,"correct,random,partial"
Rumworth,within,Metropolitan Borough of Bolton,far,Soho and Victoria,"Rumworth is within Metropolitan Borough of Bolton, far Soho and Victoria",Which city is within Metropolitan Borough of Bolton and also far to Soho and Victoria?,"A. Adwick le Street & Carcroft
B. Westwood
C. Rumworth",C. Rumworth,"partial,random,correct"
Rumworth,borders,Hulton,near,Horwich,"Rumworth is borders Hulton, near Horwich",Which city borders Hulton and is also near to Horwich?,"A. Rumworth
B. Wickersley
C. Horwich and Blackrod",A. Rumworth,"correct,random,partial"
Rumworth,borders,Hulton,close,Tottington,"Rumworth is borders Hulton, close Tottington",Which city borders Hulton and is also close to Tottington?,"A. Heatons North
B. Pelaw and Heworth
C. Rumworth",C. Rumworth,"partial,random,correct"
Brooklands,within,Trafford,distant,Hipperholme and Lightcliffe,"Brooklands is within Trafford, distant Hipperholme and Lightcliffe",Which city is within Trafford and also distant to Hipperholme and Lightcliffe?,"A. Wainbody
B. Heatons South
C. Brooklands",C. Brooklands,"random,partial,correct"
Brooklands,within,Trafford,far,Upton,"Brooklands is within Trafford, far Upton",Which city is within Trafford and also far to Upton?,"A. Tonge with the Haulgh
B. Brooklands
C. Lobley Hill and Bensham",B. Brooklands,"random,correct,partial"
Brooklands,borders,Northenden,near,Flixton,"Brooklands is borders Northenden, near Flixton",Which city borders Northenden and is also near to Flixton?,"A. St. Michael's
B. Brooklands
C. Bowdon",B. Brooklands,"random,correct,partial"
Brooklands,borders,Northenden,close,Marple South,"Brooklands is borders Northenden, close Marple South",Which city borders Northenden and is also close to Marple South?,"A. Brooklands
B. Heatons North
C. Moortown",A. Brooklands,"correct,partial,random"
Halewood North,within,Metropolitan Borough of Knowsley,distant,Hazel Grove,"Halewood North is within Metropolitan Borough of Knowsley, distant Hazel Grove",Which city is within Metropolitan Borough of Knowsley and also distant to Hazel Grove?,"A. Greetland and Stainland
B. Halewood North
C. Silhill",B. Halewood North,"partial,correct,random"
Halewood North,within,Metropolitan Borough of Knowsley,far,Moortown,"Halewood North is within Metropolitan Borough of Knowsley, far Moortown",Which city is within Metropolitan Borough of Knowsley and also far to Moortown?,"A. Battle Hill
B. West Derby
C. Halewood North",C. Halewood North,"partial,random,correct"
Halewood North,borders,Woolton,near,Whiston & Cronton,"Halewood North is borders Woolton, near Whiston & Cronton",Which city borders Woolton and is also near to Whiston & Cronton?,"A. Cudworth
B. Roby
C. Halewood North",C. Halewood North,"random,partial,correct"
Halewood North,borders,Woolton,close,Oxton,"Halewood North is borders Woolton, close Oxton",Which city borders Woolton and is also close to Oxton?,"A. Manor
B. Halewood North
C. Erdington",B. Halewood North,"partial,correct,random"
Pontefract South,within,City of Wakefield,distant,Windhill and Wrose,"Pontefract South is within City of Wakefield, distant Windhill and Wrose",Which city is within City of Wakefield and also distant to Windhill and Wrose?,"A. Pontefract South
B. St. Helens
C. Longford",A. Pontefract South,"correct,random,partial"
Pontefract South,within,City of Wakefield,far,Riverside,"Pontefract South is within City of Wakefield, far Riverside",Which city is within City of Wakefield and also far to Riverside?,"A. Cudworth
B. Pontefract South
C. Friar Park",B. Pontefract South,"partial,correct,random"
Pontefract South,borders,Knottingley,near,Sprotbrough and Cusworth,"Pontefract South is borders Knottingley, near Sprotbrough and Cusworth",Which city borders Knottingley and is also near to Sprotbrough and Cusworth?,"A. Pontefract South
B. Balby South
C. Astley Mosley Common",A. Pontefract South,"correct,partial,random"
Pontefract South,borders,Knottingley,close,Wakefield Rural,"Pontefract South is borders Knottingley, close Wakefield Rural",Which city borders Knottingley and is also close to Wakefield Rural?,"A. Mexborough
B. Pontefract South
C. Keppel",B. Pontefract South,"random,correct,partial"
Bentley and Darlaston North,within,West Midlands Euro Region,distant,St. Alphege,"Bentley and Darlaston North is within West Midlands Euro Region, distant St. Alphege",Which city is within West Midlands Euro Region and also distant to St. Alphege?,"A. Breightmet
B. Harborne
C. Bentley and Darlaston North",C. Bentley and Darlaston North,"random,partial,correct"
Bentley and Darlaston North,within,West Midlands Euro Region,far,Gipton and Harehills,"Bentley and Darlaston North is within West Midlands Euro Region, far Gipton and Harehills",Which city is within West Midlands Euro Region and also far to Gipton and Harehills?,"A. Cullercoats
B. Bentley and Darlaston North
C. Upper Stoke",B. Bentley and Darlaston North,"partial,correct,random"
Bentley and Darlaston North,borders,Willenhall South,near,Birchills Leamore,"Bentley and Darlaston North is borders Willenhall South, near Birchills Leamore",Which city borders Willenhall South and is also near to Birchills Leamore?,"A. Bloxwich East
B. Bentley and Darlaston North
C. Bilston North",B. Bentley and Darlaston North,"random,correct,partial"
Bentley and Darlaston North,borders,Willenhall South,close,Bushbury South and Low Hill,"Bentley and Darlaston North is borders Willenhall South, close Bushbury South and Low Hill",Which city borders Willenhall South and is also close to Bushbury South and Low Hill?,"A. Village
B. Birchills Leamore
C. Bentley and Darlaston North",C. Bentley and Darlaston North,"random,partial,correct"
Hatfield,within,Metropolitan Borough of Doncaster,distant,Newsome,"Hatfield is within Metropolitan Borough of Doncaster, distant Newsome",Which city is within Metropolitan Borough of Doncaster and also distant to Newsome?,"A. Denton North East
B. Gipton and Harehills
C. Hatfield",C. Hatfield,"partial,random,correct"
Hatfield,within,Metropolitan Borough of Doncaster,far,Washington South,"Hatfield is within Metropolitan Borough of Doncaster, far Washington South",Which city is within Metropolitan Borough of Doncaster and also far to Washington South?,"A. Victoria
B. Bentley
C. Hatfield",C. Hatfield,"random,partial,correct"
Hatfield,borders,Finningley,near,Stainforth & Barnby Dun,"Hatfield is borders Finningley, near Stainforth & Barnby Dun",Which city borders Finningley and is also near to Stainforth & Barnby Dun?,"A. Levenshulme
B. Hatfield
C. Tickhill & Wadsworth",B. Hatfield,"random,correct,partial"
Hatfield,borders,Finningley,close,Tickhill & Wadsworth,"Hatfield is borders Finningley, close Tickhill & Wadsworth",Which city borders Finningley and is also close to Tickhill & Wadsworth?,"A. Hatfield
B. East Ecclesfield
C. Cheetham",A. Hatfield,"correct,partial,random"
Swinton South,within,City of Salford,distant,Worsley Mesnes,"Swinton South is within City of Salford, distant Worsley Mesnes",Which city is within City of Salford and also distant to Worsley Mesnes?,"A. Barton
B. Swinton South
C. Upton",B. Swinton South,"random,correct,partial"
Swinton South,within,City of Salford,far,Wordsley,"Swinton South is within City of Salford, far Wordsley",Which city is within City of Salford and also far to Wordsley?,"A. Fazakerley
B. Swinton South
C. Clubmoor",B. Swinton South,"partial,correct,random"
Swinton South,borders,Pendlebury,near,Weaste and Seedley,"Swinton South is borders Pendlebury, near Weaste and Seedley",Which city borders Pendlebury and is also near to Weaste and Seedley?,"A. Swinton South
B. Brownhills
C. Claremont",A. Swinton South,"correct,random,partial"
Swinton South,borders,Pendlebury,close,Whalley Range,"Swinton South is borders Pendlebury, close Whalley Range",Which city borders Pendlebury and is also close to Whalley Range?,"A. Rawmarsh
B. Swinton South
C. Irlam",B. Swinton South,"random,correct,partial"
Bramhall South and Woodford,within,Metropolitan Borough of Stockport,distant,Great Horton,"Bramhall South and Woodford is within Metropolitan Borough of Stockport, distant Great Horton",Which city is within Metropolitan Borough of Stockport and also distant to Great Horton?,"A. Didsbury East
B. Bramhall South and Woodford
C. Cradley Heath and Old Hill",B. Bramhall South and Woodford,"partial,correct,random"
Bramhall South and Woodford,within,Metropolitan Borough of Stockport,far,Washington East,"Bramhall South and Woodford is within Metropolitan Borough of Stockport, far Washington East",Which city is within Metropolitan Borough of Stockport and also far to Washington East?,"A. Erdington
B. Whiston & Cronton
C. Bramhall South and Woodford",C. Bramhall South and Woodford,"partial,random,correct"
Bramhall South and Woodford,borders,Bramhall North,near,Edgeley and Cheadle Heath,"Bramhall South and Woodford is borders Bramhall North, near Edgeley and Cheadle Heath",Which city borders Bramhall North and is also near to Edgeley and Cheadle Heath?,"A. Cheadle and Gatley
B. Molyneux
C. Bramhall South and Woodford",C. Bramhall South and Woodford,"partial,random,correct"
Bramhall South and Woodford,borders,Bramhall North,close,Chadderton Central,"Bramhall South and Woodford is borders Bramhall North, close Chadderton Central",Which city borders Bramhall North and is also close to Chadderton Central?,"A. Ashton Hurst
B. Sprotbrough and Cusworth
C. Bramhall South and Woodford",C. Bramhall South and Woodford,"partial,random,correct"
Norton & Askern,within,Yorkshire and the Humber Euro Region,distant,Town,"Norton & Askern is within Yorkshire and the Humber Euro Region, distant Town",Which city is within Yorkshire and the Humber Euro Region and also distant to Town?,"A. Upper Stoke
B. Norton & Askern
C. Reddish South",B. Norton & Askern,"random,correct,partial"
Norton & Askern,within,Yorkshire and the Humber Euro Region,far,Sutton New Hall,"Norton & Askern is within Yorkshire and the Humber Euro Region, far Sutton New Hall",Which city is within Yorkshire and the Humber Euro Region and also far to Sutton New Hall?,"A. Hazel Grove
B. Norton & Askern
C. Longdendale",B. Norton & Askern,"random,correct,partial"
Norton & Askern,borders,Ackworth North Elmsall and Upton,near,Wheatley Hills & Intake,"Norton & Askern is borders Ackworth North Elmsall and Upton, near Wheatley Hills & Intake",Which city borders Ackworth North Elmsall and Upton and is also near to Wheatley Hills & Intake?,"A. Darnall
B. Hemsworth
C. Norton & Askern",C. Norton & Askern,"random,partial,correct"
Norton & Askern,borders,Ackworth North Elmsall and Upton,close,Wales South Yorkshire,"Norton & Askern is borders Ackworth North Elmsall and Upton, close Wales South Yorkshire",Which city borders Ackworth North Elmsall and Upton and is also close to Wales South Yorkshire?,"A. Featherstone
B. Conisbrough Parks
C. Norton & Askern",C. Norton & Askern,"random,partial,correct"
Lower Stoke,within,West Midlands Euro Region,distant,Rushall-Shelfield,"Lower Stoke is within West Midlands Euro Region, distant Rushall-Shelfield",Which city is within West Midlands Euro Region and also distant to Rushall-Shelfield?,"A. Lower Stoke
B. Pedmore and Stourbridge East
C. Horbury and South Ossett",A. Lower Stoke,"correct,partial,random"
Lower Stoke,within,West Midlands Euro Region,far,Ovenden,"Lower Stoke is within West Midlands Euro Region, far Ovenden",Which city is within West Midlands Euro Region and also far to Ovenden?,"A. Lower Stoke
B. Northwood
C. Bablake",A. Lower Stoke,"correct,partial,random"
Lower Stoke,borders,Upper Stoke,near,Radford,"Lower Stoke is borders Upper Stoke, near Radford",Which city borders Upper Stoke and is also near to Radford?,"A. Lower Stoke
B. Bablake
C. Denton",A. Lower Stoke,"correct,partial,random"
Lower Stoke,borders,Upper Stoke,close,Bickenhill,"Lower Stoke is borders Upper Stoke, close Bickenhill",Which city borders Upper Stoke and is also close to Bickenhill?,"A. Lower Stoke
B. Deckham
C. Weoley",A. Lower Stoke,"correct,random,partial"
Birkenhead and Tranmere,within,North West Euro Region,distant,Priory,"Birkenhead and Tranmere is within North West Euro Region, distant Priory",Which city is within North West Euro Region and also distant to Priory?,"A. Denton North East
B. Birkenhead and Tranmere
C. Dewsbury East",B. Birkenhead and Tranmere,"random,correct,partial"
Birkenhead and Tranmere,within,North West Euro Region,far,Willenhall South,"Birkenhead and Tranmere is within North West Euro Region, far Willenhall South",Which city is within North West Euro Region and also far to Willenhall South?,"A. Belle Vale
B. Birkenhead and Tranmere
C. Broughton",B. Birkenhead and Tranmere,"partial,correct,random"
Birkenhead and Tranmere,borders,Seacombe,near,Clatterbridge,"Birkenhead and Tranmere is borders Seacombe, near Clatterbridge",Which city borders Seacombe and is also near to Clatterbridge?,"A. Birkenhead and Tranmere
B. Rumworth
C. Bidston and St. James",A. Birkenhead and Tranmere,"correct,random,partial"
Birkenhead and Tranmere,borders,Seacombe,close,Yew Tree,"Birkenhead and Tranmere is borders Seacombe, close Yew Tree",Which city borders Seacombe and is also close to Yew Tree?,"A. Rock Ferry
B. Birkenhead and Tranmere
C. Heatons South",B. Birkenhead and Tranmere,"partial,correct,random"
Longsight,within,Manchester,distant,Southey,"Longsight is within Manchester, distant Southey",Which city is within Manchester and also distant to Southey?,"A. Longsight
B. City
C. Bingley Rural",A. Longsight,"correct,random,partial"
Longsight,within,Manchester,far,Saltwell,"Longsight is within Manchester, far Saltwell",Which city is within Manchester and also far to Saltwell?,"A. Bramhall South and Woodford
B. Fulwood
C. Longsight",C. Longsight,"random,partial,correct"
Longsight,borders,Levenshulme,near,Ordsall,"Longsight is borders Levenshulme, near Ordsall",Which city borders Levenshulme and is also near to Ordsall?,"A. Moss Side
B. Prescot South
C. Longsight",C. Longsight,"partial,random,correct"
Longsight,borders,Levenshulme,close,West Heywood,"Longsight is borders Levenshulme, close West Heywood",Which city borders Levenshulme and is also close to West Heywood?,"A. Longsight
B. Balderstone and Kirkholt
C. Milkstone and Deeplish",A. Longsight,"correct,partial,random"
St. Helens,within,Metropolitan Borough of Barnsley,distant,Rossington,"St. Helens is within Metropolitan Borough of Barnsley, distant Rossington",Which city is within Metropolitan Borough of Barnsley and also distant to Rossington?,"A. St. Helens
B. Eccleshill
C. Fulwood",A. St. Helens,"correct,random,partial"
St. Helens,within,Metropolitan Borough of Barnsley,far,Whoberley,"St. Helens is within Metropolitan Borough of Barnsley, far Whoberley",Which city is within Metropolitan Borough of Barnsley and also far to Whoberley?,"A. St. Helens
B. Swinton
C. Simonside and Rekendyke",A. St. Helens,"correct,random,partial"
St. Helens,borders,Old Town,near,Hemsworth,"St. Helens is borders Old Town, near Hemsworth",Which city borders Old Town and is also near to Hemsworth?,"A. Pontefract South
B. St. Helens
C. Wharfedale",B. St. Helens,"partial,correct,random"
St. Helens,borders,Old Town,close,Orgreave South Yorkshire,"St. Helens is borders Old Town, close Orgreave South Yorkshire",Which city borders Old Town and is also close to Orgreave South Yorkshire?,"A. Rother Vale
B. St. Helens
C. Monk Bretton",B. St. Helens,"random,correct,partial"
Shiregreen & Brightside,within,Yorkshire and the Humber Euro Region,distant,Thorne & Moorends,"Shiregreen & Brightside is within Yorkshire and the Humber Euro Region, distant Thorne & Moorends",Which city is within Yorkshire and the Humber Euro Region and also distant to Thorne & Moorends?,"A. Darton West
B. Shiregreen & Brightside
C. Halesowen South",B. Shiregreen & Brightside,"partial,correct,random"
Shiregreen & Brightside,within,Yorkshire and the Humber Euro Region,far,South Jesmond,"Shiregreen & Brightside is within Yorkshire and the Humber Euro Region, far South Jesmond",Which city is within Yorkshire and the Humber Euro Region and also far to South Jesmond?,"A. Shiregreen & Brightside
B. Short Heath
C. Camperdown",A. Shiregreen & Brightside,"correct,partial,random"
Shiregreen & Brightside,borders,Rotherham West,near,Wingfield,"Shiregreen & Brightside is borders Rotherham West, near Wingfield",Which city borders Rotherham West and is also near to Wingfield?,"A. Boothstown and Ellenbrook
B. Shiregreen & Brightside
C. Wingfield",B. Shiregreen & Brightside,"random,correct,partial"
Shiregreen & Brightside,borders,Rotherham West,close,Swinton,"Shiregreen & Brightside is borders Rotherham West, close Swinton",Which city borders Rotherham West and is also close to Swinton?,"A. Lamesley
B. Edlington & Warmsworth
C. Shiregreen & Brightside",C. Shiregreen & Brightside,"random,partial,correct"
